model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
mgpt,ai-forever/mGPT,14,contentwords,0,0.9285491108894348
mgpt,ai-forever/mGPT,14,contentwords,1,0.8679366111755371
mgpt,ai-forever/mGPT,14,contentwords,2,0.8897995948791504
mgpt,ai-forever/mGPT,14,contentwords,3,0.38271069526672363
mgpt,ai-forever/mGPT,14,contentwords,4,0.9145998954772949
mgpt,ai-forever/mGPT,14,contentwords,5,0.9178454875946045
mgpt,ai-forever/mGPT,14,contentwords,6,0.38350316882133484
mgpt,ai-forever/mGPT,14,contentwords,7,0.8965122103691101
mgpt,ai-forever/mGPT,14,contentwords,8,0.8982601165771484
mgpt,ai-forever/mGPT,14,contentwords,9,0.896765947341919
mgpt,ai-forever/mGPT,14,contentwords,10,0.8981294631958008
mgpt,ai-forever/mGPT,14,contentwords,11,0.39821046590805054
mgpt,ai-forever/mGPT,14,contentwords,12,0.3967248201370239
mgpt,ai-forever/mGPT,14,contentwords,13,0.9003965854644775
mgpt,ai-forever/mGPT,14,contentwords,14,0.4103664457798004
mgpt,ai-forever/mGPT,14,contentwords,15,0.8816909790039062
mgpt,ai-forever/mGPT,14,contentwords,16,0.8999186754226685
mgpt,ai-forever/mGPT,14,contentwords,17,0.9218741059303284
mgpt,ai-forever/mGPT,14,contentwords,18,0.9086461067199707
mgpt,ai-forever/mGPT,14,contentwords,19,0.3908211886882782
mgpt,ai-forever/mGPT,14,contentwords,20,0.9340870380401611
mgpt,ai-forever/mGPT,14,contentwords,21,0.9137980937957764
mgpt,ai-forever/mGPT,14,contentwords,22,0.9134935736656189
mgpt,ai-forever/mGPT,14,contentwords,23,0.8950917720794678
mgpt,ai-forever/mGPT,14,contentwords,24,0.8665748238563538
mgpt,ai-forever/mGPT,14,contentwords,25,0.8886170387268066
mgpt,ai-forever/mGPT,14,contentwords,26,0.4368056654930115
mgpt,ai-forever/mGPT,14,contentwords,27,0.9176381826400757
mgpt,ai-forever/mGPT,14,contentwords,28,0.41001176834106445
mgpt,ai-forever/mGPT,14,contentwords,29,0.9185670614242554
mgpt,ai-forever/mGPT,14,contentwords,30,0.37588387727737427
mgpt,ai-forever/mGPT,14,contentwords,31,0.8692545890808105
mgpt,ai-forever/mGPT,14,contentwords,32,0.9158856868743896
mgpt,ai-forever/mGPT,14,contentwords,33,0.9150135517120361
mgpt,ai-forever/mGPT,14,contentwords,34,0.3652961552143097
mgpt,ai-forever/mGPT,14,contentwords,35,0.3826330900192261
mgpt,ai-forever/mGPT,14,contentwords,36,0.8046162128448486
mgpt,ai-forever/mGPT,14,contentwords,37,0.879844605922699
mgpt,ai-forever/mGPT,14,contentwords,38,0.911769688129425
mgpt,ai-forever/mGPT,14,contentwords,39,0.8673113584518433
mgpt,ai-forever/mGPT,14,contentwords,40,0.9000881910324097
mgpt,ai-forever/mGPT,14,contentwords,41,0.8691447973251343
mgpt,ai-forever/mGPT,14,contentwords,42,0.9096564054489136
mgpt,ai-forever/mGPT,14,contentwords,43,0.8586945533752441
mgpt,ai-forever/mGPT,14,contentwords,44,0.8852948546409607
mgpt,ai-forever/mGPT,14,contentwords,45,0.361004114151001
mgpt,ai-forever/mGPT,14,contentwords,46,0.8790010809898376
mgpt,ai-forever/mGPT,14,contentwords,47,0.3702712655067444
mgpt,ai-forever/mGPT,14,contentwords,48,0.8997378945350647
mgpt,ai-forever/mGPT,14,contentwords,49,0.8946008682250977
mgpt,ai-forever/mGPT,14,contentwords,50,0.37455934286117554
mgpt,ai-forever/mGPT,14,contentwords,51,0.8745865821838379
mgpt,ai-forever/mGPT,14,contentwords,52,0.8798859715461731
mgpt,ai-forever/mGPT,14,contentwords,53,0.8704897165298462
mgpt,ai-forever/mGPT,14,contentwords,54,0.8602247834205627
mgpt,ai-forever/mGPT,14,contentwords,55,0.9027906656265259
mgpt,ai-forever/mGPT,14,contentwords,56,0.8914711475372314
mgpt,ai-forever/mGPT,14,contentwords,57,0.3681570887565613
mgpt,ai-forever/mGPT,14,contentwords,58,0.8993790149688721
mgpt,ai-forever/mGPT,14,contentwords,59,0.8623510003089905
mgpt,ai-forever/mGPT,14,contentwords,60,0.8678216934204102
mgpt,ai-forever/mGPT,14,contentwords,61,0.9217223525047302
mgpt,ai-forever/mGPT,14,contentwords,62,0.9010611176490784
mgpt,ai-forever/mGPT,14,contentwords,63,0.8838036060333252
mgpt,ai-forever/mGPT,14,contentwords,64,0.3704295754432678
mgpt,ai-forever/mGPT,14,contentwords,65,0.37626025080680847
mgpt,ai-forever/mGPT,14,contentwords,66,0.38261958956718445
mgpt,ai-forever/mGPT,14,contentwords,67,0.920048713684082
mgpt,ai-forever/mGPT,14,contentwords,68,0.8689072132110596
mgpt,ai-forever/mGPT,14,contentwords,69,0.9118923544883728
mgpt,ai-forever/mGPT,14,contentwords,70,0.8912249803543091
mgpt,ai-forever/mGPT,14,contentwords,71,0.9101791381835938
mgpt,ai-forever/mGPT,14,contentwords,72,0.8808609247207642
mgpt,ai-forever/mGPT,14,contentwords,73,0.9054394364356995
mgpt,ai-forever/mGPT,14,contentwords,74,0.9039870500564575
mgpt,ai-forever/mGPT,14,contentwords,75,0.36120444536209106
mgpt,ai-forever/mGPT,14,contentwords,76,0.39218851923942566
mgpt,ai-forever/mGPT,14,contentwords,77,0.8823317289352417
mgpt,ai-forever/mGPT,14,contentwords,78,0.4010884165763855
mgpt,ai-forever/mGPT,14,contentwords,79,0.3793788254261017
mgpt,ai-forever/mGPT,14,contentwords,80,0.9039734601974487
mgpt,ai-forever/mGPT,14,contentwords,81,0.8715372085571289
mgpt,ai-forever/mGPT,14,contentwords,82,0.4073691964149475
mgpt,ai-forever/mGPT,14,contentwords,83,0.3807704448699951
mgpt,ai-forever/mGPT,14,contentwords,84,0.8743968605995178
mgpt,ai-forever/mGPT,14,contentwords,85,0.3830839693546295
mgpt,ai-forever/mGPT,14,contentwords,86,0.7840125560760498
mgpt,ai-forever/mGPT,14,contentwords,87,0.3968629539012909
mgpt,ai-forever/mGPT,14,contentwords,88,0.8883049488067627
mgpt,ai-forever/mGPT,14,contentwords,89,0.3679735064506531
mgpt,ai-forever/mGPT,14,contentwords,90,0.9795233011245728
mgpt,ai-forever/mGPT,14,contentwords,91,0.39818382263183594
mgpt,ai-forever/mGPT,14,contentwords,92,0.8690707683563232
mgpt,ai-forever/mGPT,14,contentwords,93,0.38276463747024536
mgpt,ai-forever/mGPT,14,contentwords,94,0.3670819401741028
mgpt,ai-forever/mGPT,14,contentwords,95,0.9311772584915161
mgpt,ai-forever/mGPT,14,contentwords,96,0.8837028741836548
mgpt,ai-forever/mGPT,14,contentwords,97,0.8603720664978027
mgpt,ai-forever/mGPT,14,contentwords,98,0.9175697565078735
mgpt,ai-forever/mGPT,14,contentwords,99,0.9126204252243042
mgpt,ai-forever/mGPT,14,contentwords,100,0.3813232183456421
mgpt,ai-forever/mGPT,14,contentwords,101,0.9314725399017334
mgpt,ai-forever/mGPT,14,contentwords,102,0.3535003364086151
mgpt,ai-forever/mGPT,14,contentwords,103,0.9256108999252319
mgpt,ai-forever/mGPT,14,contentwords,104,0.3848704397678375
