model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
xlmr_large,xlm-roberta-large,14,contentwords,0,0.9659322500228882
xlmr_large,xlm-roberta-large,14,contentwords,1,0.9403007626533508
xlmr_large,xlm-roberta-large,14,contentwords,2,0.9545179605484009
xlmr_large,xlm-roberta-large,14,contentwords,3,0.9578455686569214
xlmr_large,xlm-roberta-large,14,contentwords,4,0.958929181098938
xlmr_large,xlm-roberta-large,14,contentwords,5,0.9166396260261536
xlmr_large,xlm-roberta-large,14,contentwords,6,0.9427869319915771
xlmr_large,xlm-roberta-large,14,contentwords,7,0.9597855806350708
xlmr_large,xlm-roberta-large,14,contentwords,8,0.9440434575080872
xlmr_large,xlm-roberta-large,14,contentwords,9,0.9561350345611572
xlmr_large,xlm-roberta-large,14,contentwords,10,0.9581348896026611
xlmr_large,xlm-roberta-large,14,contentwords,11,0.962175726890564
xlmr_large,xlm-roberta-large,14,contentwords,12,0.9452399611473083
xlmr_large,xlm-roberta-large,14,contentwords,13,0.960257887840271
xlmr_large,xlm-roberta-large,14,contentwords,14,0.9492506980895996
xlmr_large,xlm-roberta-large,14,contentwords,15,0.9607980251312256
xlmr_large,xlm-roberta-large,14,contentwords,16,0.9497666358947754
xlmr_large,xlm-roberta-large,14,contentwords,17,0.9567299485206604
xlmr_large,xlm-roberta-large,14,contentwords,18,0.9614829421043396
xlmr_large,xlm-roberta-large,14,contentwords,19,0.9533478021621704
xlmr_large,xlm-roberta-large,14,contentwords,20,0.977170467376709
xlmr_large,xlm-roberta-large,14,contentwords,21,0.9458414316177368
xlmr_large,xlm-roberta-large,14,contentwords,22,0.9509156942367554
xlmr_large,xlm-roberta-large,14,contentwords,23,0.9114434123039246
xlmr_large,xlm-roberta-large,14,contentwords,24,0.9478985667228699
xlmr_large,xlm-roberta-large,14,contentwords,25,0.9452074766159058
xlmr_large,xlm-roberta-large,14,contentwords,26,0.928949236869812
xlmr_large,xlm-roberta-large,14,contentwords,27,0.9512065052986145
xlmr_large,xlm-roberta-large,14,contentwords,28,0.9510844349861145
xlmr_large,xlm-roberta-large,14,contentwords,29,0.9393306374549866
xlmr_large,xlm-roberta-large,14,contentwords,30,0.9477881789207458
xlmr_large,xlm-roberta-large,14,contentwords,31,0.9283605217933655
xlmr_large,xlm-roberta-large,14,contentwords,32,0.9606496095657349
xlmr_large,xlm-roberta-large,14,contentwords,33,0.9409927725791931
xlmr_large,xlm-roberta-large,14,contentwords,34,0.9256702065467834
xlmr_large,xlm-roberta-large,14,contentwords,35,0.9601603150367737
xlmr_large,xlm-roberta-large,14,contentwords,36,0.9435455203056335
xlmr_large,xlm-roberta-large,14,contentwords,37,0.9626007080078125
xlmr_large,xlm-roberta-large,14,contentwords,38,0.9643604755401611
xlmr_large,xlm-roberta-large,14,contentwords,39,0.9455945491790771
xlmr_large,xlm-roberta-large,14,contentwords,40,0.9537619352340698
xlmr_large,xlm-roberta-large,14,contentwords,41,0.9628353714942932
xlmr_large,xlm-roberta-large,14,contentwords,42,0.9457835555076599
xlmr_large,xlm-roberta-large,14,contentwords,43,0.9476639032363892
xlmr_large,xlm-roberta-large,14,contentwords,44,0.9293032884597778
xlmr_large,xlm-roberta-large,14,contentwords,45,0.9455491900444031
xlmr_large,xlm-roberta-large,14,contentwords,46,0.9282434582710266
xlmr_large,xlm-roberta-large,14,contentwords,47,0.9313642978668213
xlmr_large,xlm-roberta-large,14,contentwords,48,0.9706398844718933
xlmr_large,xlm-roberta-large,14,contentwords,49,0.9407533407211304
xlmr_large,xlm-roberta-large,14,contentwords,50,0.9290767908096313
xlmr_large,xlm-roberta-large,14,contentwords,51,0.9573885798454285
xlmr_large,xlm-roberta-large,14,contentwords,52,0.9793921709060669
xlmr_large,xlm-roberta-large,14,contentwords,53,0.9248307943344116
xlmr_large,xlm-roberta-large,14,contentwords,54,0.9455189108848572
xlmr_large,xlm-roberta-large,14,contentwords,55,0.9539231657981873
xlmr_large,xlm-roberta-large,14,contentwords,56,0.9565190672874451
xlmr_large,xlm-roberta-large,14,contentwords,57,0.9698455333709717
xlmr_large,xlm-roberta-large,14,contentwords,58,0.9136155247688293
xlmr_large,xlm-roberta-large,14,contentwords,59,0.9169906377792358
xlmr_large,xlm-roberta-large,14,contentwords,60,0.9622318148612976
xlmr_large,xlm-roberta-large,14,contentwords,61,0.9477954506874084
xlmr_large,xlm-roberta-large,14,contentwords,62,0.9601581692695618
xlmr_large,xlm-roberta-large,14,contentwords,63,0.9217860698699951
xlmr_large,xlm-roberta-large,14,contentwords,64,0.974526584148407
xlmr_large,xlm-roberta-large,14,contentwords,65,0.943233072757721
xlmr_large,xlm-roberta-large,14,contentwords,66,0.962108850479126
xlmr_large,xlm-roberta-large,14,contentwords,67,0.9656947255134583
xlmr_large,xlm-roberta-large,14,contentwords,68,0.9341543316841125
xlmr_large,xlm-roberta-large,14,contentwords,69,0.916333794593811
xlmr_large,xlm-roberta-large,14,contentwords,70,0.9486919641494751
xlmr_large,xlm-roberta-large,14,contentwords,71,0.9510485529899597
xlmr_large,xlm-roberta-large,14,contentwords,72,0.9591083526611328
