model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
xglm_xl,facebook/xglm-4.5B,48,contentwords,0,0.7031453847885132
xglm_xl,facebook/xglm-4.5B,48,contentwords,1,0.712052583694458
xglm_xl,facebook/xglm-4.5B,48,contentwords,2,0.721824586391449
xglm_xl,facebook/xglm-4.5B,48,contentwords,3,0.6887063384056091
xglm_xl,facebook/xglm-4.5B,48,contentwords,4,0.6277161836624146
xglm_xl,facebook/xglm-4.5B,48,contentwords,5,0.7867153286933899
xglm_xl,facebook/xglm-4.5B,48,contentwords,6,0.7228481769561768
xglm_xl,facebook/xglm-4.5B,48,contentwords,7,0.8928408622741699
xglm_xl,facebook/xglm-4.5B,48,contentwords,8,0.8114033937454224
xglm_xl,facebook/xglm-4.5B,48,contentwords,9,0.654670774936676
xglm_xl,facebook/xglm-4.5B,48,contentwords,10,0.8192571401596069
xglm_xl,facebook/xglm-4.5B,48,contentwords,11,0.7821364402770996
xglm_xl,facebook/xglm-4.5B,48,contentwords,12,0.8575637936592102
xglm_xl,facebook/xglm-4.5B,48,contentwords,13,0.7820267677307129
xglm_xl,facebook/xglm-4.5B,48,contentwords,14,0.7378298044204712
xglm_xl,facebook/xglm-4.5B,48,contentwords,15,0.8058867454528809
xglm_xl,facebook/xglm-4.5B,48,contentwords,16,0.8232190608978271
xglm_xl,facebook/xglm-4.5B,48,contentwords,17,0.8126868009567261
xglm_xl,facebook/xglm-4.5B,48,contentwords,18,0.8474786281585693
xglm_xl,facebook/xglm-4.5B,48,contentwords,19,0.8114922046661377
xglm_xl,facebook/xglm-4.5B,48,contentwords,20,0.7712651491165161
xglm_xl,facebook/xglm-4.5B,48,contentwords,21,0.6431070566177368
xglm_xl,facebook/xglm-4.5B,48,contentwords,22,0.7813199162483215
xglm_xl,facebook/xglm-4.5B,48,contentwords,23,0.7942651510238647
xglm_xl,facebook/xglm-4.5B,48,contentwords,24,0.8484751582145691
xglm_xl,facebook/xglm-4.5B,48,contentwords,25,0.7834903001785278
xglm_xl,facebook/xglm-4.5B,48,contentwords,26,0.7166845202445984
xglm_xl,facebook/xglm-4.5B,48,contentwords,27,0.7486803531646729
xglm_xl,facebook/xglm-4.5B,48,contentwords,28,0.7629544734954834
xglm_xl,facebook/xglm-4.5B,48,contentwords,29,0.714550793170929
xglm_xl,facebook/xglm-4.5B,48,contentwords,30,0.7570662498474121
xglm_xl,facebook/xglm-4.5B,48,contentwords,31,0.7824307680130005
xglm_xl,facebook/xglm-4.5B,48,contentwords,32,0.8206514120101929
xglm_xl,facebook/xglm-4.5B,48,contentwords,33,0.6534003615379333
xglm_xl,facebook/xglm-4.5B,48,contentwords,34,0.7855160236358643
xglm_xl,facebook/xglm-4.5B,48,contentwords,35,0.8759164810180664
xglm_xl,facebook/xglm-4.5B,48,contentwords,36,0.7383788824081421
xglm_xl,facebook/xglm-4.5B,48,contentwords,37,0.8185667991638184
xglm_xl,facebook/xglm-4.5B,48,contentwords,38,0.739407479763031
xglm_xl,facebook/xglm-4.5B,48,contentwords,39,0.6759020090103149
xglm_xl,facebook/xglm-4.5B,48,contentwords,40,0.7295713424682617
xglm_xl,facebook/xglm-4.5B,48,contentwords,41,0.8153017163276672
xglm_xl,facebook/xglm-4.5B,48,contentwords,42,0.6376969218254089
xglm_xl,facebook/xglm-4.5B,48,contentwords,43,0.837281346321106
xglm_xl,facebook/xglm-4.5B,48,contentwords,44,0.7608038187026978
xglm_xl,facebook/xglm-4.5B,48,contentwords,45,0.8587713241577148
xglm_xl,facebook/xglm-4.5B,48,contentwords,46,0.8265626430511475
xglm_xl,facebook/xglm-4.5B,48,contentwords,47,0.6890220642089844
xglm_xl,facebook/xglm-4.5B,48,contentwords,48,0.6888740062713623
xglm_xl,facebook/xglm-4.5B,48,contentwords,49,0.8365162014961243
xglm_xl,facebook/xglm-4.5B,48,contentwords,50,0.8183579444885254
xglm_xl,facebook/xglm-4.5B,48,contentwords,51,0.7624139785766602
xglm_xl,facebook/xglm-4.5B,48,contentwords,52,0.7486391663551331
xglm_xl,facebook/xglm-4.5B,48,contentwords,53,0.8630597591400146
xglm_xl,facebook/xglm-4.5B,48,contentwords,54,0.9027290940284729
xglm_xl,facebook/xglm-4.5B,48,contentwords,55,0.8396198749542236
xglm_xl,facebook/xglm-4.5B,48,contentwords,56,0.7392778396606445
xglm_xl,facebook/xglm-4.5B,48,contentwords,57,0.7704007029533386
xglm_xl,facebook/xglm-4.5B,48,contentwords,58,0.838876485824585
xglm_xl,facebook/xglm-4.5B,48,contentwords,59,0.7822193503379822
xglm_xl,facebook/xglm-4.5B,48,contentwords,60,0.7729411125183105
xglm_xl,facebook/xglm-4.5B,48,contentwords,61,0.8505756855010986
xglm_xl,facebook/xglm-4.5B,48,contentwords,62,0.8405801057815552
xglm_xl,facebook/xglm-4.5B,48,contentwords,63,0.8001927137374878
