model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,0,0.9479267597198486
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,1,0.9362951517105103
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,2,0.9293741583824158
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,3,0.9598734378814697
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,4,0.951077401638031
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,5,0.9486704468727112
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,6,0.9513590931892395
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,7,0.9632608294487
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,8,0.9474546909332275
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,9,0.9545923471450806
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,10,0.9539159536361694
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,11,0.94364994764328
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,12,0.9593886137008667
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,13,0.9651036858558655
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,14,0.9778722524642944
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,15,0.9464268684387207
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,16,0.8083662986755371
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,17,0.9638919830322266
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,18,0.8386635780334473
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,19,0.9541014432907104
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,20,0.9715713262557983
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,21,0.9540756344795227
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,22,0.9462623000144958
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,23,0.9591697454452515
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,24,0.9689985513687134
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,25,0.937307596206665
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,26,0.9559050798416138
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,27,0.9653997421264648
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,28,0.9394625425338745
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,29,0.9297373294830322
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,30,0.9640906453132629
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,31,0.9570434093475342
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,32,0.9538497924804688
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,33,0.8359063863754272
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,34,0.9641740322113037
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,35,0.9532163143157959
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,36,0.9616644382476807
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,37,0.9583949446678162
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,38,0.9422392845153809
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,39,0.9496314525604248
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,40,0.9457052946090698
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,41,0.941999077796936
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,42,0.8427615165710449
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,43,0.8144014477729797
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,44,0.9581646919250488
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,45,0.9609306454658508
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,46,0.9468985795974731
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,47,0.9330330491065979
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,48,0.9562756419181824
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,49,0.8227240443229675
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,50,0.9495682716369629
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,51,0.9580424427986145
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,52,0.7897233963012695
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,53,0.9743009209632874
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,54,0.9834306240081787
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,55,0.9515450596809387
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,56,0.8267765641212463
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,57,0.8065972924232483
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,58,0.9573577046394348
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,59,0.9512492418289185
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,60,0.9613835215568542
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,61,0.8028541207313538
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,62,0.9502336978912354
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,63,0.9586604237556458
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,64,0.950524091720581
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,65,0.9266525506973267
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,66,0.9353066086769104
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,67,0.9522596597671509
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,68,0.9640359878540039
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,69,0.9491931200027466
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,70,0.9526497721672058
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,71,0.9292870759963989
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,72,0.9556745290756226
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,73,0.93953937292099
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,74,0.9693855047225952
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,75,0.9545394778251648
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,76,0.9565699100494385
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,77,0.9399507641792297
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,78,0.9502115845680237
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,79,0.9583229422569275
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,80,0.9417425990104675
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,81,0.9555930495262146
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,82,0.9705981016159058
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,83,0.9406134486198425
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,84,0.9500440955162048
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,85,0.9459061622619629
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,86,0.955927848815918
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,87,0.9340060949325562
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,88,0.947407603263855
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,89,0.9507526755332947
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,90,0.9588053822517395
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,91,0.9572373628616333
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,92,0.963873028755188
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,93,0.9599902629852295
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,94,0.9716936349868774
