model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
mt5_base,google/mt5-base,9,contentwords,0,
mt5_base,google/mt5-base,9,contentwords,1,
mt5_base,google/mt5-base,9,contentwords,2,
mt5_base,google/mt5-base,9,contentwords,3,
mt5_base,google/mt5-base,9,contentwords,4,
mt5_base,google/mt5-base,9,contentwords,5,
mt5_base,google/mt5-base,9,contentwords,6,
mt5_base,google/mt5-base,9,contentwords,7,
mt5_base,google/mt5-base,9,contentwords,8,
mt5_base,google/mt5-base,9,contentwords,9,
mt5_base,google/mt5-base,9,contentwords,10,
mt5_base,google/mt5-base,9,contentwords,11,
mt5_base,google/mt5-base,9,contentwords,12,
mt5_base,google/mt5-base,9,contentwords,13,
mt5_base,google/mt5-base,9,contentwords,14,
mt5_base,google/mt5-base,9,contentwords,15,
mt5_base,google/mt5-base,9,contentwords,16,
mt5_base,google/mt5-base,9,contentwords,17,
mt5_base,google/mt5-base,9,contentwords,18,
mt5_base,google/mt5-base,9,contentwords,19,
mt5_base,google/mt5-base,9,contentwords,20,
mt5_base,google/mt5-base,9,contentwords,21,
mt5_base,google/mt5-base,9,contentwords,22,
mt5_base,google/mt5-base,9,contentwords,23,
mt5_base,google/mt5-base,9,contentwords,24,
mt5_base,google/mt5-base,9,contentwords,25,
mt5_base,google/mt5-base,9,contentwords,26,
mt5_base,google/mt5-base,9,contentwords,27,
mt5_base,google/mt5-base,9,contentwords,28,
mt5_base,google/mt5-base,9,contentwords,29,
mt5_base,google/mt5-base,9,contentwords,30,
mt5_base,google/mt5-base,9,contentwords,31,
mt5_base,google/mt5-base,9,contentwords,32,
mt5_base,google/mt5-base,9,contentwords,33,
mt5_base,google/mt5-base,9,contentwords,34,
mt5_base,google/mt5-base,9,contentwords,35,
mt5_base,google/mt5-base,9,contentwords,36,
mt5_base,google/mt5-base,9,contentwords,37,
mt5_base,google/mt5-base,9,contentwords,38,
mt5_base,google/mt5-base,9,contentwords,39,
mt5_base,google/mt5-base,9,contentwords,40,
mt5_base,google/mt5-base,9,contentwords,41,
mt5_base,google/mt5-base,9,contentwords,42,
mt5_base,google/mt5-base,9,contentwords,43,
mt5_base,google/mt5-base,9,contentwords,44,
mt5_base,google/mt5-base,9,contentwords,45,
mt5_base,google/mt5-base,9,contentwords,46,
mt5_base,google/mt5-base,9,contentwords,47,
mt5_base,google/mt5-base,9,contentwords,48,
mt5_base,google/mt5-base,9,contentwords,49,
mt5_base,google/mt5-base,9,contentwords,50,
mt5_base,google/mt5-base,9,contentwords,51,
mt5_base,google/mt5-base,9,contentwords,52,
mt5_base,google/mt5-base,9,contentwords,53,
mt5_base,google/mt5-base,9,contentwords,54,
mt5_base,google/mt5-base,9,contentwords,55,
mt5_base,google/mt5-base,9,contentwords,56,
mt5_base,google/mt5-base,9,contentwords,57,
mt5_base,google/mt5-base,9,contentwords,58,
mt5_base,google/mt5-base,9,contentwords,59,
mt5_base,google/mt5-base,9,contentwords,60,
mt5_base,google/mt5-base,9,contentwords,61,
mt5_base,google/mt5-base,9,contentwords,62,
mt5_base,google/mt5-base,9,contentwords,63,
mt5_base,google/mt5-base,9,contentwords,64,
mt5_base,google/mt5-base,9,contentwords,65,
mt5_base,google/mt5-base,9,contentwords,66,
mt5_base,google/mt5-base,9,contentwords,67,
mt5_base,google/mt5-base,9,contentwords,68,
mt5_base,google/mt5-base,9,contentwords,69,
mt5_base,google/mt5-base,9,contentwords,70,
mt5_base,google/mt5-base,9,contentwords,71,
mt5_base,google/mt5-base,9,contentwords,72,
mt5_base,google/mt5-base,9,contentwords,73,
mt5_base,google/mt5-base,9,contentwords,74,
mt5_base,google/mt5-base,9,contentwords,75,
mt5_base,google/mt5-base,9,contentwords,76,
mt5_base,google/mt5-base,9,contentwords,77,
mt5_base,google/mt5-base,9,contentwords,78,
mt5_base,google/mt5-base,9,contentwords,79,
mt5_base,google/mt5-base,9,contentwords,80,
mt5_base,google/mt5-base,9,contentwords,81,
mt5_base,google/mt5-base,9,contentwords,82,
mt5_base,google/mt5-base,9,contentwords,83,
mt5_base,google/mt5-base,9,contentwords,84,
mt5_base,google/mt5-base,9,contentwords,85,
mt5_base,google/mt5-base,9,contentwords,86,
mt5_base,google/mt5-base,9,contentwords,87,
mt5_base,google/mt5-base,9,contentwords,88,
mt5_base,google/mt5-base,9,contentwords,89,
mt5_base,google/mt5-base,9,contentwords,90,
mt5_base,google/mt5-base,9,contentwords,91,
mt5_base,google/mt5-base,9,contentwords,92,
mt5_base,google/mt5-base,9,contentwords,93,
mt5_base,google/mt5-base,9,contentwords,94,
mt5_base,google/mt5-base,9,contentwords,95,
mt5_base,google/mt5-base,9,contentwords,96,
mt5_base,google/mt5-base,9,contentwords,97,
mt5_base,google/mt5-base,9,contentwords,98,
mt5_base,google/mt5-base,9,contentwords,99,
mt5_base,google/mt5-base,9,contentwords,100,
mt5_base,google/mt5-base,9,contentwords,101,
mt5_base,google/mt5-base,9,contentwords,102,
mt5_base,google/mt5-base,9,contentwords,103,
mt5_base,google/mt5-base,9,contentwords,104,
mt5_base,google/mt5-base,9,contentwords,105,
mt5_base,google/mt5-base,9,contentwords,106,
mt5_base,google/mt5-base,9,contentwords,107,
mt5_base,google/mt5-base,9,contentwords,108,
mt5_base,google/mt5-base,9,contentwords,109,
mt5_base,google/mt5-base,9,contentwords,110,
mt5_base,google/mt5-base,9,contentwords,111,
mt5_base,google/mt5-base,9,contentwords,112,
mt5_base,google/mt5-base,9,contentwords,113,
mt5_base,google/mt5-base,9,contentwords,114,
mt5_base,google/mt5-base,9,contentwords,115,
mt5_base,google/mt5-base,9,contentwords,116,
mt5_base,google/mt5-base,9,contentwords,117,
mt5_base,google/mt5-base,9,contentwords,118,
mt5_base,google/mt5-base,9,contentwords,119,
mt5_base,google/mt5-base,9,contentwords,120,
mt5_base,google/mt5-base,9,contentwords,121,
mt5_base,google/mt5-base,9,contentwords,122,
mt5_base,google/mt5-base,9,contentwords,123,
mt5_base,google/mt5-base,9,contentwords,124,
mt5_base,google/mt5-base,9,contentwords,125,
mt5_base,google/mt5-base,9,contentwords,126,
mt5_base,google/mt5-base,9,contentwords,127,
mt5_base,google/mt5-base,9,contentwords,128,
mt5_base,google/mt5-base,9,contentwords,129,
mt5_base,google/mt5-base,9,contentwords,130,
mt5_base,google/mt5-base,9,contentwords,131,
mt5_base,google/mt5-base,9,contentwords,132,
mt5_base,google/mt5-base,9,contentwords,133,
mt5_base,google/mt5-base,9,contentwords,134,
mt5_base,google/mt5-base,9,contentwords,135,
mt5_base,google/mt5-base,9,contentwords,136,
mt5_base,google/mt5-base,9,contentwords,137,
mt5_base,google/mt5-base,9,contentwords,138,
mt5_base,google/mt5-base,9,contentwords,139,
mt5_base,google/mt5-base,9,contentwords,140,
mt5_base,google/mt5-base,9,contentwords,141,
mt5_base,google/mt5-base,9,contentwords,142,
mt5_base,google/mt5-base,9,contentwords,143,
mt5_base,google/mt5-base,9,contentwords,144,
mt5_base,google/mt5-base,9,contentwords,145,
mt5_base,google/mt5-base,9,contentwords,146,
mt5_base,google/mt5-base,9,contentwords,147,
