model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,0,0.9544170498847961
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,1,0.7491270303726196
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,2,0.964708149433136
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,3,0.9639238119125366
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,4,0.9761117696762085
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,5,0.9755259156227112
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,6,0.6976712942123413
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,7,0.9710085988044739
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,8,0.9764593243598938
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,9,0.9670051336288452
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,10,0.9703302979469299
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,11,0.9821903705596924
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,12,0.7270935773849487
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,13,0.7060877084732056
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,14,0.7010936737060547
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,15,0.6930977702140808
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,16,0.9686988592147827
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,17,0.9707844853401184
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,18,0.6629790663719177
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,19,0.9702448844909668
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,20,0.9802596569061279
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,21,0.9738019108772278
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,22,0.9757286906242371
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,23,0.971612274646759
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,24,0.9786905646324158
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,25,0.9740365743637085
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,26,0.9809281826019287
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,27,0.9712859988212585
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,28,0.9782146215438843
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,29,0.9623818397521973
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,30,0.9532246589660645
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,31,0.9736286401748657
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,32,0.9634829759597778
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,33,0.9629241228103638
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,34,0.9603090882301331
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,35,0.6708552241325378
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,36,0.9613029956817627
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,37,0.9559662342071533
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,38,0.9738386869430542
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,39,0.9623355865478516
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,40,0.750188946723938
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,41,0.9736765027046204
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,42,0.7566593289375305
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,43,0.9791545867919922
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,44,0.9806353449821472
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,45,0.9775730967521667
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,46,0.9818681478500366
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,47,0.9704394340515137
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,48,0.9593496918678284
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,49,0.7705599069595337
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,50,0.7106982469558716
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,51,0.9820948243141174
