text,start,end
—,0.22,0.38
Chiama,0.38,0.76
il,0.76,0.88
primo,0.88,1.1
"testimonio,",1.1,1.92
disse,2.04,2.34
il,2.34,2.58
re.,2.58,2.76
E,3.22,3.4
il,3.4,3.5
coniglio,3.5,3.86
bianco,3.86,4.26
fece,4.26,4.52
squillare,4.52,5.06
ancora,5.06,5.38
tre,5.38,5.64
volte,5.64,5.94
la,5.94,6.1
tromba,6.1,6.58
e,6.58,6.98
chiamò,6.98,7.3
ad,7.3,7.4
alta,7.4,7.6
voce.,7.6,8.04
—,8.48,8.52
Il,8.52,8.68
primo,8.68,8.96
testimonio!,8.96,9.7
Il,10.66,10.88
primo,10.88,11.14
testimonio,11.14,11.92
era,11.92,12.14
il,12.14,12.3
"cappellaio,",12.3,13.04
che,13.22,13.56
entrò,13.56,13.86
con,13.86,14.02
una,14.02,14.18
tazza,14.18,14.54
di,14.54,14.7
tè,14.7,14.86
in,14.86,14.98
una,14.98,15.12
mano,15.12,15.46
e,15.46,15.6
un,15.6,15.72
pezzo,15.72,16.04
di,16.04,16.22
pane,16.22,16.44
e,16.44,16.58
burro,16.58,16.8
nell'altra.,16.8,17.4
—,17.94,18.0
"Chiedovenia,",18.0,18.66
"maestà,",18.76,19.22
prese,19.62,19.9
a,19.9,20.08
"dire,",20.08,20.3
perché,20.8,21.08
mi,21.08,21.22
presento,21.22,21.76
"così,",21.76,22.1
ma,22.36,22.86
non,22.86,23.0
avevo,23.0,23.28
ancora,23.28,23.58
finito,23.58,23.96
il,23.96,24.1
mio,24.1,24.18
tè,24.18,24.38
quando,24.38,24.66
fui,24.66,24.86
convocato.,24.86,25.56
—,26.68,26.74
Avresti,26.74,27.2
dovuto,27.2,27.5
aver,27.5,27.7
"finito,",27.7,28.16
disse,28.18,28.4
il,28.4,28.62
re.,28.62,28.76
Quando,29.16,29.46
hai,29.46,29.6
cominciato?,29.6,30.28
Il,30.94,31.12
cappellaio,31.12,31.78
guardò,31.78,32.12
la,32.12,32.24
lepre,32.24,32.48
"marzolina,",32.48,33.1
che,33.26,33.36
lo,33.36,33.5
aveva,33.5,33.78
seguito,33.78,34.24
in,34.24,34.38
tribunale,34.38,34.92
a,34.92,35.04
braccetto,35.04,35.58
con,35.58,35.72
il,35.72,35.88
ghiro.,35.88,36.18
—,36.96,37.04
Il,37.04,37.22
quattordici,37.22,37.88
"marzo,",37.88,38.3
mi,38.38,38.44
"pare,",38.44,38.78
disse.,38.94,39.28
—,39.98,40.04
Il,40.04,40.18
"quindici,",40.18,40.78
disse,41.04,41.28
la,41.28,41.44
lepre,41.44,41.66
marzolina.,41.66,42.24
—,42.82,42.94
Il,42.94,43.04
"sedici,",43.04,43.58
soggiunse,43.84,44.36
il,44.36,44.5
ghiro.,44.5,44.82
—,45.32,45.44
"Scrivete,",45.44,46.02
disse,46.52,47.0
il,47.0,47.2
re,47.2,47.32
alla,47.32,47.52
