sentence_idx,original_sentence,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
0,"""I think it's overblown,"" he said.","The situation has been exaggerated,"" he remarked.",He dismissed the matter as inflated.,It was his view that the issue had been magnified.,There was a comment from him calling the fuss disproportionate.,"PARAPHRASE: He dismissed it as exaggerated.

SYNTACTIC_ALTERNATIVE: ""I know it's expired,"" she warned.",An assertion that the affair was hyped came from him.,"PARAPHRASE: He believes the episode has been exaggerated.

SYNTACTIC_ALTERNATIVE: ""I know it's expired,"" she replied.",That the event was amplified was what he stated.,He voiced the opinion that the uproar was undue.,The claim made by him labeled the excitement excessive.
1,A bunny can be fluffy sometimes.,Fluffiness is occasionally exhibited by a rabbit.,It is a rabbit that can sometimes appear downy.,There are moments when a hare seems plush.,What a bunny may be is soft now and then.,A hare’s coat can feel fuzzy at times.,"Rabbits occasionally have soft, thick fur.",Downiness is a trait a bunny might display occasionally.,"Every so often, a hare can strike one as velvety.",A rabbit sometimes gives off a fluffy impression.,One might perceive a bunny as plush on occasion.
2,A car drove down the road.,An automobile cruised along the thoroughfare.,The thoroughfare was cruised along by an automobile.,It was an automobile that cruised along the thoroughfare.,What cruised along the thoroughfare was an automobile.,There was an automobile cruising along the thoroughfare.,Cruising along the thoroughfare was an automobile.,"Along the thoroughfare, an automobile cruised.","PARAPHRASE:  
A vehicle rolled along the street.

SYNTACTIC_ALTERNATIVE:  
A cat leapt onto the couch.","PARAPHRASE: A vehicle rolled along the street.

SYNTACTIC_ALTERNATIVE: A cat leapt onto the couch.",Where an automobile cruised was along the thoroughfare.
3,"A childish notion, to be sure.",It is undeniably an immature idea.,One must admit the concept is juvenile.,Juvenile is what the notion unquestionably is.,There exists no doubt that the thought is infantile.,The thought’s childishness is beyond dispute.,"An infantile idea, without question, is what we have.",Nobody can deny the notion’s immaturity.,What is unquestionable is the idea’s juvenile nature.,"The concept is, everyone agrees, puerile.","It was a puerile notion, as all concede."
4,A cigarette would taste particularly good.,One would savor a smoke immensely right now.,A smoke would be savored immensely by anyone at this moment.,It is a cigarette that would hit the spot especially well.,There’s nothing like a cig that would feel exceptionally satisfying.,Exceptional satisfaction would come from a single cigarette.,What would taste extraordinarily fine is a cigarette.,A smoke would be especially satisfying.,The enjoyment of a cigarette would be unusually delightful.,Never would a puff taste as marvelous as it would now.,Particularly delightful would be the flavor of a cigarette.
5,A creature both demon and beast.,"It is a being that is part fiend, part brute.",There exists an entity combining devil and animal.,A fiendish brute is what the creature amounts to.,"What we have is a monster half hell-spawn, half beast.","Part demon, part animal—that is the nature of the creature.",The entity is constituted of both devilish and bestial elements.,One encounters a life-form blending fiend with wild creature.,A hybrid of hellion and brute is the being in question.,The creature’s essence fuses devil and animal together.,"As for its makeup, the beast is simultaneously demonic and feral."
6,A fully substantiated and provable fact.,It is a fact that has been completely verified and can be demonstrated.,A demonstrable truth that has been fully corroborated exists.,What has been wholly validated and is provable is a fact.,There exists a truth that has been entirely confirmed and is verifiable.,A truth has been fully established and can be proven.,That which has been completely authenticated and is provable is a fact.,It is a truth that has been thoroughly substantiated and is demonstrable.,A verifiable reality that has been entirely validated is present.,The reality is that something has been fully proven and can be shown.,What stands as a fact has been completely verified and is provable.
7,"A game of football, I suggest?",I propose a soccer match.,A soccer match is what I propose.,What I suggest is a game of soccer.,There’s a soccer game I’d like to suggest.,My suggestion is a football match.,It’s a game of soccer that I recommend.,A match of soccer is being suggested by me.,I’m the one suggesting a football game.,The idea I’ve put forward is a soccer contest.,A football game has been suggested by yours truly.
8,A gun fired into the air.,A firearm discharged skyward.,"Into the sky, a weapon released a round.",It was a pistol that blasted upward.,There was a shot fired aloft by a handgun.,A bullet was launched heavenward from a firearm.,What went off was a gun aimed at the heavens.,The firing of a weapon occurred sky-high.,Upward went a round from a piece.,"PARAPHRASE: A firearm discharged skyward.

SYNTACTIC_ALTERNATIVE: A choir burst into song.",A firearm discharged skyward.
9,A king must have an heir.,An heir is required by any monarch.,What a sovereign needs is a successor.,There must be a descendant for the ruler.,It is a successor that a crowned head must possess.,The having of an inheritor is obligatory for kingship.,"For a monarchy to endure, a successor is essential.","For a monarchy to endure, the sovereign needs a successor.",A monarch needs a successor.,"For whoever wears the crown, a next-in-line is mandatory.",A dynasty’s continuity demands the ruler produce an heir.
10,A large band played folk tunes.,Folk melodies were performed by a sizable ensemble.,It was a massive group that rendered traditional songs.,There was a hefty combo delivering rustic airs.,Traditional ditties got aired by a bulky troupe.,Folk melodies were performed by a sizable ensemble.,A sizable ensemble performed traditional melodies.,A bulky ensemble’s act consisted of ancestral tunes.,Rustic harmonies were what a grand combo played.,"In the performance, ancestral airs came from a hefty band.","With numerous members, the outfit delivered folk songs."
11,A letter awaited her at Princeton.,She discovered a sealed envelope waiting at Princeton.,"At Princeton, a sealed envelope was waiting for her.",It was at Princeton that a sealed envelope awaited her.,There was a sealed envelope at Princeton awaiting her.,A sealed envelope was what awaited her at Princeton.,"At Princeton, a letter was waiting for her.",Princeton held a sealed envelope in store for her.,What awaited her at Princeton was a sealed envelope.,A sealed envelope lay in wait for her at Princeton.,The place where a sealed envelope awaited her was Princeton.
12,"A little scary, but not surprising.","It’s slightly frightening, yet hardly unexpected.","Though mildly terrifying, it fails to shock.","One isn’t startled, only a touch alarmed.","There’s a faint chill, but no surprise.","A trace of dread appears, still nothing astonishing follows.",What induces minor fear isn’t astonishing.,"Mildly spooky, it remains unsurprising.",It evokes slight unease without catching anyone off guard.,"Not astonishing, the situation is just a bit creepy.","Slightly eerie, yet predictably so."
