text,start,end
हॉल,0.0,0.62
में,0.62,0.88
चारो,0.88,1.28
तरफ,1.28,1.56
दर्वाजे,1.56,2.16
ही,2.16,2.3
दर्वाजे,2.3,2.86
"थे,",2.86,3.1
लेकिन,3.22,3.86
सारे,3.86,4.26
दर्वाजों,4.26,4.88
पर,4.88,5.06
ताले,5.06,5.44
लगे,5.44,5.76
हुए,5.76,6.02
थे.,6.02,6.24
इस,6.92,7.18
तरफ,7.18,7.5
से,7.5,7.7
उस,7.7,8.0
तरफ,8.0,8.38
तक,8.38,8.62
हर,8.62,8.94
दर्वाजे,8.94,9.52
को,9.52,9.68
खुलने,9.68,10.18
की,10.18,10.34
कोशिश,10.34,10.8
करते,10.8,11.22
"हुए,",11.22,11.46
अलिस,11.92,12.38
उदास,12.38,12.96
होकर,12.96,13.42
हॉल,13.42,13.76
के,13.76,13.94
बीच,13.94,14.24
से,14.24,14.44
गुजरी.,14.44,14.84
वे,15.6,15.82
कुछ,15.82,16.14
भी,16.14,16.34
नहीं,16.34,16.54
कर,16.54,16.8
पा,16.8,17.0
रही,17.0,17.24
थी,17.24,17.52
और,17.52,17.88
सोच,17.88,18.22
रही,18.22,18.54
थी,18.54,18.82
कि,18.82,19.26
वे,19.26,19.48
दुबारा,19.48,20.12
यहां,20.12,20.44
से,20.44,20.62
बाहर,20.62,20.96
कैसे,20.96,21.38
निकल,21.38,21.72
पाएगी.,21.72,22.16
अचानक,23.08,23.76
अलिस,23.76,24.26
तीन,24.26,24.6
पाउं,24.6,25.0
वाली,25.0,25.38
एक,25.38,25.66
छोटी,25.66,26.14
मेज,26.14,26.48
के,26.48,26.66
पास,26.66,26.94
"पहुची,",26.94,27.44
जो,27.56,28.0
शीशे,28.0,28.5
की,28.5,28.62
बनी,28.62,28.94
थी.,28.94,29.22
उसके,29.76,30.2
उपर,30.2,30.66
सोने,30.66,31.22
की,31.22,31.42
एक,31.42,31.62
छोटी,31.62,32.06
सी,32.06,32.2
चाबी,32.2,32.6
रखी,32.6,32.98
हुई,32.98,33.22
थी.,33.22,33.46
अलिस,34.1,34.54
के,34.54,34.72
दिमाग,34.72,35.14
में,35.14,35.38
सबसे,35.38,35.9
पहला,35.9,36.28
खयाल,36.28,36.72
यहां,36.72,37.06
आया,37.06,37.38
कि,37.38,38.08
हो,38.08,38.32
"नहों,",38.32,39.18
यह,39.24,39.42
हॉल,39.42,39.84
के,39.84,40.04
ही,40.04,40.14
किसी,40.14,40.46
दरवाजे,40.46,41.02
की,41.02,41.16
चाबी,41.16,41.6
है.,41.6,41.74
लेकिन,42.48,42.94
"अफसोस,",42.94,43.58
या,44.14,44.34
तो,44.34,44.58
ताले,44.58,44.92
बहुत,44.92,45.22
बड़े,45.22,45.56
थे,45.56,45.84
या,45.84,46.3
फिर,46.3,46.54
चाबी,46.54,46.9
बहुत,46.9,47.2
छोटी,47.2,47.66
थी.,47.66,47.9
चाहे,48.48,48.9
कुछ,48.9,49.16
भी,49.16,49.4
हो,49.4,49.64
पर,49.64,50.18
यह,50.18,50.4
चाबी,50.4,51.0
इन,51.0,51.28
मेंसे,51.28,51.64
कोई,51.64,51.96
भी,51.96,52.1
दरवाजा,52.1,52.68
नहीं,52.68,52.9
खोल,52.9,53.22
सकती,53.22,53.6
थी.,53.6,53.78
हाला,54.72,55.18
कि,55.18,55.36
दूसरी,55.36,55.84
बार,55.84,56.14
अलिस,56.14,56.58
ने,56.58,56.76
गौर,56.76,57.1
किया,57.1,57.52
कि,57.52,58.0
वहाँ,58.0,58.38
पर,58.38,58.6
एक,58.6,58.76
छोटा,58.76,59.2
परदा,59.2,59.64
भी,59.64,59.82
था,59.82,60.1
जिसे,60.1,61.02
उसने,61.02,61.4
पहले,61.4,61.88
कभी,61.88,62.22
नहीं,62.22,62.48
देखा,62.48,62.86
था.,62.86,63.06
इसके,63.8,64.18
पीछे,64.18,64.66
लगबख,64.66,65.18
15,65.18,65.56
इंच,65.56,65.92
छोटा,65.92,66.38
एक,66.38,66.5
दरवाजा,66.5,67.06
था.,67.06,67.3
उसने,68.06,68.46
ताले,68.46,68.9
में,68.9,69.1
सोने,69.1,69.5
की,69.5,69.64
चाबी,69.64,70.04
डाली,70.04,70.52
और,70.52,70.92
ताला,70.92,71.32
खुल,71.32,71.62
गया.,71.62,71.96
अलिस,72.46,72.92
खुश,72.92,73.24
हो,73.24,73.4
गई.,73.4,73.64
अलिस,74.38,74.86
ने,74.86,75.04
दरवाजा,75.04,75.58
खोला,75.58,76.08
और,76.08,76.46
देखा,76.46,76.94
कि,76.94,77.52
वहाँ,77.52,77.86
एक,77.86,78.04
छोटा,78.04,78.46
सा,78.46,78.62
रास्ता,78.62,79.08
जा,79.08,79.3
रहा,79.3,79.58
था,79.58,80.04
जो,80.04,80.5
चूहे,80.5,80.98
के,80.98,81.14
बिल,81.14,81.4
से,81.4,81.62
जादा,81.62,81.96
बड़ा,81.96,82.28
नहीं,82.28,82.48
था.,82.48,82.76
अलिस,83.46,84.0
ने,84.0,84.2
गुटने,84.2,84.72
के,84.72,84.92
बल,84.92,85.22
बैठ,85.22,85.54
कर,85.54,85.76
रास्ते,85.76,86.24
से,86.24,86.38
बाहर,86.38,86.8
की,86.8,87.0
ओर,87.0,87.22
बहुत,87.22,87.62
ही,87.62,87.78
खुशूरत,87.78,88.5
बगीचा,88.5,89.0
देखा.,89.0,89.46
इससे,89.94,90.52
सुन्दर,90.52,90.92
बगीचा,90.92,91.7
उसने,91.7,92.08
आज,92.08,92.42
तक,92.42,92.62
नहीं,92.62,92.82
देखा,92.82,93.18
था.,93.18,93.42
पता,94.7,95.1
नहीं,95.1,95.46
इस,95.46,95.68
अंदेरे,95.68,96.28
हॉल,96.28,96.66
से,96.66,96.88
बाहर,96.88,97.26
निकलने,97.26,97.92
और,97.92,98.3
उन,98.3,98.44
खुशूरत,98.44,99.16
फुलवारियों,99.16,100.04
और,100.04,100.26
थंडे,100.26,100.66
पानी,100.66,101.1
के,101.1,101.26
जहर्नों,101.26,101.8
के,101.8,101.98
पास,101.98,102.32
घूमने,102.32,102.94
के,102.94,103.1
लिए,103.1,103.36
उसे,103.36,104.16
अभी,104.16,104.54
और,104.54,104.82
कितनी,104.82,105.2
देर,105.2,105.42
इंतजार,105.42,105.94
करना,105.94,106.34
होगा.,106.34,106.66
लेकिन,107.34,107.78
वह,107.78,108.02
तो,108.02,108.48
उस,108.48,108.6
छोटे,108.6,109.06
दरवाजे,109.06,109.68
से,109.68,110.0
अपना,110.0,110.48
सिर,110.48,110.84
तक,110.84,111.06
बाहर,111.06,111.4
नहीं,111.4,111.64
निकाल,111.64,112.06
सकती,112.06,112.42
थी.,112.42,112.64
मेरे,124.6,127.2
खयाल,127.2,127.62
से,127.62,127.8
मैं,127.8,128.04
वहाँ,128.04,128.26
पहुँच,128.26,128.76
तो,128.76,128.92
सकती,128.92,129.32
हूँ,129.32,129.58
