model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
mt5_small,google/mt5-small,2,contentwords,0,0.9631552696228027
mt5_small,google/mt5-small,2,contentwords,1,0.9579578042030334
mt5_small,google/mt5-small,2,contentwords,2,0.9512536525726318
mt5_small,google/mt5-small,2,contentwords,3,0.7647650837898254
mt5_small,google/mt5-small,2,contentwords,4,0.8275977969169617
mt5_small,google/mt5-small,2,contentwords,5,0.961733877658844
mt5_small,google/mt5-small,2,contentwords,6,0.7934650778770447
mt5_small,google/mt5-small,2,contentwords,7,0.9693078994750977
mt5_small,google/mt5-small,2,contentwords,8,0.9548208117485046
mt5_small,google/mt5-small,2,contentwords,9,0.9689053297042847
mt5_small,google/mt5-small,2,contentwords,10,0.9509230256080627
mt5_small,google/mt5-small,2,contentwords,11,0.9438254833221436
mt5_small,google/mt5-small,2,contentwords,12,0.8390380144119263
mt5_small,google/mt5-small,2,contentwords,13,0.9593023061752319
mt5_small,google/mt5-small,2,contentwords,14,0.9593347907066345
mt5_small,google/mt5-small,2,contentwords,15,0.955554723739624
mt5_small,google/mt5-small,2,contentwords,16,0.9329785108566284
mt5_small,google/mt5-small,2,contentwords,17,0.9598104953765869
mt5_small,google/mt5-small,2,contentwords,18,0.8285452127456665
mt5_small,google/mt5-small,2,contentwords,19,0.9724252820014954
mt5_small,google/mt5-small,2,contentwords,20,0.9626104235649109
mt5_small,google/mt5-small,2,contentwords,21,0.8130301237106323
mt5_small,google/mt5-small,2,contentwords,22,0.813752293586731
mt5_small,google/mt5-small,2,contentwords,23,0.9559974670410156
mt5_small,google/mt5-small,2,contentwords,24,0.9563246369361877
mt5_small,google/mt5-small,2,contentwords,25,0.9706792235374451
mt5_small,google/mt5-small,2,contentwords,26,0.9611570239067078
mt5_small,google/mt5-small,2,contentwords,27,0.9524567127227783
mt5_small,google/mt5-small,2,contentwords,28,0.7829791307449341
mt5_small,google/mt5-small,2,contentwords,29,0.9605862498283386
mt5_small,google/mt5-small,2,contentwords,30,0.9729835391044617
mt5_small,google/mt5-small,2,contentwords,31,0.9676724076271057
mt5_small,google/mt5-small,2,contentwords,32,0.9510504603385925
mt5_small,google/mt5-small,2,contentwords,33,0.9579469561576843
mt5_small,google/mt5-small,2,contentwords,34,0.9620134830474854
mt5_small,google/mt5-small,2,contentwords,35,0.9616827964782715
mt5_small,google/mt5-small,2,contentwords,36,0.9679346680641174
mt5_small,google/mt5-small,2,contentwords,37,0.9731667637825012
mt5_small,google/mt5-small,2,contentwords,38,0.9673459529876709
mt5_small,google/mt5-small,2,contentwords,39,0.9664083123207092
mt5_small,google/mt5-small,2,contentwords,40,0.9657298922538757
mt5_small,google/mt5-small,2,contentwords,41,0.9453893303871155
mt5_small,google/mt5-small,2,contentwords,42,0.9731249213218689
mt5_small,google/mt5-small,2,contentwords,43,0.9599459171295166
mt5_small,google/mt5-small,2,contentwords,44,0.9431149959564209
mt5_small,google/mt5-small,2,contentwords,45,0.7826406955718994
mt5_small,google/mt5-small,2,contentwords,46,0.9618830680847168
mt5_small,google/mt5-small,2,contentwords,47,0.9478509426116943
mt5_small,google/mt5-small,2,contentwords,48,0.9578854441642761
mt5_small,google/mt5-small,2,contentwords,49,0.9657239317893982
mt5_small,google/mt5-small,2,contentwords,50,0.9768418669700623
mt5_small,google/mt5-small,2,contentwords,51,0.961875319480896
mt5_small,google/mt5-small,2,contentwords,52,0.9587709903717041
mt5_small,google/mt5-small,2,contentwords,53,0.9708495140075684
mt5_small,google/mt5-small,2,contentwords,54,0.9923064112663269
mt5_small,google/mt5-small,2,contentwords,55,0.97657310962677
mt5_small,google/mt5-small,2,contentwords,56,0.8086493015289307
mt5_small,google/mt5-small,2,contentwords,57,0.9647252559661865
mt5_small,google/mt5-small,2,contentwords,58,0.9463309049606323
mt5_small,google/mt5-small,2,contentwords,59,0.9627721309661865
mt5_small,google/mt5-small,2,contentwords,60,0.9585179090499878
mt5_small,google/mt5-small,2,contentwords,61,0.9577031135559082
mt5_small,google/mt5-small,2,contentwords,62,0.9664887189865112
mt5_small,google/mt5-small,2,contentwords,63,0.9777682423591614
mt5_small,google/mt5-small,2,contentwords,64,0.9605445265769958
mt5_small,google/mt5-small,2,contentwords,65,0.9704174399375916
mt5_small,google/mt5-small,2,contentwords,66,0.9655869603157043
mt5_small,google/mt5-small,2,contentwords,67,0.9571898579597473
mt5_small,google/mt5-small,2,contentwords,68,0.9459336996078491
mt5_small,google/mt5-small,2,contentwords,69,0.8130044937133789
mt5_small,google/mt5-small,2,contentwords,70,0.9694339036941528
mt5_small,google/mt5-small,2,contentwords,71,0.955595850944519
mt5_small,google/mt5-small,2,contentwords,72,0.9598560333251953
mt5_small,google/mt5-small,2,contentwords,73,0.7834773063659668
mt5_small,google/mt5-small,2,contentwords,74,0.9639663696289062
mt5_small,google/mt5-small,2,contentwords,75,0.954828143119812
mt5_small,google/mt5-small,2,contentwords,76,0.8011474609375
mt5_small,google/mt5-small,2,contentwords,77,0.8093750476837158
mt5_small,google/mt5-small,2,contentwords,78,0.8232725262641907
mt5_small,google/mt5-small,2,contentwords,79,0.9692873954772949
mt5_small,google/mt5-small,2,contentwords,80,0.9648146629333496
mt5_small,google/mt5-small,2,contentwords,81,0.969182014465332
mt5_small,google/mt5-small,2,contentwords,82,0.9562674760818481
mt5_small,google/mt5-small,2,contentwords,83,0.8331571817398071
mt5_small,google/mt5-small,2,contentwords,84,0.9565705060958862
mt5_small,google/mt5-small,2,contentwords,85,0.9599413871765137
mt5_small,google/mt5-small,2,contentwords,86,0.9665266275405884
mt5_small,google/mt5-small,2,contentwords,87,0.8201063871383667
mt5_small,google/mt5-small,2,contentwords,88,0.9609875082969666
mt5_small,google/mt5-small,2,contentwords,89,0.9495409727096558
mt5_small,google/mt5-small,2,contentwords,90,0.9591163992881775
mt5_small,google/mt5-small,2,contentwords,91,0.9543498754501343
mt5_small,google/mt5-small,2,contentwords,92,0.9651846289634705
mt5_small,google/mt5-small,2,contentwords,93,0.9644203782081604
mt5_small,google/mt5-small,2,contentwords,94,0.974750280380249
mt5_small,google/mt5-small,2,contentwords,95,0.963276743888855
mt5_small,google/mt5-small,2,contentwords,96,0.9936444163322449
mt5_small,google/mt5-small,2,contentwords,97,0.9779878854751587
mt5_small,google/mt5-small,2,contentwords,98,0.9591549038887024
mt5_small,google/mt5-small,2,contentwords,99,0.9577515125274658
mt5_small,google/mt5-small,2,contentwords,100,0.9608794450759888
mt5_small,google/mt5-small,2,contentwords,101,0.9510494470596313
mt5_small,google/mt5-small,2,contentwords,102,0.9586762189865112
mt5_small,google/mt5-small,2,contentwords,103,0.9550175070762634
mt5_small,google/mt5-small,2,contentwords,104,0.9512848258018494
mt5_small,google/mt5-small,2,contentwords,105,0.9616378545761108
mt5_small,google/mt5-small,2,contentwords,106,0.8098451495170593
mt5_small,google/mt5-small,2,contentwords,107,0.7824827432632446
mt5_small,google/mt5-small,2,contentwords,108,0.9582579731941223
mt5_small,google/mt5-small,2,contentwords,109,0.9667447805404663
mt5_small,google/mt5-small,2,contentwords,110,0.9397001266479492
mt5_small,google/mt5-small,2,contentwords,111,0.8391677737236023
mt5_small,google/mt5-small,2,contentwords,112,0.9625672101974487
mt5_small,google/mt5-small,2,contentwords,113,0.9612893462181091
mt5_small,google/mt5-small,2,contentwords,114,0.9599661231040955
mt5_small,google/mt5-small,2,contentwords,115,0.8515545725822449
mt5_small,google/mt5-small,2,contentwords,116,0.9533501267433167
mt5_small,google/mt5-small,2,contentwords,117,0.9735389947891235
mt5_small,google/mt5-small,2,contentwords,118,0.9642057418823242
mt5_small,google/mt5-small,2,contentwords,119,0.7893975973129272
mt5_small,google/mt5-small,2,contentwords,120,0.9428811073303223
mt5_small,google/mt5-small,2,contentwords,121,0.9430313110351562
mt5_small,google/mt5-small,2,contentwords,122,0.94333416223526
mt5_small,google/mt5-small,2,contentwords,123,0.8087687492370605
mt5_small,google/mt5-small,2,contentwords,124,0.9342750310897827
mt5_small,google/mt5-small,2,contentwords,125,0.8687279224395752
mt5_small,google/mt5-small,2,contentwords,126,0.9656741619110107
mt5_small,google/mt5-small,2,contentwords,127,0.9655129313468933
mt5_small,google/mt5-small,2,contentwords,128,0.8186658024787903
mt5_small,google/mt5-small,2,contentwords,129,0.810497522354126
mt5_small,google/mt5-small,2,contentwords,130,0.9454038739204407
mt5_small,google/mt5-small,2,contentwords,131,0.9727201461791992
mt5_small,google/mt5-small,2,contentwords,132,0.9567543864250183
mt5_small,google/mt5-small,2,contentwords,133,0.9601068496704102
mt5_small,google/mt5-small,2,contentwords,134,0.9584066867828369
mt5_small,google/mt5-small,2,contentwords,135,0.9573059678077698
mt5_small,google/mt5-small,2,contentwords,136,0.8268176317214966
mt5_small,google/mt5-small,2,contentwords,137,0.9582356214523315
mt5_small,google/mt5-small,2,contentwords,138,0.9470753073692322
mt5_small,google/mt5-small,2,contentwords,139,0.9622981548309326
mt5_small,google/mt5-small,2,contentwords,140,0.9703028202056885
mt5_small,google/mt5-small,2,contentwords,141,0.8495998978614807
mt5_small,google/mt5-small,2,contentwords,142,0.9869000911712646
mt5_small,google/mt5-small,2,contentwords,143,0.8201453685760498
mt5_small,google/mt5-small,2,contentwords,144,0.9694643616676331
mt5_small,google/mt5-small,2,contentwords,145,0.8406333923339844
mt5_small,google/mt5-small,2,contentwords,146,0.9679427146911621
mt5_small,google/mt5-small,2,contentwords,147,0.9712139368057251
mt5_small,google/mt5-small,2,contentwords,148,0.9651046991348267
mt5_small,google/mt5-small,2,contentwords,149,0.821954607963562
mt5_small,google/mt5-small,2,contentwords,150,0.9417409896850586
mt5_small,google/mt5-small,2,contentwords,151,0.9412320256233215
mt5_small,google/mt5-small,2,contentwords,152,0.960160493850708
mt5_small,google/mt5-small,2,contentwords,153,0.9646798968315125
mt5_small,google/mt5-small,2,contentwords,154,0.9563585519790649
mt5_small,google/mt5-small,2,contentwords,155,0.8191847205162048
mt5_small,google/mt5-small,2,contentwords,156,0.9632704854011536
mt5_small,google/mt5-small,2,contentwords,157,0.9381141662597656
mt5_small,google/mt5-small,2,contentwords,158,0.9608069062232971
mt5_small,google/mt5-small,2,contentwords,159,0.9657408595085144
mt5_small,google/mt5-small,2,contentwords,160,0.7701124548912048
mt5_small,google/mt5-small,2,contentwords,161,0.961151659488678
mt5_small,google/mt5-small,2,contentwords,162,0.9502183198928833
mt5_small,google/mt5-small,2,contentwords,163,0.9690688848495483
mt5_small,google/mt5-small,2,contentwords,164,0.9522275328636169
mt5_small,google/mt5-small,2,contentwords,165,0.9652355909347534
mt5_small,google/mt5-small,2,contentwords,166,0.9718936085700989
mt5_small,google/mt5-small,2,contentwords,167,0.9647418856620789
mt5_small,google/mt5-small,2,contentwords,168,0.9522010684013367
mt5_small,google/mt5-small,2,contentwords,169,0.9594637751579285
mt5_small,google/mt5-small,2,contentwords,170,0.9377627372741699
mt5_small,google/mt5-small,2,contentwords,171,0.9421707391738892
mt5_small,google/mt5-small,2,contentwords,172,0.9661848545074463
mt5_small,google/mt5-small,2,contentwords,173,0.9451199769973755
mt5_small,google/mt5-small,2,contentwords,174,0.9685732126235962
mt5_small,google/mt5-small,2,contentwords,175,0.9623695015907288
mt5_small,google/mt5-small,2,contentwords,176,0.9563806056976318
mt5_small,google/mt5-small,2,contentwords,177,0.941058337688446
mt5_small,google/mt5-small,2,contentwords,178,0.9633058309555054
mt5_small,google/mt5-small,2,contentwords,179,0.957941472530365
mt5_small,google/mt5-small,2,contentwords,180,0.9411754608154297
mt5_small,google/mt5-small,2,contentwords,181,0.9500523209571838
mt5_small,google/mt5-small,2,contentwords,182,0.9571977853775024
mt5_small,google/mt5-small,2,contentwords,183,0.7871691584587097
mt5_small,google/mt5-small,2,contentwords,184,0.9696171283721924
mt5_small,google/mt5-small,2,contentwords,185,0.9633870720863342
mt5_small,google/mt5-small,2,contentwords,186,0.8196184039115906
mt5_small,google/mt5-small,2,contentwords,187,0.966617226600647
mt5_small,google/mt5-small,2,contentwords,188,0.9687394499778748
mt5_small,google/mt5-small,2,contentwords,189,0.9713597893714905
mt5_small,google/mt5-small,2,contentwords,190,0.969815194606781
mt5_small,google/mt5-small,2,contentwords,191,0.9693096876144409
mt5_small,google/mt5-small,2,contentwords,192,0.9541330337524414
mt5_small,google/mt5-small,2,contentwords,193,0.9568460583686829
mt5_small,google/mt5-small,2,contentwords,194,0.9659039974212646
mt5_small,google/mt5-small,2,contentwords,195,0.9634513854980469
mt5_small,google/mt5-small,2,contentwords,196,0.969063937664032
mt5_small,google/mt5-small,2,contentwords,197,0.948783814907074
mt5_small,google/mt5-small,2,contentwords,198,0.7954816818237305
mt5_small,google/mt5-small,2,contentwords,199,0.9628599882125854
mt5_small,google/mt5-small,2,contentwords,200,0.9633601307868958
mt5_small,google/mt5-small,2,contentwords,201,0.9610918760299683
mt5_small,google/mt5-small,2,contentwords,202,0.9583832025527954
mt5_small,google/mt5-small,2,contentwords,203,0.949251651763916
mt5_small,google/mt5-small,2,contentwords,204,0.942121684551239
mt5_small,google/mt5-small,2,contentwords,205,0.9623556137084961
mt5_small,google/mt5-small,2,contentwords,206,0.9658324122428894
mt5_small,google/mt5-small,2,contentwords,207,0.962897002696991
mt5_small,google/mt5-small,2,contentwords,208,0.9506844282150269
mt5_small,google/mt5-small,2,contentwords,209,0.964762806892395
mt5_small,google/mt5-small,2,contentwords,210,0.9667655825614929
mt5_small,google/mt5-small,2,contentwords,211,0.955111563205719
mt5_small,google/mt5-small,2,contentwords,212,0.9562387466430664
mt5_small,google/mt5-small,2,contentwords,213,0.9138729572296143
mt5_small,google/mt5-small,2,contentwords,214,0.9689644575119019
mt5_small,google/mt5-small,2,contentwords,215,0.9657827615737915
mt5_small,google/mt5-small,2,contentwords,216,0.9609388113021851
mt5_small,google/mt5-small,2,contentwords,217,0.953603982925415
mt5_small,google/mt5-small,2,contentwords,218,0.9613051414489746
mt5_small,google/mt5-small,2,contentwords,219,0.9622211456298828
mt5_small,google/mt5-small,2,contentwords,220,0.9695514440536499
mt5_small,google/mt5-small,2,contentwords,221,0.9647340774536133
mt5_small,google/mt5-small,2,contentwords,222,0.9624882936477661
mt5_small,google/mt5-small,2,contentwords,223,0.9673340320587158
mt5_small,google/mt5-small,2,contentwords,224,0.9701102375984192
mt5_small,google/mt5-small,2,contentwords,225,0.9440104961395264
mt5_small,google/mt5-small,2,contentwords,226,0.9621484279632568
mt5_small,google/mt5-small,2,contentwords,227,0.9503487348556519
mt5_small,google/mt5-small,2,contentwords,228,0.9645604491233826
mt5_small,google/mt5-small,2,contentwords,229,0.944417417049408
mt5_small,google/mt5-small,2,contentwords,230,0.9609484076499939
mt5_small,google/mt5-small,2,contentwords,231,0.9650967717170715
mt5_small,google/mt5-small,2,contentwords,232,0.9645023345947266
mt5_small,google/mt5-small,2,contentwords,233,0.9335527420043945
mt5_small,google/mt5-small,2,contentwords,234,0.9666199684143066
mt5_small,google/mt5-small,2,contentwords,235,0.9463825225830078
mt5_small,google/mt5-small,2,contentwords,236,0.9594541788101196
mt5_small,google/mt5-small,2,contentwords,237,0.9633032083511353
mt5_small,google/mt5-small,2,contentwords,238,0.926284909248352
mt5_small,google/mt5-small,2,contentwords,239,0.9416141510009766
mt5_small,google/mt5-small,2,contentwords,240,0.9620935916900635
mt5_small,google/mt5-small,2,contentwords,241,0.9653182029724121
mt5_small,google/mt5-small,2,contentwords,242,0.963214099407196
mt5_small,google/mt5-small,2,contentwords,243,0.9716802835464478
mt5_small,google/mt5-small,2,contentwords,244,0.9606858491897583
mt5_small,google/mt5-small,2,contentwords,245,0.9174938797950745
mt5_small,google/mt5-small,2,contentwords,246,0.9483218789100647
mt5_small,google/mt5-small,2,contentwords,247,0.9377123713493347
mt5_small,google/mt5-small,2,contentwords,248,0.9585859179496765
mt5_small,google/mt5-small,2,contentwords,249,0.9636630415916443
mt5_small,google/mt5-small,2,contentwords,250,0.9616902470588684
mt5_small,google/mt5-small,2,contentwords,251,0.9555075764656067
mt5_small,google/mt5-small,2,contentwords,252,0.943584680557251
mt5_small,google/mt5-small,2,contentwords,253,0.9629386067390442
mt5_small,google/mt5-small,2,contentwords,254,0.959691047668457
mt5_small,google/mt5-small,2,contentwords,255,0.9635155200958252
mt5_small,google/mt5-small,2,contentwords,256,0.9581212401390076
mt5_small,google/mt5-small,2,contentwords,257,0.9661579132080078
mt5_small,google/mt5-small,2,contentwords,258,0.9508135914802551
mt5_small,google/mt5-small,2,contentwords,259,0.9625216126441956
mt5_small,google/mt5-small,2,contentwords,260,0.9386191368103027
mt5_small,google/mt5-small,2,contentwords,261,0.9629384875297546
mt5_small,google/mt5-small,2,contentwords,262,0.9532020092010498
mt5_small,google/mt5-small,2,contentwords,263,0.9681276679039001
mt5_small,google/mt5-small,2,contentwords,264,0.9371417164802551
mt5_small,google/mt5-small,2,contentwords,265,0.9448047876358032
mt5_small,google/mt5-small,2,contentwords,266,0.9471181631088257
mt5_small,google/mt5-small,2,contentwords,267,0.9696968793869019
mt5_small,google/mt5-small,2,contentwords,268,0.9555040001869202
mt5_small,google/mt5-small,2,contentwords,269,0.9391072392463684
mt5_small,google/mt5-small,2,contentwords,270,0.955186128616333
mt5_small,google/mt5-small,2,contentwords,271,0.7978847622871399
mt5_small,google/mt5-small,2,contentwords,272,0.9592178463935852
mt5_small,google/mt5-small,2,contentwords,273,0.9634510278701782
mt5_small,google/mt5-small,2,contentwords,274,0.9527008533477783
mt5_small,google/mt5-small,2,contentwords,275,0.9520321488380432
mt5_small,google/mt5-small,2,contentwords,276,0.9519407153129578
mt5_small,google/mt5-small,2,contentwords,277,0.9580554962158203
mt5_small,google/mt5-small,2,contentwords,278,0.9559565782546997
mt5_small,google/mt5-small,2,contentwords,279,0.9680682420730591
mt5_small,google/mt5-small,2,contentwords,280,0.9485639333724976
mt5_small,google/mt5-small,2,contentwords,281,0.9334179162979126
mt5_small,google/mt5-small,2,contentwords,282,0.9474424123764038
mt5_small,google/mt5-small,2,contentwords,283,0.9593408107757568
mt5_small,google/mt5-small,2,contentwords,284,0.9749621748924255
mt5_small,google/mt5-small,2,contentwords,285,0.9284411668777466
mt5_small,google/mt5-small,2,contentwords,286,0.9602388143539429
mt5_small,google/mt5-small,2,contentwords,287,0.9610493779182434
mt5_small,google/mt5-small,2,contentwords,288,0.9483344554901123
mt5_small,google/mt5-small,2,contentwords,289,0.9760891199111938
mt5_small,google/mt5-small,2,contentwords,290,0.9522942900657654
mt5_small,google/mt5-small,2,contentwords,291,0.9402082562446594
mt5_small,google/mt5-small,2,contentwords,292,0.9664753675460815
mt5_small,google/mt5-small,2,contentwords,293,0.9635164737701416
mt5_small,google/mt5-small,2,contentwords,294,0.9649085998535156
mt5_small,google/mt5-small,2,contentwords,295,0.9707534313201904
mt5_small,google/mt5-small,2,contentwords,296,0.9356327652931213
mt5_small,google/mt5-small,2,contentwords,297,0.9357563257217407
mt5_small,google/mt5-small,2,contentwords,298,0.9645216464996338
mt5_small,google/mt5-small,2,contentwords,299,0.9539266228675842
mt5_small,google/mt5-small,2,contentwords,300,0.9672977924346924
mt5_small,google/mt5-small,2,contentwords,301,0.952343225479126
mt5_small,google/mt5-small,2,contentwords,302,0.9769706130027771
mt5_small,google/mt5-small,2,contentwords,303,0.9615771770477295
