sentence_idx,original_sentence,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.","Long curved edibles cluster on stems, their tender cores safe to swallow.",What hangs in bundles and hides a creamy flesh is a lengthy tropical fruit.,"It’s a stretched yellow treat, ripening in groups, whose inner pulp is tender enough to eat.",There exists a soft-cored cylinder that sprouts in hands and is devoured raw.,"Growing in tiers, the elongated produce carries a mushy interior fit for consumption.","A sweet cylinder, borne in clusters, reveals an inner softness people chew.","In bunches, lengthy yellow pods mature, each enclosing a delicate edible heart.",The plant yields grouped crescents whose creamy middles are safely eaten.,"What the herbaceous stalk offers are slim fruits, huddled together, with mushy flesh inside.",Consumable softness fills the interior of long fruits that arise in hanging sets.
1,A bed is a piece of furniture used as a place to sleep or have sex in.,A cot functions as household equipment employed for slumber or intercourse.,"Slumber or intimacy is what a cot, a household item, is utilized for.",It is a cot that serves as domestic gear for dozing or coupling.,The utilization of a cot—a domestic article—is for napping or mating.,"There exists domestic apparatus, namely a cot, meant for sleeping or lovemaking.","Dozing or lovemaking is done on a cot, an article of household gear.","A cot, categorized as household furniture, is where people nap or copulate.","What is used as a spot for snoozing or intimacy is a cot, a domestic furnishing.","As a piece of household equipment, a cot provides a venue for slumber or sex.","The cot, a home furnishing, acts as a location for sleeping or engaging in intercourse."
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.","A mattress and a box spring, together with sheets, pillows and covers, constitute a bed.","Sheets, pillows and covers are added to a mattress and a box spring to form a bed.","It is a mattress and a box spring, plus linens, cushions and blankets, that make up a bed.","A bed is composed when a mattress and a box spring are joined by linens, cushions and blankets.","There exists a bed whenever a mattress, a box spring, linens, cushions and blankets are assembled.","Linens, cushions and blankets accompany a mattress and a box spring to create what is called a bed.","What a mattress and a box spring become once linens, cushions and blankets are included is a bed.","The assembly of a mattress, a box spring, linens, cushions and blankets results in a bed.","A bed comes into being through the combination of a mattress, a box spring, linens, cushions and blankets.","Made from a mattress and a box spring, a bed is completed by the addition of linens, cushions and blankets."
3,"A bee is a flying insect, with a black and yellow body and six legs.","A buzzing creature that soars through the air, this insect sports six limbs and stripes of onyx and amber.","Six-legged and banded in jet and gold, the airborne bug is what people label a honey-maker.",It is a winged arthropod—striped dark-and-bright and furnished with half-a-dozen appendages—that we call a bee.,There exists an aerial bug whose half-dozen limbs and ebony-amber torso define it as a bee.,"Striped in charcoal and citrine and equipped with three pairs of legs, the insect in flight is known as a bee.","What is termed a bee is an insect on the wing, bearing two colors—sable and saffron—and a count of six legs.","An insect that flies, carrying a body painted midnight-and-maize and supported by six limbs, receives the name bee.","The designation “bee” applies to a six-limbed, airborne bug whose torso flashes black and yellow.","Being a creature of flight, the arthropod—marked by dual hues and three leg-pairs—is identified as a bee.","Painted with alternating jet and gold and owning six appendages, the flying bug is what we name a bee."
4,A bicycle is a vehicle with two wheels and pedals on a frame.,Two-wheeled conveyances equipped with crank-operated footrests mounted on a chassis are categorized as cycles.,It is the pair of rotating circles and the set of foot levers attached to a skeletal structure that define a cycle.,A frame-supported transport device is what you get when dual rims and treadles are combined.,There exists a human-powered machine whose identity is fixed by twin hoops and stirrups on a skeleton.,"Defined by a duo of hoops and foot-driven levers fastened to a chassis, a cycle qualifies as transport.",What earns the name “cycle” is the merger of paired spinners and foot bars on a rigid scaffold.,A chassis carrying paired rotors plus pedal levers is recognized as a human-powered vehicle.,"By mounting double loops and foot cranks onto a frame, one creates the conveyance known as a cycle.",The concept of a cycle arises from twin circular runners and foot-actuated bars joined to a support structure.,A skeletal frame fitted with dual rings and foot treadles is the makeup of this two-wheeler.
5,A blacksmith creates objects by forging iron or steel.,Objects are fashioned from iron or steel by a smith.,It is a blacksmith who shapes items out of forged metal.,There exists a craftsperson who forms utensils by hammering ferrous alloys.,What a smith produces are implements made by heating and pounding steel.,"Using fire and hammer, a smith shapes iron or steel into useful items.",The crafting of goods through the shaping of iron or steel is done by a smithy.,"PARAPHRASE: By heating and hammering iron or steel, a smith fashions various metal items.

SYNTACTIC_ALTERNATIVE: A pastry chef designs desserts by layering cream and fruit.",Items emerge when a metalworker beats iron or steel into form.,"By hammering ferrous materials, a smith brings utensils into being.",The one who turns heated metal into usable objects is the blacksmith.
6,A blender is a kitchen appliance used to mix ingredients or puree food.,A countertop gadget for whirling edibles into liquids or batters is what a blender amounts to.,It is a culinary device that liquefies or combines components that we label a blender.,"What gets employed for churning produce into smoothies or soups is a blender, an electric kitchen instrument.",There exists a domestic culinary machine—called a blender—whose role is to emulsify or amalgamate fare.,"Ingredients are whirred or reduced to pulp by a blender, an electric appliance found in kitchens.",The pulverizing or combining of foodstuffs is performed by a gadget known as a blender.,A blender’s function involves the kitchen-side blending or pureeing of edible components.,"Employed to homogenize or liquefy recipes, a blender is a household culinary contraption.","As a domestic food-prep apparatus, a blender carries out the task of mixing or mashing provisions.",The apparatus referred to as a blender serves kitchens by swirling constituents together or converting them to mush.
7,A boy becomes a man after passing through puberty.,Puberty’s completion turns a lad into an adult male.,"After adolescence is traversed, a youngster is transformed into a grown man.",A male transitions to adulthood once he has completed puberty.,An adult male is what a youth grows into once hormonal maturation occurs.,"There comes a stage when, following puberty, a child emerges as a mature man.",The passage of teenage years renders a boy an adult.,A lad’s transition to manhood happens when juvenile development concludes.,"Once the adolescent phase is behind him, a youngster turns into a full-grown man.",Manhood is attained by a youth after undergoing sexual maturation.,What changes a kid into a gentleman is the completion of puberty.
8,A boy is a young male child who has not undergone puberty.,A lad is a juvenile human male who hasn’t reached adolescence.,It is a prepubescent male youngster that the word “boy” labels.,Prepuberty is the state of a young male person referred to as a boy.,There exists a category—boy—for a male kid still before puberty.,A male child not yet adolescent is what people call a boy.,What hasn’t undergone sexual maturation is a young male called a boy.,The term “boy” applies to a male juvenile who remains prepubescent.,"A youngster of the male sex, puberty not yet achieved, is termed a boy.",Being a boy means being a juvenile male who hasn’t hit puberty.,Prepubescent male youths are the ones we label as boys.
9,A butterfly is a flying insect with four large wings.,"Four sizable wings belong to the butterfly, a soaring bug.",It is a fluttering creature whose four broad wings mark it as an insect.,"There exists an airborne insect, the butterfly, equipped with four expansive wings.","Classified among insects, the butterfly soars on two pairs of outsized wings.",What has four prominent wings and flies is the insect we label a butterfly.,"An insect capable of flight, the butterfly bears a quartet of sizable wings.",The lepidopteran’s identity as a flying bug is signaled by four grand wings.,"With four vast wings, the butterfly is recognized as an insect of the air.","Being an insect, the butterfly navigates the air using two sets of large wings.",Four conspicuous wings are sported by this insect known for its aerial grace.
10,A car can be powered by a gasoline or electric engine.,A gasoline or electric engine can power a car.,It is a gasoline or electric engine that can propel an automobile.,There are vehicles whose motive force comes from either a petrol or battery-driven motor.,What can supply motive energy to an auto is either a fossil-fuel or an electric powerplant.,Automobile propulsion is achievable through either a petroleum or an electrically driven unit.,A vehicle may run on either an electric motor or one that burns gasoline.,Either a combustion or an electric drive unit is capable of running a motorcar.,A motor vehicle is able to be driven by a petrol or an electric power unit.,The source of propulsion for an auto can be either a gasoline or an electric motor.,"PARAPHRASE:  
Gasoline or electricity can drive a car’s motor.

SYNTACTIC_ALTERNATIVE:  
A song can be requested by a toddler or weary traveler."
11,A carpenter is an artist or manual laborer who works with wood.,Wood is the medium handled by an artisan or craftsperson known as a carpenter.,It is with timber that an artist or tradesman called a carpenter creates.,There exists a woodworker—an artist or manual toiler—who answers to the name carpenter.,What a carpenter does is shape lumber as either an artist or a handworker.,"An individual who fashions timber, whether seen as an artist or a laborer, is termed a carpenter.",PARAPHRASE: Someone who shapes timber with tools and skill is called a carpenter.,The one who manipulates planks as an artisan or blue-collar worker goes by the label carpenter.,"PARAPHRASE: Someone who shapes timber by hand or with tools is called a carpenter.

SYNTACTIC_ALTERNATIVE: A botanist is a scientist or field researcher who studies plants.","Called a carpenter, the creative or sweat-driven handler of lumber practices that trade.",A person regarded as either an artist or a manual practitioner is the one working wood as a carpenter.
12,A castle could easily control lands within a day's walk.,Lands lying within a single day’s march could readily be dominated by a fortress.,It was a stronghold that could effortlessly govern every territory reachable in twenty-four hours on foot.,"Within the radius of a day’s hike, territories were easily kept under the thumb of a citadel.",There existed domains a day’s walk away that a palace-fort could comfortably command.,A fortress’s effortless oversight extended to all ground coverable in one day’s walking.,What a keep could smoothly rule were the tracts reachable on foot in a day.,Domination of countrysides within a day’s foot-travel was simple for a fortified castle.,"A stronghold’s control, easily exercised, spanned lands no farther than a day’s trek.",The governing of regions lying a day’s walk off was a straightforward matter for a bastion.,Easily controllable by a fortress were the territories situated inside a one-day pedestrian radius.
