model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,0,0.7213131189346313
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,1,0.7586121559143066
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,2,0.7768062949180603
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,3,0.7747934460639954
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,4,0.8165361285209656
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,5,0.7945486903190613
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,6,0.7057496905326843
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,7,0.7673320174217224
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,8,0.7064072489738464
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,9,0.762302577495575
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,10,0.7435048222541809
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,11,0.7814350724220276
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,12,0.7012022137641907
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,13,0.6974048614501953
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,14,0.7023963928222656
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,15,0.7812461256980896
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,16,0.7777746319770813
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,17,0.82142174243927
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,18,0.7823693752288818
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,19,0.7623095512390137
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,20,0.7948735952377319
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,21,0.804061770439148
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,22,0.7641759514808655
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,23,0.7977686524391174
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,24,0.7992594838142395
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,25,0.6953476667404175
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,26,0.7939291596412659
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,27,0.7758069634437561
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,28,0.7593510150909424
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,29,0.7101675868034363
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,30,0.7840042114257812
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,31,0.7370168566703796
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,32,0.8039394617080688
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,33,0.7692630290985107
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,34,0.7041361331939697
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,35,0.7726794481277466
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,36,0.6811843514442444
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,37,0.8236737251281738
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,38,0.7718812823295593
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,39,0.8277665376663208
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,40,0.717297375202179
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,41,0.7426836490631104
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,42,0.7616144418716431
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,43,0.6453590393066406
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,44,0.743030309677124
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,45,0.7313530445098877
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,46,0.7601999044418335
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,47,0.6935330033302307
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,48,0.756714403629303
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,49,0.7978343963623047
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,50,0.7939190864562988
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,51,0.7427473068237305
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,52,0.7558696269989014
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,53,0.7109140157699585
mdeberta,microsoft/mdeberta-v3-base,9,contentwords,54,0.7518588304519653
