text,start,end
आथ,0.0,0.98
शिर्ताच,0.98,1.66
में,1.66,2.28
एका,2.28,2.58
मोठ्या,2.58,3.18
थोरल्या,3.18,3.82
गुलाबाच्या,3.82,4.38
जाड़ा,4.38,4.66
जवल,4.66,4.88
आले।,4.88,6.26
त्यावर,6.32,6.72
खूब,6.72,7.16
पांधरे,7.16,7.7
गुलाब,7.7,8.06
फुलनेले,8.06,8.62
दिसत,8.62,8.86
होते।,8.86,10.24
त्या,10.34,10.56
जाड़ा,10.56,10.94
भावती,10.94,11.32
तीन,11.32,11.88
माली,11.88,12.24
उभे,12.24,12.52
रहों,12.52,12.8
फुलाना,12.8,13.7
रंगरंगोटी,13.7,14.48
करतो,14.48,14.8
थे।,14.8,15.94
यह,16.0,16.16
गम्मत,16.16,16.6
पाँधरे,16.6,17.14
मैं,17.14,17.46
तित्याच,17.46,17.78
थबकले।,17.78,19.24
ते,19.28,19.52
तीन,19.52,19.82
माली,19.82,20.2
भाराच,20.2,20.94
विचित्र,20.94,21.34
दिसत,21.34,21.6
होते।,21.6,22.94
विचित्र,23.0,23.5
मन्जे,23.5,23.84
काय?,23.84,24.1
अक्दि,24.48,25.04
खेल,25.04,25.34
अतले,25.34,25.58
पत्तेच,25.58,26.04
होते,26.04,26.26
ते।,26.26,26.64
त्यांचा,27.6,28.02
बोलना,28.02,28.52
मैं,28.52,28.8
बाजूला,28.8,29.26
उभी,29.26,29.54
रहों,29.54,29.8
आएकू,29.8,30.06
लागले।,30.06,30.52
ए,31.78,31.98
गाड़वा,31.98,32.68
"पंज्या,",32.68,33.22
पहातोस,33.64,34.3
कुछ,34.3,34.54
है?,34.54,34.7
माझा,35.14,35.64
अंगा,35.64,35.96
वे,35.96,36.08
रंग,36.08,36.36
काय,36.36,36.62
उडवतोस,36.62,37.1
असा?,37.1,37.34
मी,38.48,38.76
रे,38.76,38.98
काय,38.98,39.14
करू?,39.14,39.44
या,39.94,40.22
सत्याने,40.22,40.94
केवड़याने,40.94,41.76
धका,41.76,42.12
दिला,42.12,42.38
भग,42.38,42.54
मला?,42.54,42.84
खाशी,43.94,44.46
"पंज्याजी,",44.46,45.04
आपन,45.78,46.14
छुक,46.14,46.46
कराइची,46.46,46.98
नी,46.98,47.46
दुसरे,47.46,47.76
वाल,47.76,47.92
धकलाइची।,47.92,48.6
नहीं,49.66,50.1
मीच,50.1,50.26
आई,50.26,50.68
हाँ,50.68,50.84
तुझा,50.84,51.1
अपला।,51.1,52.42
तू,52.42,53.12
बोलू,53.12,53.44
ना,53.44,53.58
क़स्रे,53.58,53.94
मधे।,53.94,55.14
काल,55.3,55.66
अच्छा,55.66,55.92
राणी,55.92,56.14
सरकार,56.14,56.54
नी,56.54,56.78
तुझा,56.78,57.14
डोको,57.14,57.44
उडवायचा,57.44,57.9
हुकुम,57.9,58.22
दिला,58.22,58.46
है।,58.46,58.66
त्यांसा,60.32,60.76
ते,60.76,60.9
भाणड़न,60.9,61.36
काही,61.36,61.76
केल्या,61.76,62.1
थांबेना।,62.1,63.44
तेबा,63.44,63.9
मी,63.9,64.04
"फ़ंटला,",64.04,64.42
पण,65.54,65.92
तुम्ही,65.92,66.4
गुलाबाचा,66.4,67.02
फुलानना,67.02,67.76
हा,67.76,68.18
रंग,68.18,68.44
का,68.44,68.72
देध,68.72,69.16
बसला,69.16,69.54
हाथ।,69.54,71.18
त्यांसा,71.18,71.8
अठ्या,71.8,72.3
हसुन,72.3,72.62
"महनाला,",72.62,73.06
खर,74.18,74.52
संगू,74.52,74.92
"मुली,",74.92,75.24
राणी,76.08,76.58
साहेबान,76.58,77.02
नी,77.02,77.24
अम्हला,77.24,78.08
ताम्डा,78.08,78.7
गुलाब,78.7,79.04
लावायला,79.04,79.48
संगितला,79.48,79.94
होता।,79.94,80.26
पण,80.82,81.2
चुकीने,81.2,81.74
अम्ही,81.74,82.12
लावला,82.12,82.42
पांढ्रा,82.42,82.94
"गुलाब,",82.94,83.28
अता,83.92,84.3
आली,84.3,84.48
तयाला,84.48,84.78
फुला।,84.78,85.76
जर,85.76,86.18
का,86.18,86.38
राणी,86.38,86.72
साहेबान,86.72,87.16
नी,87.16,87.28
फुला,87.28,87.66
"पाहिली,",87.66,88.16
तर,88.46,89.16
आमची,89.16,89.46
सगलेयांची,89.46,90.2
डोके,90.2,90.48
खलास।,90.48,91.2
आमची,91.5,92.38
डोके,92.38,92.72
उडवला,92.72,93.12
चा,93.12,93.26
हुकुम,93.26,93.64
राणी,93.64,93.98
साहेब,93.98,94.32
खात्री,94.32,94.94
ने,94.94,95.08
देतील।,95.08,96.58
अपलो,96.58,97.98
डोको,97.98,98.38
