step,feature_name,r2
0,rating_imageability_mean,0.9953528549125102
0,rating_others_thoughts_mean,0.995874256896499
0,rating_physical_mean,0.9966140371167904
0,rating_places_mean,0.9956650747037915
0,rating_valence_mean,0.9909002296232118
0,rating_arousal_mean,0.9930498028883546
0,rating_sense_mean,0.9897105599428285
1,rating_imageability_mean,0.9949004139205767
1,rating_others_thoughts_mean,0.9957186116228715
1,rating_physical_mean,0.996536485498548
1,rating_places_mean,0.9955675988282345
1,rating_valence_mean,0.9907287201065655
1,rating_arousal_mean,0.9929493731711018
1,rating_sense_mean,0.9887955914543823
2,rating_imageability_mean,0.993545345591131
2,rating_others_thoughts_mean,0.9954515911719444
2,rating_physical_mean,0.9965034384292603
2,rating_places_mean,0.9955524538472122
2,rating_valence_mean,0.9907299506033246
2,rating_arousal_mean,0.9928173958825072
2,rating_sense_mean,0.9672005875782098
3,rating_imageability_mean,0.9912638193823496
3,rating_others_thoughts_mean,0.9943363447738237
3,rating_physical_mean,0.996266648693968
3,rating_places_mean,0.9955526024258585
3,rating_valence_mean,0.988039659404878
3,rating_arousal_mean,0.9925932447341514
3,rating_sense_mean,0.9585893244046146
4,rating_imageability_mean,0.9903283428787988
4,rating_others_thoughts_mean,0.9939355459059285
4,rating_physical_mean,0.995201333264637
4,rating_places_mean,0.9947549780418383
4,rating_valence_mean,0.9880357204195533
4,rating_arousal_mean,0.9924134383963197
4,rating_sense_mean,0.950161290352122
5,rating_imageability_mean,0.9903019476261975
5,rating_others_thoughts_mean,0.9939240003284565
5,rating_physical_mean,0.9951547121067456
5,rating_places_mean,0.9947533551696988
5,rating_valence_mean,0.9879983924055137
5,rating_arousal_mean,0.9921940910578114
5,rating_sense_mean,0.9501487034675953
6,rating_imageability_mean,0.9903041713310642
6,rating_others_thoughts_mean,0.9938932588504612
6,rating_physical_mean,0.9951123895208469
6,rating_places_mean,0.9947509931693422
6,rating_valence_mean,0.9879965111673139
6,rating_arousal_mean,0.991936520969816
6,rating_sense_mean,0.949800337149893
7,rating_imageability_mean,0.9901079629831723
7,rating_others_thoughts_mean,0.9938417499409531
7,rating_physical_mean,0.9951121616662242
7,rating_places_mean,0.9947469686610066
7,rating_valence_mean,0.9869269350067805
7,rating_arousal_mean,0.9909006344297876
7,rating_sense_mean,0.9494586135885895
8,rating_imageability_mean,0.9899340079721038
8,rating_others_thoughts_mean,0.9938402323011074
8,rating_physical_mean,0.9950596200675786
8,rating_places_mean,0.9942976806170013
8,rating_valence_mean,0.9864504225825678
8,rating_arousal_mean,0.9909006281996218
