model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
xlm_align,microsoft/xlm-align-base,7,contentwords,0,0.9176157712936401
xlm_align,microsoft/xlm-align-base,7,contentwords,1,0.9157508611679077
xlm_align,microsoft/xlm-align-base,7,contentwords,2,0.8789833188056946
xlm_align,microsoft/xlm-align-base,7,contentwords,3,0.9090399742126465
xlm_align,microsoft/xlm-align-base,7,contentwords,4,0.8939618468284607
xlm_align,microsoft/xlm-align-base,7,contentwords,5,0.872383713722229
xlm_align,microsoft/xlm-align-base,7,contentwords,6,0.8897922039031982
xlm_align,microsoft/xlm-align-base,7,contentwords,7,0.9278251528739929
xlm_align,microsoft/xlm-align-base,7,contentwords,8,0.875928521156311
xlm_align,microsoft/xlm-align-base,7,contentwords,9,0.8798635005950928
xlm_align,microsoft/xlm-align-base,7,contentwords,10,0.9038625955581665
xlm_align,microsoft/xlm-align-base,7,contentwords,11,0.9029648900032043
xlm_align,microsoft/xlm-align-base,7,contentwords,12,0.9068102240562439
xlm_align,microsoft/xlm-align-base,7,contentwords,13,0.9154931306838989
xlm_align,microsoft/xlm-align-base,7,contentwords,14,0.8884670734405518
xlm_align,microsoft/xlm-align-base,7,contentwords,15,0.9209070205688477
xlm_align,microsoft/xlm-align-base,7,contentwords,16,0.8811410665512085
xlm_align,microsoft/xlm-align-base,7,contentwords,17,0.9008989334106445
xlm_align,microsoft/xlm-align-base,7,contentwords,18,0.8858472108840942
xlm_align,microsoft/xlm-align-base,7,contentwords,19,0.8897900581359863
xlm_align,microsoft/xlm-align-base,7,contentwords,20,0.9343835711479187
xlm_align,microsoft/xlm-align-base,7,contentwords,21,0.9157533645629883
xlm_align,microsoft/xlm-align-base,7,contentwords,22,0.8921293020248413
xlm_align,microsoft/xlm-align-base,7,contentwords,23,0.9037068486213684
xlm_align,microsoft/xlm-align-base,7,contentwords,24,0.9015219211578369
xlm_align,microsoft/xlm-align-base,7,contentwords,25,0.8776132464408875
xlm_align,microsoft/xlm-align-base,7,contentwords,26,0.9058374166488647
xlm_align,microsoft/xlm-align-base,7,contentwords,27,0.8896331787109375
xlm_align,microsoft/xlm-align-base,7,contentwords,28,0.9052988290786743
xlm_align,microsoft/xlm-align-base,7,contentwords,29,0.8959124684333801
xlm_align,microsoft/xlm-align-base,7,contentwords,30,0.8916597962379456
xlm_align,microsoft/xlm-align-base,7,contentwords,31,0.8927578330039978
xlm_align,microsoft/xlm-align-base,7,contentwords,32,0.8985902070999146
xlm_align,microsoft/xlm-align-base,7,contentwords,33,0.8842079043388367
xlm_align,microsoft/xlm-align-base,7,contentwords,34,0.8436532020568848
xlm_align,microsoft/xlm-align-base,7,contentwords,35,0.9027165770530701
xlm_align,microsoft/xlm-align-base,7,contentwords,36,0.8787057399749756
xlm_align,microsoft/xlm-align-base,7,contentwords,37,0.9298851490020752
xlm_align,microsoft/xlm-align-base,7,contentwords,38,0.9272412061691284
xlm_align,microsoft/xlm-align-base,7,contentwords,39,0.8964079022407532
xlm_align,microsoft/xlm-align-base,7,contentwords,40,0.884468674659729
xlm_align,microsoft/xlm-align-base,7,contentwords,41,0.8983938694000244
xlm_align,microsoft/xlm-align-base,7,contentwords,42,0.9128696918487549
xlm_align,microsoft/xlm-align-base,7,contentwords,43,0.8003150224685669
xlm_align,microsoft/xlm-align-base,7,contentwords,44,0.838904082775116
xlm_align,microsoft/xlm-align-base,7,contentwords,45,0.8990573287010193
xlm_align,microsoft/xlm-align-base,7,contentwords,46,0.83189857006073
xlm_align,microsoft/xlm-align-base,7,contentwords,47,0.8853467702865601
xlm_align,microsoft/xlm-align-base,7,contentwords,48,0.9038195610046387
xlm_align,microsoft/xlm-align-base,7,contentwords,49,0.8768098950386047
xlm_align,microsoft/xlm-align-base,7,contentwords,50,0.8887287974357605
xlm_align,microsoft/xlm-align-base,7,contentwords,51,0.8665470480918884
xlm_align,microsoft/xlm-align-base,7,contentwords,52,0.9291528463363647
xlm_align,microsoft/xlm-align-base,7,contentwords,53,0.8921195268630981
xlm_align,microsoft/xlm-align-base,7,contentwords,54,0.8891787528991699
xlm_align,microsoft/xlm-align-base,7,contentwords,55,0.8701533079147339
xlm_align,microsoft/xlm-align-base,7,contentwords,56,0.8809460997581482
xlm_align,microsoft/xlm-align-base,7,contentwords,57,0.9277989268302917
xlm_align,microsoft/xlm-align-base,7,contentwords,58,0.8751225471496582
xlm_align,microsoft/xlm-align-base,7,contentwords,59,0.9048035740852356
xlm_align,microsoft/xlm-align-base,7,contentwords,60,0.8739128112792969
xlm_align,microsoft/xlm-align-base,7,contentwords,61,0.8908618092536926
xlm_align,microsoft/xlm-align-base,7,contentwords,62,0.9269501566886902
xlm_align,microsoft/xlm-align-base,7,contentwords,63,0.8350584506988525
xlm_align,microsoft/xlm-align-base,7,contentwords,64,0.8876301646232605
xlm_align,microsoft/xlm-align-base,7,contentwords,65,0.8490192294120789
xlm_align,microsoft/xlm-align-base,7,contentwords,66,0.9322081208229065
xlm_align,microsoft/xlm-align-base,7,contentwords,67,0.9115616083145142
xlm_align,microsoft/xlm-align-base,7,contentwords,68,0.8819048404693604
xlm_align,microsoft/xlm-align-base,7,contentwords,69,0.8595288991928101
xlm_align,microsoft/xlm-align-base,7,contentwords,70,0.8658491373062134
xlm_align,microsoft/xlm-align-base,7,contentwords,71,0.896735668182373
xlm_align,microsoft/xlm-align-base,7,contentwords,72,0.8360489010810852
xlm_align,microsoft/xlm-align-base,7,contentwords,73,0.8789663314819336
xlm_align,microsoft/xlm-align-base,7,contentwords,74,0.9029302000999451
xlm_align,microsoft/xlm-align-base,7,contentwords,75,0.896672785282135
xlm_align,microsoft/xlm-align-base,7,contentwords,76,0.8656689524650574
xlm_align,microsoft/xlm-align-base,7,contentwords,77,0.9004373550415039
xlm_align,microsoft/xlm-align-base,7,contentwords,78,0.9049608111381531
xlm_align,microsoft/xlm-align-base,7,contentwords,79,0.9435617923736572
xlm_align,microsoft/xlm-align-base,7,contentwords,80,0.8763095140457153
xlm_align,microsoft/xlm-align-base,7,contentwords,81,0.8761138319969177
xlm_align,microsoft/xlm-align-base,7,contentwords,82,0.8611091375350952
xlm_align,microsoft/xlm-align-base,7,contentwords,83,0.8904313445091248
xlm_align,microsoft/xlm-align-base,7,contentwords,84,0.9148695468902588
