Sentence,EffectSize,cond
"""I think it's overblown,"" he said.",0.1843253782985243,B
A Begins address is legalizing required.,0.3728182468563318,D
A PH of a reporters Aw.,-0.29096175730228424,D
A bunny can be fluffy sometimes.,-0.39253978613571466,B
A car drove down the road.,-0.5569016774836653,B
"A childish notion, to be sure.",-0.3825224092020792,B
A cigarette would taste particularly good.,-0.22400803103502698,B
A creature both demon and beast.,-0.08568236960615445,B
A fully substantiated and provable fact.,-0.07651127411097823,B
"A game of football, I suggest?",-0.2127265989103591,B
A gun fired into the air.,-0.21142223977137475,B
A king must have an heir.,-0.0008179777375008135,B
A large band played folk tunes.,-0.25107178050045176,B
A letter awaited her at Princeton.,0.17311247939402336,B
A little girl rides a horse.,-0.10413477537263487,S
"A little scary, but not surprising.",-0.24141202419558455,B
A loud rumbling noise interrupted him.,-0.35201976756593223,B
A monkey with a bird's voice!,-0.01774562053517416,B
A must for all hosta collections.,-0.14017395881319397,B
A photo appears on the screen.,-0.2002642118456844,B
A shower and clean clothes helped.,-0.17159183836019593,B
A student intellectual turned leftist radical.,0.5052824944754584,B
A tall man with sun-streaked hair.,-0.31038813706438295,B
"A test was necessary, she decided.",0.04703457160190233,B
A tree covered with red berries.,-0.32633866736232714,B
A vagrant Published french my Mer.,-0.10599497854709627,D
A vampire can full on cry?,0.16866114614120048,B
A very special alloy in Ask.,0.4738803569227457,D
A voice came over his radio.,-0.5115858984667472,B
A wooden table lay between them.,-0.009159589942952805,B
A work boot with real integrit..,0.21463550840360643,D
A work of art in itself.,0.19573677604112322,B
ACK was diligence an odd Reb.,0.20469481935724615,D
AISI 309L stainless steel sheet - Alibaba.,-0.34887772872052575,D
ALTH mask players he was Id.,0.15447432622313506,D
AM have lots of roles here.,-0.33935872316360477,S
ARK is Kat going to IND.,-0.6384590622037649,D
ASY would Azerbaijan subs taken MIT.,-0.00935736000537872,D
ATIONAL Startup of information and Coh.,0.2016342743765563,D
AWA shall provide applicable training materials.,-0.16542182312958864,B
"AbNORmal Prohormone by, Blackstone Labls, NEW!",-0.02570653144497188,D
"Absolutely clever puppy, it looks great!",-0.2035431394353509,S
Across the street was a pub.,-0.3969809482366945,B
Actual key may be either Tay..,0.33744656330018613,D
Adams SUPER a ag of Nost.,0.11288943151012065,D
"Add, some feminists are call male.",1.0438341485488534,D
Addiction is not a pretty face.,0.35971923713355225,B
Adding this one to my list!,0.4955692267198044,B
"Adiantum zollingeri Mett. ex Kuhn, Ann.",-0.5546671964248492,D
Admin coordinators do primarily administrative work.,-0.19407241602149491,B
"Affiliate Marketing, als, blogger oder, affiliate..",-0.02788270326918597,D
"Affirmative action, yes, One Florida, no.",0.6739966660508334,D
Afraid of what she might do.,-0.07830362204329859,B
"After all, it's botched Feinstein ANG.",-0.23616592362523078,D
"After that, no others remained intact.",-0.20684651517137018,B
"After that, what do we do?",-0.3129708883408492,B
"Again, it's been nearly a week.",0.06888024051923065,B
Ah had already forgotten about that.,0.36137301567941904,S
"Alexandra Chebil, Ophthalmologist, Irvine Lasik Ct.",-0.22034316825774192,D
Alix and Sway shouted in prayers.,-0.20397327914834024,S
All sorts of treasure there too.,0.2654897503964213,B
"All that, Called our newsmaker pred.",0.0640881232917309,D
All the way to the rear!,-0.25459760687839544,B
All's nothing wrong with being unpredictable.,-0.11736873239278789,S
Allen are more conservative in MISS.,1.1079847902059554,D
Already inflation was destabilizing financial markets.,0.1332588434195628,B
Am I a victim of overscsan??,0.5347039157232234,D
Amazing place to learn martial arts.,-0.08644063114185718,B
"American, Northwest, JetBlue, even bankrupt United.",1.1530984214859517,D
An burning trembled against his throat.,0.04082076549530028,S
An escalating excitement hurried her words.,-0.15181513566868893,B
An they have tomatoes there too.,0.25054083652794357,S
"Analysis and Forecasting, Phoenix, AZ, Amer.",0.03248382284405871,D
And -- and -- and founder of ImClone.,0.028151571830568416,D
And Gospel he had some AND;,-0.06922412365674971,D
"And I Beasts, income, no EVEN.",0.2325629085302353,D
And I've actually spoken with him.,-0.3306220785437852,B
And another no helmet in Lviv??,0.4256132333295161,D
And beautiful and smart and witty.,-0.3499219214782605,B
And command doesn't first believe them.,0.07847501608376281,B
And consumes savvy be more prev!,0.9176977932453155,D
And count. Krab isnt Female Refer.,0.807592861354351,D
And downside was quite a Iss.,0.3962817005813122,D
And forth she sees the track.,0.510662429779768,S
And how do you get one?,-0.48902767347233017,B
And how does it impact mobile?,0.019511023773404013,B
And it was boring and miserable.,-0.1744562718196696,B
And now the single word: Veni.,0.5829396182232786,D
And please not over the phone.,0.4046051301964339,B
And regiment will do concess EFF.,0.16561495289206504,D
And reminding held 102 town Unt.,0.4326609782874584,D
And resettlement let her do LAST.,-0.4890816828235984,D
And she investigating't come with resp.,0.23866052776575092,D
"And she smiled, a little nervously.",0.2774005805697365,B
And so I adherence these posit.,0.07438538968563081,D
And so very thoughtful of you.,0.07782035994453454,B
And some green beans and tomatoes.,-0.26697844927171427,B
And stitches all over the place.,-0.2359939116416073,B
And that is a direct strategy.,-0.5216833010436145,B
And that is immigration form changes.,0.4374111163351624,B
And that was experts she QU.,-0.16801097770221532,D
And that's the power you have.,-0.1857831714505039,B
And the criminal investigation will continue.,0.29344500111782745,B
"And then there's this, too: O.J.",0.6863700961925745,D
"And then you're, you're solve, exactly.",0.41268627863633206,D
And tomorrow would be another day.,-0.47540397164179904,B
And we need a spy camera.,-0.007118788170534229,B
"And with your arrogance, it seems.",0.20169644566028233,B
And yet it's come so quickly.,-0.1381082801062475,B
And you can ask me why.,0.02962898571700907,B
Animal posters raids Wired be met.,0.1764590620994568,D
Another dance is about to begin.,0.19720684777649727,B
Another driver waited in a car.,-0.1991812767399713,B
Another got away back into sky.,-0.38201265782117844,S
"Another mourner, another well-wisher, another liar.",0.08809017509379083,B
Another one of my fav -- OK.,0.2064360230086728,D
Another spike in unemployment was predicted.,0.3977287097830902,B
Any city I trip I ain't....,0.7583082455428873,D
Any sources of information and connection.,-0.3039989419281483,S
"Anyway, all that and much more.",0.06002639400768963,B
"Appears to be far, far older.",0.10489302772670175,B
Appreciate Lamar hygiene on the Diff.,-0.18493713969364764,D
Approaching shore their masts appeared first.,0.42403577204965515,B
"April 11, 1833, Rosamond nonetheless Guant.",0.6504670046269894,D
Arch food was great last Ir.,0.1642609745264053,D
"Archive by category ""Cash Out Refi""",-0.4219446136741574,D
Archived from the original on Retrieved.,1.1315149313167667,D
Are is the record of hardware?,0.23655086010694504,S
Are they going to expel her?,0.07968848777064774,B
Are you ready for an exploration?,-0.24734044834690055,B
Ares officer if Manuel reason Alvin?,-0.35920087752295154,D
Armed security guards arrived in force.,0.25959368229146185,B
Armor mir circled to drink coffee.,-0.81849237754941,S
"Army, I think it is, MOR.",-0.06403145566582681,D
Arrange both windows as you like.,-0.010697394844696876,B
As I got the words out.,-0.3825501337647438,S
As for the real deal: taxes.,0.4313788339046093,B
As if that would impress anyone.,0.008383208390569233,B
As with ectopic division and apoptosis.,0.43540578026036564,B
Asked her question and did nothing.,0.508991271004572,B
Aspergillus fumigatus and aspergillosis pubmed significant.,0.18240965126449074,D
At Fatal she Scalia me MAG.,0.3951592206954956,D
At least I feel clothed now.,-0.6664234384894372,S
"At least three, maybe four kids.",-0.2146687997360913,B
Athletic Club -ridge computed 20.45 undet.,-0.7180689901113511,D
Atticus Delete't wasting at the Reb.,0.09187528225593271,D
Australias Dillon authoritarian shopping department Nab.,-0.7685506863985211,D
Auto was my very first WANT.,0.25221478939056396,D
Ay wrinkle formed over her brow.,-0.18444632291793822,S
"Baby, TRAN don'tisha I Avg you.",0.4548539534211159,D
"Back to your cage, little bird.",-0.32143859477705,B
Back with more right after this.,0.11192120730257285,B
Bal why don't you go on?,0.029812277108430832,S
Balenciaga is her favorite European designer.,0.3942072181315016,B
Bare concrete floor met unpainted drywall.,0.2682316610194291,B
Barn man examined the three quarters.,-0.50066162571311,S
Be prepared for various weather conditions.,-0.3520361556613555,B
Because I couldn't work it out.,-0.3216331467141299,B
Because allegations Hoover Karin everyone else?,0.30221138820052146,D
Because... I didn't think I would?,0.5588257210159108,B
Beckel wants every neurological I've TRAN.,1.100948990881443,D
"Become someone successful, or even famous.",0.3771546566315927,B
"Before that, he had no records.",-0.16645360572498732,B
Behind the desk was a window.,-0.04745259589447531,S
Below's some of what she said.,0.3719564341008663,S
Bench kitchen table and set uk.,0.1850618172404337,D
"Besides, it would be terribly unsafe.",-0.03231158508264177,B
Beyond the limits of the law.,-0.3069027909350221,B
Birth: ca 1855 in Bond Co.,0.35184173171974437,D
Bmc delivers software free and allows.,0.5158666604651069,D
Book Explore Music Advertisement with Bookadsnow!,0.18085306979925309,D
"Boon Jin, you are the man!!!",-0.09476332432411554,B
Both Tina and Vicky are excellent.,0.07078469484226546,B
Both Two drank the Das revolver.,0.7354751825332642,S
"Both mentally and physically, you're attracted.",1.00513520660567,B
"Both wearing white, untucked, long-sleeved shirts.",-0.3877935587299989,B
Bound Referred burdens is so Ach.,0.13160041868686678,D
"Bourton Liberty Print Crochet Dress, A.P.C.",-0.11268258856642877,D
"Boy, I'm taking a deep breath.",0.09080170490479474,B
Boys soccer rallies to down NoPo.,0.014762640647345967,D
Brennan Expect this week to AV.,0.4813329324126243,D
Bright lights shining in my eyes.,-0.09609303446080027,B
Browse the John Deere showed brochure.,1.023211734741926,S
"Buat Permintaan Untuk ""Spare Parts Otomotif""",-0.6606781601582717,D
Bug course he had to Aust.,0.26349250674247743,D
"Builder Skanska unexpectedly proposes lower dividend,..",0.4701842456526603,D
Bullets began to snap past him.,-0.12945300354478312,B
Bumetanide fruit Networks cerebrospinal insanely INC.,-0.013128876779228443,D
"Business in Silverburn Shopping Centre, Glasgow.",0.17064322034247534,B
But I couldn't wake you up.,-0.7314445540308953,S
But I knowingly abuse their confidence.,0.2707615361689988,B
But I may be incredibly ill-advised.,0.13922958108793046,B
But I will keep you concentrate.,-0.3456479378044605,S
But also minded Joseph offers established.,0.7668427050910505,D
"But he had a dog, yeah?",0.014664877029669027,B
But her eyes betrayed the truth.,0.08133661129242223,B
But it was a fun run.,0.044895337554684965,B
But many U.S. customs confuse them.,0.4224789141167154,B
But monopolies have been regulated before.,0.13851874292256144,B
But nothing like those stomach cramps.,0.5703271809973425,B
"But please, not Mr. Boutros-Ghali again.",0.7628196888454735,B
But that argument isn't always convincing.,0.04144996623575843,B
But that could cause another problem:,0.047574367195369484,B
But that is a minor factor.,-0.35444070388392235,B
But the job with the blacksmith?,0.022054442563975197,B
But then again he could be!,0.006155962666697901,B
But then even brings sciences SUP.,-0.29901700429618355,D
But then somehow I stopped myself.,0.10489145525198822,B
"But this time... well, disappearing, yes.",0.24384274572807565,D
But two groups are in confrontation.,0.017690095396841275,B
But we don't have the time.,-0.2725837919128215,S
Buy sell signals remains a particular.,0.82616753037234,D
"By Google's own admission, it's Amazon.",1.0307699525711416,D
By karl few minutes and selling.,0.050723544919382725,D
Can I say something to you?,-0.25984059224139466,S
Can I wear a long dress?,-0.5294560096956292,B
Can does one identify everyone else?,0.6556910037994385,S
Can room doesn't match the stairwell.,-0.02976312041282654,S
Can we go for a walk?,0.1174624819461658,S
Can we pursue him for robbery?,0.11588590438061788,B
Can we take a short walk?,-0.4364968296231632,S
Can you like what you see?,0.5686374515295028,S
Can't go anywhere without an inhaler.,0.11157979971546876,B
Canquished envisage Invalid you do them?,-0.34007083945907657,D
"Carefully though, he packed them away.",0.23288356332596427,B
Carve one in your chosen medium.,-0.05960571869824617,B
Cas gazed up at the sky.,-0.9367068318391132,S
Cat guards a Eps Gri sign.,-0.2041482999920845,S
"Cattle, wagons, horses, all going west.",-0.23987722613682605,B
Cava tiui chyn chelma Historically Rece.,0.3126970618963242,D
Central Park was across the roadway.,-0.25291064237356414,B
Ceramic Howard Chairman like hardwood psychiat.,-0.1572362679988146,D
Chandrababu Grandson Devansh Birthday in Tirumala-Exclusiv..,-0.09251995708051397,D
Changing PhD group: Yes or Not?,0.6733359867831248,D
"Charles Explain dye has obnoxious, too.",0.3413308322429657,D
Check out the inspiration board below.,-0.0761729736391216,B
Check some of my reference books.,-0.17893766846990622,B
Chicken breading with an added Alt.,0.907019630074501,D
Children would pay it no attention.,-0.2382607468869537,S
City of Scranton Zoning Hearing Bd.,-0.27184554816335776,D
Click here to sign the petition.,0.13927390362659237,B
