text,start,end
Zu,0.0,0.4
beiden,0.4,0.72
Seiten,0.72,1.08
des,1.08,1.32
Korridors,1.32,1.9
waren,1.9,2.18
"Türen,",2.18,2.64
aber,3.24,3.66
sie,3.66,3.82
waren,3.82,4.02
alle,4.02,4.4
verschlossen.,4.4,5.12
Alice,6.14,6.44
versuchte,6.44,6.98
jede,6.98,7.22
Tür,7.22,7.56
erst,7.56,7.96
auf,7.96,8.14
einer,8.14,8.36
"Seite,",8.36,8.72
dann,9.32,9.58
auf,9.58,9.74
der,9.74,9.86
anderen.,9.86,10.16
Endlich,10.96,11.54
ging,11.54,11.76
sie,11.76,11.9
traurig,11.9,12.5
in,12.5,12.66
der,12.66,12.8
Mitte,12.8,13.0
"entlang,",13.0,13.4
"überlegend,",13.88,14.58
wie,14.76,14.86
sie,14.86,15.02
je,15.02,15.24
herauskommen,15.24,15.88
könnte.,15.88,16.24
Plötzlich,17.92,18.6
stand,18.6,19.18
sie,19.18,19.34
vor,19.34,19.5
einem,19.5,19.76
"kleinen,",19.76,20.22
dreibeinigen,20.46,21.14
"Tische,",21.14,21.5
ganz,22.42,22.8
vor,22.8,23.08
dicken,23.08,23.44
Glas.,23.44,23.84
Es,25.06,25.18
war,25.18,25.32
nichts,25.32,25.76
darauf,25.76,26.24
als,26.24,26.62
ein,26.62,27.02
winziges,27.02,27.52
goldene,27.52,27.96
"Schlüsselchen,",27.96,28.6
und,29.14,29.44
Alices,29.44,29.94
erster,29.94,30.3
Gedanke,30.3,30.72
"war,",30.72,30.92
dies,31.5,31.86
möchte,31.86,32.26
zu,32.26,32.56
einer,32.56,32.84
der,32.84,33.06
Türen,33.06,33.38
des,33.38,33.52
Korridors,33.52,33.96
gehören.,33.96,34.38
Aber,35.4,35.64
"ach,",35.64,35.96
entweder,36.86,37.36
waren,37.36,37.58
die,37.58,37.74
Schlösser,37.74,38.06
zu,38.06,38.24
groß,38.24,38.62
oder,38.62,39.4
der,39.4,39.56
Schlüssel,39.56,39.86
war,39.86,40.06
zu,40.06,40.2
"klein,",40.2,40.54
"kurz,",41.08,41.52
er,41.72,41.9
passte,41.9,42.28
zu,42.28,42.54
keiner,42.54,42.88
einzigen.,42.88,43.42
"Jedoch,",45.22,45.68
als,45.86,46.04
sie,46.04,46.16
das,46.16,46.3
zweite,46.3,46.62
Mal,46.62,46.86
"herumging,",46.86,47.42
kam,47.94,48.28
sie,48.28,48.46
an,48.46,48.64
einen,48.64,48.9
niedrigen,48.9,49.42
"Vorhang,",49.42,49.96
den,50.32,50.54
sie,50.54,50.68
vorher,50.68,50.94
nicht,50.94,51.18
bemerkt,51.18,51.64
"hatte,",51.64,51.9
und,52.32,52.44
dahinter,52.44,53.1
war,53.1,53.44
eine,53.44,53.66
Tür,53.66,54.02
ungefähr,54.02,54.54
15,54.54,55.12
Zoll,55.12,55.48
hoch.,55.48,55.78
Sie,56.5,56.7
steckte,56.7,57.1
das,57.1,57.24
goldene,57.24,57.6
Schlüsselchen,57.6,58.14
ins,58.14,58.3
Schlüsselloch,58.3,58.94
und,58.94,59.5
zu,59.5,59.62
ihrer,59.62,59.78
großen,59.78,60.22
Freude,60.22,60.76
passte,60.76,61.4
es.,61.4,61.68
Alice,62.22,62.62
schloss,62.62,62.92
die,62.92,63.08
Tür,63.08,63.26
auf,63.26,63.6
und,63.6,63.82
"fand,",63.82,64.1
dass,64.2,64.32
sie,64.32,64.44
zu,64.44,64.54
einem,64.54,64.76
kleinen,64.76,65.18
Gange,65.18,65.56
"führte,",65.56,66.0
nicht,66.54,66.82
viel,66.82,67.02
größer,67.02,67.46
als,67.46,67.76
ein,67.76,67.92
Mäuseloch.,67.92,68.48
Sie,69.24,69.58
kniete,69.58,69.92
nieder,69.92,70.26
und,70.26,70.92
sah,70.92,71.06
durch,71.06,71.26
den,71.26,71.46
Gang,71.46,71.72
in,71.72,72.18
den,72.18,72.34
reizendsten,72.34,73.12
"Garten,",73.12,73.58
den,73.94,74.12
man,74.12,74.26
sich,74.26,74.4
denken,74.4,74.68
kann.,74.68,74.96
Wie,76.2,76.38
wünschte,76.38,76.9
"sie,",76.9,77.1
aus,77.46,77.72
dem,77.72,77.88
dunklen,77.88,78.3
Korridor,78.3,78.74
zu,78.74,78.9
gelangen,78.9,79.3
und,79.3,80.0
unter,80.0,80.3
den,80.3,80.5
bunten,80.5,80.86
Blumenbeeten,80.86,81.59
und,81.59,82.26
kühlen,82.26,82.64
Springbrunnen,82.64,83.34
herumzuwandern.,83.34,84.3
Aber,85.16,85.36
sie,85.36,85.5
konnte,85.5,85.74
kaum,85.74,86.04
den,86.04,86.22
Kopf,86.22,86.5
durch,86.5,86.7
den,86.7,86.88
Eingang,86.88,87.22
stecken.,87.22,87.58
Und,88.9,89.14
auch,89.14,89.34
wenn,89.34,89.64
mein,89.64,89.88
Kopf,89.88,90.22
hindurch,90.22,90.64
"ginge,",90.64,90.98
dachte,91.52,91.88
die,91.88,92.1
arme,92.1,92.32
"Alice,",92.32,92.72
was,93.62,93.9
würde,93.9,94.2
es,94.2,94.4
nützen,94.4,94.76
ohne,94.76,95.14
die,95.14,95.32
Schultern?,95.32,95.74
"Oh,",96.58,96.78
ich,96.96,97.14
möchte,97.14,97.6
mich,97.6,97.82
zusammenschieben,97.82,98.54
können,98.54,98.9
wie,98.9,99.06
ein,99.06,99.22
Teleskop.,99.22,99.9
Das,100.98,101.26
geht,101.26,101.46
"gewiss,",101.46,101.92
wenn,102.34,102.5
ich,102.5,102.64
nur,102.64,102.8
"wüsste,",102.8,103.28
wie,103.74,103.98
man,103.98,104.12
es,104.12,104.3
anfängt.,104.3,104.84
Denn,105.44,105.62
es,105.62,105.74
war,105.74,105.86
kürzlich,105.86,106.44
so,106.44,106.84
viel,106.84,107.04
Merkwürdiges,107.04,107.82
mit,107.82,108.06
ihr,108.06,108.2
"vorgegangen,",108.2,108.78
dass,109.28,109.52
Alice,109.52,109.9
anfing,109.9,110.42
zu,110.42,110.6
"glauben,",110.6,110.96
es,111.58,111.76
sei,111.76,111.94
fast,111.94,112.24
nichts,112.24,112.68
unmöglich.,112.68,113.42
Es,115.08,115.28
schien,115.28,115.46
ihr,115.46,115.6
ganz,115.6,115.84
"unnütz,",115.84,116.44
länger,116.58,117.2
bei,117.2,117.42
der,117.42,117.56
kleinen,117.56,117.84
Tür,117.84,118.12
zu,118.12,118.32
warten.,118.32,118.62
Daher,119.74,120.12
ging,120.12,120.32
sie,120.32,120.48
zum,120.48,120.66
Tisch,120.66,120.94
"zurück,",120.94,121.4
halb,121.96,122.26
und,122.26,122.38
halb,122.38,122.68
"hoffend,",122.68,123.16
sie,123.38,123.72
würde,123.72,123.96
noch,123.96,124.16
einen,124.16,124.42
Schlüssel,124.42,124.8
drauffinden.,124.8,125.62
Oder,126.56,126.8
jedenfalls,126.8,127.3
ein,127.3,127.5
Buch,127.5,127.8
mit,127.8,128.0
"Anweisung,",128.0,128.68
wie,129.38,129.52
man,129.52,129.68
sich,129.68,129.86
als,129.86,130.02
Teleskop,130.02,130.68
zusammenschieben,130.68,131.42
könne.,131.42,131.74
Diesmal,133.12,133.54
fand,133.54,133.78
sie,133.78,133.92
ein,133.92,134.06
Fläschchen,134.06,134.48
drauf.,134.48,134.82
Das,135.76,136.06
gewiss,136.06,136.52
vorhin,136.52,136.94
nicht,136.94,137.22
hier,137.22,137.5
"stand,",137.5,137.86
sagte,138.26,138.66
Alice.,138.66,139.14
Und,139.78,139.98
um,139.98,140.08
den,140.08,140.24
Hals,140.24,140.54
das,140.54,140.76
Fläschchens,140.76,141.3
war,141.3,141.5
ein,141.5,141.64
Zettel,141.64,142.0
gebunden,142.0,142.5
mit,142.5,142.8
den,142.8,142.96
Worten,142.96,143.38
Trink,143.8,144.18
"mich,",144.18,144.5
wunderschön,145.06,145.96
in,145.96,146.14
großen,146.14,146.52
Buchstaben,146.52,147.08
draufgedruckt.,147.08,147.92
Es,148.68,148.88
war,148.88,149.0
bald,149.0,149.24
"gesagt,",149.24,149.66
trink,149.88,150.18
"mich,",150.18,150.52
aber,151.02,151.2
die,151.2,151.34
altkluge,151.34,151.9
kleine,151.9,152.22
Alice,152.22,152.66
wollte,152.66,153.04
sich,153.04,153.26
damit,153.26,153.54
nicht,153.54,153.82
übereilen.,153.82,154.42
"Nein,",155.42,155.76
ich,156.02,156.22
werde,156.22,156.42
erst,156.42,156.74
"nachsehen,",156.74,157.24
sprach,157.44,157.72
"sie,",157.72,157.96
ob,158.52,158.7
ein,158.7,158.86
Totenkopf,158.86,159.44
drauf,159.44,159.78
ist,159.78,160.06
oder,160.06,160.34
nicht.,160.34,160.6
Denn,161.98,162.2
sie,162.2,162.3
hatte,162.3,162.5
mehrere,162.5,162.98
hübsche,162.98,163.44
Geschichten,163.44,163.88
gelesen,163.88,164.32
von,164.32,164.64
"Kindern,",164.64,164.94
die,165.62,165.8
sich,165.8,165.94
verbrannt,165.94,166.42
hatten,166.42,166.76
oder,166.76,167.32
sich,167.32,167.54
von,167.54,167.72
wilden,167.72,168.1
Tieren,168.1,168.38
hatten,168.38,168.62
fressen,168.62,169.04
lassen,169.04,169.22
und,169.92,170.16
in,170.16,170.32
eine,170.32,170.54
andere,170.54,170.84
unangenehme,170.84,171.58
Lage,171.58,171.88
geraten,171.88,172.36
"waren,",172.36,172.7
nur,173.36,173.68
weil,173.68,173.92
sie,173.92,174.06
nicht,174.06,174.46
an,174.46,174.76
die,174.76,174.9
Warnungen,174.9,175.3
"dachten,",175.3,175.78
die,176.06,176.52
ihre,176.52,176.76
Freunde,176.76,177.24
ihnen,177.24,177.64
gegeben,177.64,178.02
hatten.,178.02,178.32
Zum,178.96,179.14
"Beispiel,",179.14,179.54
dass,180.12,180.28
ein,180.28,180.46
rotglühendes,180.46,181.16
Eisen,181.16,181.48
"brennt,",181.48,181.94
wenn,182.36,182.56
man,182.56,182.74
es,182.74,182.88
anfasst,182.88,183.4
und,184.1,184.2
"dass,",184.2,184.34
wenn,184.44,184.46
man,184.46,184.58
sich,184.58,184.76
mit,184.76,184.9
einem,184.9,185.12
Messer,185.12,185.58
tief,185.58,185.94
in,185.94,186.1
den,186.1,186.26
Finger,186.26,186.52
"schneidet,",186.52,187.08
es,187.54,187.74
gewöhnlich,187.74,188.2
blutet.,188.2,188.48
Und,189.62,189.84
sie,189.84,189.94
hatte,189.94,190.14
nicht,190.14,190.4
"vergessen,",190.4,190.8
dass,191.04,191.64
wenn,191.64,191.76
man,191.76,191.92
viel,191.92,192.18
aus,192.18,192.34
einer,192.34,192.52
Flasche,192.52,192.88
mit,192.88,193.06
einem,193.06,193.28
Totenkopf,193.28,193.94
drauf,193.94,194.22
"trinkt,",194.22,194.48
es,195.24,195.42
einen,195.42,195.68
unfehlbar,195.68,196.64
schlecht,196.64,197.08
bekommt.,197.08,197.4
Diese,198.04,198.4
