model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,0,0.9130210876464844
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,1,0.7986265420913696
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,2,0.9192492961883545
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,3,0.9309325218200684
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,4,0.9458224773406982
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,5,0.9444164037704468
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,6,0.6802089214324951
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,7,0.9355319738388062
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,8,0.9426038265228271
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,9,0.927730143070221
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,10,0.9389370679855347
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,11,0.9649942517280579
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,12,0.7812146544456482
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,13,0.7517684698104858
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,14,0.7762635946273804
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,15,0.7580775022506714
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,16,0.9337360858917236
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,17,0.9377450942993164
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,18,0.7119828462600708
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,19,0.9432792663574219
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,20,0.9578014016151428
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,21,0.9439688920974731
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,22,0.9599136710166931
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,23,0.9426602125167847
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,24,0.9527448415756226
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,25,0.9432272911071777
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,26,0.9445203542709351
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,27,0.9368679523468018
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,28,0.9513823986053467
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,29,0.9323686361312866
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,30,0.9083307981491089
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,31,0.9413400888442993
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,32,0.9302292466163635
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,33,0.9182985424995422
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,34,0.9392567873001099
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,35,0.7179758548736572
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,36,0.924983561038971
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,37,0.9137604236602783
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,38,0.9436386823654175
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,39,0.928337812423706
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,40,0.836959958076477
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,41,0.9517147541046143
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,42,0.8505001664161682
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,43,0.9547651410102844
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,44,0.9582238793373108
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,45,0.947395920753479
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,46,0.9537166357040405
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,47,0.9539138078689575
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,48,0.9122486114501953
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,49,0.8212538361549377
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,50,0.7653021216392517
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,51,0.963782787322998
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,52,0.9411965608596802
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,53,0.7476305365562439
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,54,0.9512302875518799
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,55,0.9558926820755005
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,56,0.9544957876205444
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,57,0.8187103271484375
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,58,0.8114794492721558
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,59,0.9555314779281616
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,60,0.9611796140670776
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,61,0.934601902961731
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,62,0.8874167799949646
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,63,0.9101699590682983
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,64,0.9267569184303284
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,65,0.7725533843040466
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,66,0.9159339666366577
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,67,0.9544854760169983
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,68,0.9519710540771484
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,69,0.7519897222518921
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,70,0.9524874091148376
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,71,0.9543318152427673
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,72,0.9580686092376709
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,73,0.9102176427841187
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,74,0.9530631303787231
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,75,0.9351937770843506
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,76,0.6852623224258423
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,77,0.9542350769042969
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,78,0.8521007299423218
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,79,0.9174153804779053
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,80,0.9510243535041809
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,81,0.8266912698745728
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,82,0.9248322248458862
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,83,0.7890100479125977
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,84,0.9483282566070557
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,85,0.9260295629501343
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,86,0.9387673139572144
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,87,0.810364305973053
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,88,0.9499303102493286
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,89,0.8612041473388672
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,90,0.9128365516662598
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,91,0.9313170313835144
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,92,0.7380470633506775
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,93,0.7396605610847473
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,94,0.9311591386795044
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,95,0.9577154517173767
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,96,0.9195140600204468
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,97,0.9575055837631226
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,98,0.7901715040206909
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,99,0.9575996994972229
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,100,0.928646981716156
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,101,0.7980833053588867
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,102,0.7765190005302429
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,103,0.9342595338821411
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,104,0.9140627384185791
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,105,0.9543657302856445
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,106,0.9500095844268799
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,107,0.7975213527679443
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,108,0.9608779549598694
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,109,0.9409987330436707
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,110,0.9616600871086121
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,111,0.9513046741485596
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,112,0.9275763034820557
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,113,0.9252331852912903
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,114,0.9275534152984619
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,115,0.9468609094619751
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,116,0.8952887058258057
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,117,0.9335011839866638
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,118,0.9466871023178101
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,119,0.9629658460617065
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,120,0.9093309044837952
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,121,0.9009746313095093
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,122,0.9399189949035645
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,123,0.8242186307907104
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,124,0.9453887939453125
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,125,0.920883297920227
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,126,0.9273797869682312
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,127,0.7701636552810669
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,128,0.922089695930481
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,129,0.951765239238739
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,130,0.9509315490722656
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,131,0.9031062126159668
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,132,0.9101635217666626
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,133,0.9137868881225586
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,134,0.940750241279602
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,135,0.9311306476593018
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,136,0.9540942311286926
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,137,0.9296315312385559
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,138,0.8316677808761597
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,139,0.9237635135650635
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,140,0.9534885883331299
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,141,0.9292008876800537
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,142,0.9435927867889404
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,143,0.9032394886016846
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,144,0.7713678479194641
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,145,0.9423612356185913
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,146,0.9372997879981995
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,147,0.8212418556213379
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,148,0.9489838480949402
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,149,0.9519931077957153
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,150,0.9258233904838562
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,151,0.7156099081039429
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,152,0.941699743270874
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,153,0.9467768669128418
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,154,0.7123041152954102
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,155,0.9360260963439941
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,156,0.9631218314170837
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,157,0.9478590488433838
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,158,0.7924172878265381
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,159,0.9536766409873962
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,160,0.9122610688209534
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,161,0.9395362734794617
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,162,0.9119893908500671
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,163,0.7519017457962036
nllb200_1B,facebook/nllb-200-1.3B,17,contentwords,164,0.9254032373428345
