model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
bert_base,bert-base-multilingual-cased,6,contentwords,0,0.8294982314109802
bert_base,bert-base-multilingual-cased,6,contentwords,1,0.8970763087272644
bert_base,bert-base-multilingual-cased,6,contentwords,2,0.8560143709182739
bert_base,bert-base-multilingual-cased,6,contentwords,3,0.8778618574142456
bert_base,bert-base-multilingual-cased,6,contentwords,4,0.8611631393432617
bert_base,bert-base-multilingual-cased,6,contentwords,5,0.8501192331314087
bert_base,bert-base-multilingual-cased,6,contentwords,6,0.8762127757072449
bert_base,bert-base-multilingual-cased,6,contentwords,7,0.8514028191566467
bert_base,bert-base-multilingual-cased,6,contentwords,8,0.8640021681785583
bert_base,bert-base-multilingual-cased,6,contentwords,9,0.8540160059928894
bert_base,bert-base-multilingual-cased,6,contentwords,10,0.858075737953186
bert_base,bert-base-multilingual-cased,6,contentwords,11,0.7597347497940063
bert_base,bert-base-multilingual-cased,6,contentwords,12,0.845134973526001
bert_base,bert-base-multilingual-cased,6,contentwords,13,0.8716970682144165
bert_base,bert-base-multilingual-cased,6,contentwords,14,0.831794023513794
bert_base,bert-base-multilingual-cased,6,contentwords,15,0.8732635974884033
bert_base,bert-base-multilingual-cased,6,contentwords,16,0.8827911019325256
bert_base,bert-base-multilingual-cased,6,contentwords,17,0.9013876914978027
bert_base,bert-base-multilingual-cased,6,contentwords,18,0.8608137965202332
bert_base,bert-base-multilingual-cased,6,contentwords,19,0.8200897574424744
bert_base,bert-base-multilingual-cased,6,contentwords,20,0.8891317844390869
bert_base,bert-base-multilingual-cased,6,contentwords,21,0.8417108058929443
bert_base,bert-base-multilingual-cased,6,contentwords,22,0.8513175249099731
bert_base,bert-base-multilingual-cased,6,contentwords,23,0.8033730387687683
bert_base,bert-base-multilingual-cased,6,contentwords,24,0.8525445461273193
bert_base,bert-base-multilingual-cased,6,contentwords,25,0.832517683506012
bert_base,bert-base-multilingual-cased,6,contentwords,26,0.8640655279159546
bert_base,bert-base-multilingual-cased,6,contentwords,27,0.8119438886642456
bert_base,bert-base-multilingual-cased,6,contentwords,28,0.9003474712371826
bert_base,bert-base-multilingual-cased,6,contentwords,29,0.8815336227416992
bert_base,bert-base-multilingual-cased,6,contentwords,30,0.8407883644104004
bert_base,bert-base-multilingual-cased,6,contentwords,31,0.8406627774238586
bert_base,bert-base-multilingual-cased,6,contentwords,32,0.8679050803184509
bert_base,bert-base-multilingual-cased,6,contentwords,33,0.8511801362037659
bert_base,bert-base-multilingual-cased,6,contentwords,34,0.8266024589538574
bert_base,bert-base-multilingual-cased,6,contentwords,35,0.8510921001434326
bert_base,bert-base-multilingual-cased,6,contentwords,36,0.8262518048286438
bert_base,bert-base-multilingual-cased,6,contentwords,37,0.8664932250976562
bert_base,bert-base-multilingual-cased,6,contentwords,38,0.8321878910064697
bert_base,bert-base-multilingual-cased,6,contentwords,39,0.9076656699180603
bert_base,bert-base-multilingual-cased,6,contentwords,40,0.8642961978912354
bert_base,bert-base-multilingual-cased,6,contentwords,41,0.8134210109710693
bert_base,bert-base-multilingual-cased,6,contentwords,42,0.8990281820297241
bert_base,bert-base-multilingual-cased,6,contentwords,43,0.8607310056686401
bert_base,bert-base-multilingual-cased,6,contentwords,44,0.8516078591346741
bert_base,bert-base-multilingual-cased,6,contentwords,45,0.8723925352096558
bert_base,bert-base-multilingual-cased,6,contentwords,46,0.8373516201972961
bert_base,bert-base-multilingual-cased,6,contentwords,47,0.8601830005645752
bert_base,bert-base-multilingual-cased,6,contentwords,48,0.8553720712661743
bert_base,bert-base-multilingual-cased,6,contentwords,49,0.8649324774742126
bert_base,bert-base-multilingual-cased,6,contentwords,50,0.884058952331543
bert_base,bert-base-multilingual-cased,6,contentwords,51,0.8780410289764404
bert_base,bert-base-multilingual-cased,6,contentwords,52,0.8752259612083435
bert_base,bert-base-multilingual-cased,6,contentwords,53,0.8763651251792908
bert_base,bert-base-multilingual-cased,6,contentwords,54,0.901400625705719
bert_base,bert-base-multilingual-cased,6,contentwords,55,0.8537660837173462
bert_base,bert-base-multilingual-cased,6,contentwords,56,0.8216375112533569
bert_base,bert-base-multilingual-cased,6,contentwords,57,0.8630128502845764
bert_base,bert-base-multilingual-cased,6,contentwords,58,0.8389977812767029
bert_base,bert-base-multilingual-cased,6,contentwords,59,0.8206305503845215
bert_base,bert-base-multilingual-cased,6,contentwords,60,0.8780829906463623
bert_base,bert-base-multilingual-cased,6,contentwords,61,0.90215665102005
bert_base,bert-base-multilingual-cased,6,contentwords,62,0.8363699913024902
bert_base,bert-base-multilingual-cased,6,contentwords,63,0.852206289768219
bert_base,bert-base-multilingual-cased,6,contentwords,64,0.8200620412826538
bert_base,bert-base-multilingual-cased,6,contentwords,65,0.8499821424484253
bert_base,bert-base-multilingual-cased,6,contentwords,66,0.8327564001083374
bert_base,bert-base-multilingual-cased,6,contentwords,67,0.817950963973999
bert_base,bert-base-multilingual-cased,6,contentwords,68,0.8492187261581421
bert_base,bert-base-multilingual-cased,6,contentwords,69,0.8633442521095276
bert_base,bert-base-multilingual-cased,6,contentwords,70,0.8769925236701965
bert_base,bert-base-multilingual-cased,6,contentwords,71,0.8754715919494629
bert_base,bert-base-multilingual-cased,6,contentwords,72,0.8724572658538818
bert_base,bert-base-multilingual-cased,6,contentwords,73,0.8441696763038635
bert_base,bert-base-multilingual-cased,6,contentwords,74,0.8352128267288208
