English Sentence,af,nl,fa,fr,lt,no,ro,es,ta,tr,vi,mr
"A banana is a long fruit that grows in bunchs, with a soft edible inside.","'n Piesang is 'n lang vrug wat in trosse groei, met 'n sagte eetbare binnekant.","Een banaan is een lange vrucht die in trossen groeit en een zachte, eetbare binnenkant heeft.",موز میوه‌ای دراز است که به صورت دسته‌ای رشد می‌کند و داخل آن نرم و خوراکی است.,"Une banane est un long fruit qui pousse en grappes, avec un intérieur comestible mou.","Bananas yra ilgas vaisius, augantis kekėmis, su minkštu valgomu vidumi.","En banan er en lang frukt som vokser i hauger, med en myk spiselig innside.","O banană este un fruct lung care crește în ciorchini, cu un comestibil moale în interior.","El plátano es una fruta alargada que crece en racimos, con un interior blando y comestible.","வாழைப்பழம் ஒரு நீளமான பழமாகும், இது கொத்தாக வளரும், உள்ளே மென்மையான உண்ணக்கூடியது.","Muz, salkımlar halinde yetişen, içi yumuşak ve yenilebilir olan uzun bir meyvedir.","Chuối là loại quả dài, mọc thành từng chùm, bên trong có phần mềm, ăn được.","केळी हे एक लांब फळ आहे जे गुच्छांमध्ये वाढते, आतमध्ये मऊ खाण्यायोग्य असते."
A bed is a piece of furniture used as a place to sleep or have sex in.,'n Bed is 'n meubelstuk wat gebruik word as 'n plek om in te slaap of seks te hê.,Een bed is een meubelstuk dat gebruikt wordt om in te slapen of seks te hebben.,تخت یک تکه مبلمان است که به عنوان مکانی برای خواب یا رابطه جنسی استفاده می شود.,Un lit est un meuble utilisé comme endroit pour dormir ou avoir des relations sexuelles.,"Lova yra baldas, naudojamas kaip vieta miegoti ar mylėtis.",En seng er et møbel som brukes som et sted å sove eller ha sex i.,Un pat este o piesă de mobilier folosită ca loc de dormit sau de sex.,Una cama es un mueble que se utiliza como lugar para dormir o tener relaciones sexuales.,படுக்கை என்பது உறங்குவதற்கு அல்லது உடலுறவு கொள்வதற்குப் பயன்படுத்தப்படும் தளபாடங்கள் ஆகும்.,"Yatak, uyumak veya seks yapmak için kullanılan bir mobilya parçasıdır.",Giường là một món đồ nội thất được sử dụng làm nơi ngủ hoặc quan hệ tình dục.,बेड हा फर्निचरचा एक तुकडा आहे ज्यामध्ये झोपण्यासाठी किंवा लैंगिक संबंध ठेवण्यासाठी वापरले जाते.
"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.","'n Bed is gemaak van 'n matras en 'n bokspring, plus lakens, kussings en oortreksels.","Een bed bestaat uit een matras en een boxspring, plus lakens, kussens en dekens.",یک تخت از یک تشک و فنر جعبه، به علاوه ملحفه، بالش و روکش ساخته شده است.,"Un lit est composé d'un matelas et d'un sommier, ainsi que de draps, d'oreillers et de couvertures.","Lova pagaminta iš čiužinio ir spyruoklės, taip pat paklodės, pagalvės ir užvalkalai.","En seng er laget av en madrass og en springfjær, pluss laken, puter og trekk.","Un pat este format dintr-o saltea și un box spring, plus cearșafuri, perne și huse.","Una cama está formada por un colchón y un somier, además de sábanas, almohadas y fundas.","ஒரு படுக்கை ஒரு மெத்தை மற்றும் ஒரு பாக்ஸ் ஸ்பிரிங், பிளஸ் ஷீட்கள், தலையணைகள் மற்றும் கவர்களால் ஆனது.","Yatak, bir şilte ve bir karyoladan, ayrıca çarşaf, yastık ve örtülerden oluşur.","Giường bao gồm một tấm nệm và một hộp lò xo, cùng với ga trải giường, gối và vỏ chăn.","एक पलंग एक गादी आणि बॉक्स स्प्रिंग, तसेच चादरी, उशा आणि कव्हर्सने बनलेला असतो."
"A bee is a flying insect, with a black and yellow body and six legs.","'n By is 'n vlieënde insek, met 'n swart en geel lyf en ses pote.",Een bij is een vliegend insect met een zwart en geel lichaam en zes poten.,زنبور عسل حشره ای پرنده با بدن سیاه و زرد و شش پا است.,"Une abeille est un insecte volant, avec un corps noir et jaune et six pattes.","Bitė yra skraidantis vabzdys, turintis juodą ir geltoną kūną ir šešias kojas.","En bie er et flygende insekt, med en svart og gul kropp og seks ben.","O albină este o insectă zburătoare, cu corp negru și galben și șase picioare.","La abeja es un insecto volador, con cuerpo negro y amarillo y seis patas.",தேனீ என்பது கருப்பு மற்றும் மஞ்சள் நிற உடல் மற்றும் ஆறு கால்கள் கொண்ட பறக்கும் பூச்சி.,"Arı, siyah ve sarı renkte gövdesi ve altı bacağı olan uçan bir böcektir.","Ong là loài côn trùng biết bay, có thân màu đen và vàng, có sáu chân.","मधमाशी हा एक उडणारा कीटक आहे, ज्याचे शरीर काळे आणि पिवळे आणि सहा पाय आहेत."
A bicycle is a vehicle with two wheels and pedals on a frame.,'n Fiets is 'n voertuig met twee wiele en pedale op 'n raam.,Een fiets is een voertuig met twee wielen en pedalen op een frame.,دوچرخه وسیله نقلیه ای با دو چرخ و پدال روی یک قاب است.,Un vélo est un véhicule avec deux roues et des pédales sur un cadre.,Dviratis yra transporto priemonė su dviem ratais ir pedalais ant rėmo.,En sykkel er et kjøretøy med to hjul og pedaler på en ramme.,O bicicletă este un vehicul cu două roți și pedale pe un cadru.,Una bicicleta es un vehículo con dos ruedas y pedales sobre un cuadro.,மிதிவண்டி என்பது ஒரு சட்டத்தில் இரண்டு சக்கரங்கள் மற்றும் பெடல்களைக் கொண்ட வாகனம்.,"Bisiklet, bir şasi üzerinde iki tekerleği ve pedalları olan bir araçtır.",Xe đạp là loại phương tiện có hai bánh xe và bàn đạp trên khung.,सायकल हे दोन चाके आणि चौकटीवर पेडल्स असलेले वाहन आहे.
A blacksmith creates objects by forging iron or steel.,'n Smid skep voorwerpe deur yster of staal te smee.,Een smid vervaardigt voorwerpen door ijzer of staal te smeden.,آهنگر اشیایی را با آهنگری آهن یا فولاد ایجاد می کند.,Un forgeron crée des objets en forgeant du fer ou de l'acier.,Kalvis kuria daiktus kaldamas geležį ar plieną.,En smed lager gjenstander ved å smi jern eller stål.,Un fierar creează obiecte forjând fier sau oțel.,Un herrero crea objetos forjando hierro o acero.,ஒரு கொல்லன் இரும்பு அல்லது எஃகு மூலம் பொருட்களை உருவாக்குகிறான்.,"Demirci, demiri veya çeliği döverek nesneler yaratır.",Thợ rèn tạo ra đồ vật bằng cách rèn sắt hoặc thép.,लोहार लोखंड किंवा पोलाद बनवून वस्तू तयार करतो.
A blender is a kitchen appliance used to mix ingredients or puree food.,'n Blender is 'n kombuistoestel wat gebruik word om bestanddele of puree kos te meng.,Een blender is een keukenapparaat waarmee u ingrediënten kunt mengen of voedsel kunt pureren.,مخلوط کن یک وسیله آشپزخانه است که برای مخلوط کردن مواد یا پوره کردن غذا استفاده می شود.,Un mixeur est un appareil de cuisine utilisé pour mélanger des ingrédients ou réduire des aliments en purée.,"Maišytuvas yra virtuvės prietaisas, naudojamas ingredientams arba maisto tyrėms maišyti.",En blender er et kjøkkenapparat som brukes til å blande ingredienser eller puree mat.,Un blender este un aparat de bucătărie folosit pentru a amesteca ingrediente sau pentru a face piure de alimente.,Una licuadora es un aparato de cocina que se utiliza para mezclar ingredientes o hacer puré de alimentos.,கலப்பான் என்பது பொருட்கள் அல்லது ப்யூரி உணவுகளை கலக்க பயன்படும் ஒரு சமையலறை சாதனம் ஆகும்.,"Blender, malzemeleri karıştırmak veya yiyecekleri püre haline getirmek için kullanılan bir mutfak aletidir.",Máy xay sinh tố là một thiết bị nhà bếp dùng để trộn nguyên liệu hoặc xay nhuyễn thực phẩm.,ब्लेंडर हे एक स्वयंपाकघरातील उपकरण आहे जे घटक किंवा प्युरी अन्न मिसळण्यासाठी वापरले जाते.
A boy becomes a man after passing through puberty.,'n Seun word 'n man nadat hy deur puberteit gegaan het.,Een jongen wordt een man nadat hij de puberteit heeft doorgemaakt.,پسری پس از گذراندن دوران بلوغ مرد می شود.,Un garçon devient un homme après avoir traversé la puberté.,Po brendimo berniukas tampa vyru.,En gutt blir en mann etter å ha gått gjennom puberteten.,Un băiat devine bărbat după ce trece prin pubertate.,Un niño se convierte en hombre después de pasar por la pubertad.,ஒரு சிறுவன் பருவமடைந்த பிறகு ஆணாகிறான்.,Bir çocuk ergenlik çağına girdikten sonra adam olur.,Một cậu bé trở thành một người đàn ông sau khi trải qua tuổi dậy thì.,तारुण्य पार केल्यानंतर मुलगा माणूस बनतो.
A boy is a young male child who has not undergone puberty.,'n Seun is 'n jong manlike kind wat nie puberteit ondergaan het nie.,Een jongen is een jong mannelijk kind dat nog niet in de puberteit is.,پسر بچه پسر جوانی است که به بلوغ نرسیده است.,Un garçon est un jeune enfant de sexe masculin qui n’a pas encore atteint la puberté.,"Berniukas yra jaunas vyriškos lyties vaikas, nepatyręs brendimo.",En gutt er et ungt guttebarn som ikke har gjennomgått puberteten.,Un băiat este un copil tânăr care nu a trecut la pubertate.,Un niño es un niño pequeño que no ha pasado por la pubertad.,ஆண் குழந்தை பருவமடையாத ஒரு இளம் ஆண் குழந்தை.,"Erkek çocuk, ergenliğe girmemiş genç erkek çocuktur.",Bé trai là bé trai chưa dậy thì.,मुलगा हा एक तरुण पुरुष मुलगा आहे ज्याला तारुण्य आलेले नाही.
A butterfly is a flying insect with four large wings.,'n Skoenlapper is 'n vlieënde insek met vier groot vlerke.,Een vlinder is een vliegend insect met vier grote vleugels.,پروانه یک حشره پرنده با چهار بال بزرگ است.,Un papillon est un insecte volant doté de quatre grandes ailes.,Drugelis yra skraidantis vabzdys su keturiais dideliais sparnais.,En sommerfugl er et flygende insekt med fire store vinger.,Un fluture este o insectă zburătoare cu patru aripi mari.,Una mariposa es un insecto volador con cuatro alas grandes.,பட்டாம்பூச்சி என்பது நான்கு பெரிய இறக்கைகள் கொண்ட பறக்கும் பூச்சி.,"Kelebek, dört büyük kanadı olan uçan bir böcektir.",Bướm là một loài côn trùng biết bay có bốn cánh lớn.,फुलपाखरू हा चार मोठे पंख असलेला उडणारा कीटक आहे.
