model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
xlmr_large,xlm-roberta-large,14,contentwords,0,0.9448617696762085
xlmr_large,xlm-roberta-large,14,contentwords,1,0.958296000957489
xlmr_large,xlm-roberta-large,14,contentwords,2,0.9710816144943237
xlmr_large,xlm-roberta-large,14,contentwords,3,0.9544783234596252
xlmr_large,xlm-roberta-large,14,contentwords,4,0.9543617367744446
xlmr_large,xlm-roberta-large,14,contentwords,5,0.9576314091682434
xlmr_large,xlm-roberta-large,14,contentwords,6,0.9531583786010742
xlmr_large,xlm-roberta-large,14,contentwords,7,0.9587768316268921
xlmr_large,xlm-roberta-large,14,contentwords,8,0.9481701850891113
xlmr_large,xlm-roberta-large,14,contentwords,9,0.9547706246376038
xlmr_large,xlm-roberta-large,14,contentwords,10,0.9405826330184937
xlmr_large,xlm-roberta-large,14,contentwords,11,0.958034336566925
xlmr_large,xlm-roberta-large,14,contentwords,12,0.9468536972999573
xlmr_large,xlm-roberta-large,14,contentwords,13,0.949341356754303
xlmr_large,xlm-roberta-large,14,contentwords,14,0.9566983580589294
xlmr_large,xlm-roberta-large,14,contentwords,15,0.9471665024757385
xlmr_large,xlm-roberta-large,14,contentwords,16,0.9420088529586792
xlmr_large,xlm-roberta-large,14,contentwords,17,0.9622972011566162
xlmr_large,xlm-roberta-large,14,contentwords,18,0.9608208537101746
xlmr_large,xlm-roberta-large,14,contentwords,19,0.9642238020896912
xlmr_large,xlm-roberta-large,14,contentwords,20,0.9571521878242493
xlmr_large,xlm-roberta-large,14,contentwords,21,0.957024335861206
xlmr_large,xlm-roberta-large,14,contentwords,22,0.9594593048095703
xlmr_large,xlm-roberta-large,14,contentwords,23,0.9600608348846436
xlmr_large,xlm-roberta-large,14,contentwords,24,0.9571115970611572
xlmr_large,xlm-roberta-large,14,contentwords,25,0.9555385112762451
xlmr_large,xlm-roberta-large,14,contentwords,26,0.9544884562492371
xlmr_large,xlm-roberta-large,14,contentwords,27,0.966923177242279
xlmr_large,xlm-roberta-large,14,contentwords,28,0.9404716491699219
xlmr_large,xlm-roberta-large,14,contentwords,29,0.9592974185943604
xlmr_large,xlm-roberta-large,14,contentwords,30,0.9496254920959473
xlmr_large,xlm-roberta-large,14,contentwords,31,0.9424692988395691
xlmr_large,xlm-roberta-large,14,contentwords,32,0.9554689526557922
xlmr_large,xlm-roberta-large,14,contentwords,33,0.9521731734275818
xlmr_large,xlm-roberta-large,14,contentwords,34,0.9543898105621338
xlmr_large,xlm-roberta-large,14,contentwords,35,0.9618157744407654
xlmr_large,xlm-roberta-large,14,contentwords,36,0.9508180022239685
xlmr_large,xlm-roberta-large,14,contentwords,37,0.9674077033996582
xlmr_large,xlm-roberta-large,14,contentwords,38,0.9528894424438477
xlmr_large,xlm-roberta-large,14,contentwords,39,0.9578921794891357
xlmr_large,xlm-roberta-large,14,contentwords,40,0.9500033259391785
xlmr_large,xlm-roberta-large,14,contentwords,41,0.9666993618011475
xlmr_large,xlm-roberta-large,14,contentwords,42,0.9691741466522217
xlmr_large,xlm-roberta-large,14,contentwords,43,0.9364998936653137
xlmr_large,xlm-roberta-large,14,contentwords,44,0.9342048168182373
xlmr_large,xlm-roberta-large,14,contentwords,45,0.9607195258140564
xlmr_large,xlm-roberta-large,14,contentwords,46,0.9509493112564087
xlmr_large,xlm-roberta-large,14,contentwords,47,0.9410406947135925
xlmr_large,xlm-roberta-large,14,contentwords,48,0.9648647308349609
xlmr_large,xlm-roberta-large,14,contentwords,49,0.9409315586090088
xlmr_large,xlm-roberta-large,14,contentwords,50,0.9682145118713379
xlmr_large,xlm-roberta-large,14,contentwords,51,0.9538589715957642
xlmr_large,xlm-roberta-large,14,contentwords,52,0.9555988311767578
xlmr_large,xlm-roberta-large,14,contentwords,53,0.9605164527893066
xlmr_large,xlm-roberta-large,14,contentwords,54,0.9887152314186096
xlmr_large,xlm-roberta-large,14,contentwords,55,0.9518224000930786
xlmr_large,xlm-roberta-large,14,contentwords,56,0.9604355692863464
