text,start,end
Ein,0.0,0.42
"großer,",0.42,0.84
hochstämmiger,1.28,1.82
Rosenstrauch,1.82,2.64
stand,2.64,3.06
nahe,3.06,3.48
beim,3.48,3.64
Eingang.,3.64,4.08
Die,4.62,4.94
"Rosen,",4.94,5.28
die,5.42,5.5
darauf,5.5,5.76
"wuchsen,",5.76,6.22
waren,6.42,6.64
"weiß,",6.64,7.04
aber,7.44,7.88
drei,7.88,8.12
Gärtner,8.12,8.56
waren,8.56,8.82
damit,8.82,9.08
"beschäftigt,",9.08,9.78
sie,9.96,10.12
roh,10.12,10.32
zu,10.32,10.44
malen.,10.44,10.76
Alice,11.82,12.2
kam,12.2,12.52
dies,12.52,12.78
wunderbar,12.78,13.36
"vor,",13.36,13.66
und,14.06,14.54
da,14.54,14.66
sie,14.66,14.82
näher,14.82,15.08
"hinzutrat,",15.08,15.78
um,15.92,16.06
ihnen,16.06,16.2
"zuzusehen,",16.2,16.76
hörte,17.22,17.58
sie,17.58,17.74
einen,17.74,18.0
von,18.0,18.26
ihnen,18.26,18.44
"sagen,",18.44,18.76
»Nimm,19.3,19.6
dich,19.6,19.82
in,19.82,20.0
"acht,",20.0,20.34
"Fünf,",20.74,21.1
bespritze,21.6,22.24
mich,22.24,22.4
nicht,22.4,22.56
so,22.56,22.7
mit,22.7,22.84
der,22.84,23.0
Farbe.«,23.0,23.8
»Ich,24.6,24.9
konnte,24.9,25.3
nicht,25.3,25.6
"dafür«,",25.6,26.32
sagte,26.54,26.86
Fünf,26.86,27.3
in,27.3,27.9
verdrießlichem,27.9,28.64
Tone.,28.64,28.98
Sieben,29.78,30.2
hat,30.2,30.48
mich,30.48,30.66
an,30.66,30.84
dem,30.84,31.02
Ellenbogen,31.02,31.6
gestoßen.,31.6,32.2
Worauf,33.18,33.58
Sieben,33.58,33.92
aufsah,33.92,34.46
und,34.46,34.64
"sagte,",34.64,34.96
»Recht,35.34,36.0
"so,",36.0,36.2
"Fünf,",36.28,36.64
schiebe,37.0,37.36
immer,37.36,37.7
die,37.7,37.92
Schuld,37.92,38.24
auf,38.24,38.54
andere,38.54,38.92
Leute.«,38.92,40.36
»Du,40.36,40.86
sei,40.86,41.36
nur,41.36,41.66
ganz,41.66,42.06
"still«,",42.06,42.74
sagte,42.98,43.22
"Fünf,",43.22,43.62
»gestern,43.96,44.74
erst,44.74,45.02
hörte,45.02,45.26
ich,45.26,45.38
die,45.38,45.54
Königin,45.54,45.96
"sagen,",45.96,46.22
du,46.38,46.48
"verdientest,",46.48,47.1
geköpft,47.22,47.6
zu,47.6,47.78
werden.«,47.78,48.9
"»Wofür?«,",49.18,50.58
sagte,50.78,50.98
der,50.98,51.2
"Erste,",51.2,51.58
welcher,52.2,52.52
zuerst,52.52,52.94
gesprochen,52.94,53.32
hatte.,53.32,53.7
»Das,55.14,55.48
geht,55.48,55.84
dich,55.84,56.2
nichts,56.2,56.82
"an,",56.82,57.2
"Zwei«,",57.44,58.04
sagte,58.04,58.58
Sieben.,58.58,58.96
"»Ja,",60.16,60.8
es,61.02,61.4
geht,61.4,61.6
ihn,61.6,61.8
"an«,",61.8,62.26
sagte,62.54,62.84
"Fünf,",62.84,63.26
»und,63.84,64.0
ich,64.0,64.12
werde,64.12,64.34
es,64.34,64.5
ihm,64.5,64.62
"sagen,",64.62,64.98
"dafür,",65.32,65.74
dass,65.92,66.04
er,66.04,66.12
dem,66.12,66.24
Koch,66.24,66.54
Tulpenzwiebeln,66.54,67.62
statt,67.62,68.0
Küchenzwiebeln,68.0,69.14
gebracht,69.14,69.5
hat.«,69.5,70.56
Sieben,70.88,71.28
warf,71.28,71.58
seinen,71.58,71.78
Pinsel,71.78,72.16
hin,72.16,72.46
und,72.46,72.78
hatte,72.78,73.24
eben,73.24,73.5
"angefangen,",73.5,74.06
»Ist,74.48,74.82
je,74.82,75.18
eine,75.18,75.52
ungerechtere,75.52,76.54
"Anschuldigung«,",76.54,77.94
als,78.36,78.58
sein,78.58,78.76
Auge,78.76,79.14
zufällig,79.14,80.0
auf,80.0,80.16
Alice,80.16,80.52
"fiel,",80.52,80.86
die,81.5,81.58
ihnen,81.58,81.78
"zuhörte,",81.78,82.46
erhielt,83.3,83.76
plötzlich,83.76,84.14
inne.,84.14,84.38
Die,85.36,85.58
anderen,85.58,85.86
sahen,85.86,86.16
sich,86.16,86.32
auch,86.32,86.54
um,86.54,86.82
und,86.82,87.28
sie,87.28,87.4
verbeugten,87.4,87.92
sich,87.92,88.12
alle,88.12,88.4
tief.,88.4,88.8
»Wollen,90.38,90.78
Sie,90.78,90.96
so,90.96,91.12
gut,91.12,91.36
"sein,",91.36,91.66
mir,91.86,92.0
zu,92.0,92.2
"sagen«,",92.2,93.0
sprach,93.08,93.44
Alice,93.44,93.8
etwas,93.8,94.08
"furchtsam,",94.08,94.72
»worum,95.4,95.82
Sie,95.82,96.0
diese,96.0,96.3
Rosen,96.3,96.66
malen?«,96.66,98.1
Fünf,98.44,98.86
und,98.86,99.08
Sieben,99.08,99.4
antworteten,99.4,100.08
"nichts,",100.08,100.44
sahen,101.48,101.86
aber,101.86,102.06
Zwei,102.06,102.34
an.,102.34,102.6
Zwei,103.62,103.94
fing,103.94,104.16
mit,104.16,104.34
leiser,104.34,104.68
Stimme,104.68,105.02
an.,105.02,105.32
»Die,106.5,106.64
Wahrheit,106.64,107.22
zu,107.22,107.42
"gestehen,",107.42,107.94
"Fräulein,",108.12,108.74
dies,109.06,109.34
hätte,109.34,109.66
hier,109.66,109.86
ein,109.86,110.12
roter,110.12,110.86
