model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
distilmbert,distilbert-base-multilingual-cased,4,contentwords,0,0.8913922309875488
distilmbert,distilbert-base-multilingual-cased,4,contentwords,1,0.8728684782981873
distilmbert,distilbert-base-multilingual-cased,4,contentwords,2,0.8807103633880615
distilmbert,distilbert-base-multilingual-cased,4,contentwords,3,0.8999568819999695
distilmbert,distilbert-base-multilingual-cased,4,contentwords,4,0.9061917662620544
distilmbert,distilbert-base-multilingual-cased,4,contentwords,5,0.895451545715332
distilmbert,distilbert-base-multilingual-cased,4,contentwords,6,0.8914133310317993
distilmbert,distilbert-base-multilingual-cased,4,contentwords,7,0.901288628578186
distilmbert,distilbert-base-multilingual-cased,4,contentwords,8,0.8883939385414124
distilmbert,distilbert-base-multilingual-cased,4,contentwords,9,0.8897507190704346
distilmbert,distilbert-base-multilingual-cased,4,contentwords,10,0.8597903251647949
distilmbert,distilbert-base-multilingual-cased,4,contentwords,11,0.8977029323577881
distilmbert,distilbert-base-multilingual-cased,4,contentwords,12,0.8898603916168213
distilmbert,distilbert-base-multilingual-cased,4,contentwords,13,0.9140635132789612
distilmbert,distilbert-base-multilingual-cased,4,contentwords,14,0.8618103861808777
distilmbert,distilbert-base-multilingual-cased,4,contentwords,15,0.8828349113464355
distilmbert,distilbert-base-multilingual-cased,4,contentwords,16,0.8205024600028992
distilmbert,distilbert-base-multilingual-cased,4,contentwords,17,0.9121443629264832
distilmbert,distilbert-base-multilingual-cased,4,contentwords,18,0.8854266405105591
distilmbert,distilbert-base-multilingual-cased,4,contentwords,19,0.8717884421348572
distilmbert,distilbert-base-multilingual-cased,4,contentwords,20,0.8932034373283386
distilmbert,distilbert-base-multilingual-cased,4,contentwords,21,0.8925961256027222
distilmbert,distilbert-base-multilingual-cased,4,contentwords,22,0.9073875546455383
distilmbert,distilbert-base-multilingual-cased,4,contentwords,23,0.8788055181503296
distilmbert,distilbert-base-multilingual-cased,4,contentwords,24,0.885930061340332
distilmbert,distilbert-base-multilingual-cased,4,contentwords,25,0.8956802487373352
distilmbert,distilbert-base-multilingual-cased,4,contentwords,26,0.8902353048324585
distilmbert,distilbert-base-multilingual-cased,4,contentwords,27,0.8980407118797302
distilmbert,distilbert-base-multilingual-cased,4,contentwords,28,0.870442271232605
distilmbert,distilbert-base-multilingual-cased,4,contentwords,29,0.9033096432685852
distilmbert,distilbert-base-multilingual-cased,4,contentwords,30,0.8702705502510071
distilmbert,distilbert-base-multilingual-cased,4,contentwords,31,0.8550985455513
distilmbert,distilbert-base-multilingual-cased,4,contentwords,32,0.848675549030304
distilmbert,distilbert-base-multilingual-cased,4,contentwords,33,0.8895971179008484
distilmbert,distilbert-base-multilingual-cased,4,contentwords,34,0.9054596424102783
distilmbert,distilbert-base-multilingual-cased,4,contentwords,35,0.8773632645606995
