model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
mt5_large,google/mt5-large,17,contentwords,0,0.9819096326828003
mt5_large,google/mt5-large,17,contentwords,1,0.9732393026351929
mt5_large,google/mt5-large,17,contentwords,2,0.9786933660507202
mt5_large,google/mt5-large,17,contentwords,3,0.3279954791069031
mt5_large,google/mt5-large,17,contentwords,4,0.18857751786708832
mt5_large,google/mt5-large,17,contentwords,5,0.9898790121078491
mt5_large,google/mt5-large,17,contentwords,6,0.2235812246799469
mt5_large,google/mt5-large,17,contentwords,7,0.9864600896835327
mt5_large,google/mt5-large,17,contentwords,8,0.9845072627067566
mt5_large,google/mt5-large,17,contentwords,9,0.9915436506271362
mt5_large,google/mt5-large,17,contentwords,10,0.9749693870544434
mt5_large,google/mt5-large,17,contentwords,11,0.990073025226593
mt5_large,google/mt5-large,17,contentwords,12,0.2843129634857178
mt5_large,google/mt5-large,17,contentwords,13,0.9824578762054443
mt5_large,google/mt5-large,17,contentwords,14,0.9911552667617798
mt5_large,google/mt5-large,17,contentwords,15,0.9876165390014648
mt5_large,google/mt5-large,17,contentwords,16,0.9756712317466736
mt5_large,google/mt5-large,17,contentwords,17,0.9854873418807983
mt5_large,google/mt5-large,17,contentwords,18,0.29647570848464966
mt5_large,google/mt5-large,17,contentwords,19,0.9885395169258118
mt5_large,google/mt5-large,17,contentwords,20,0.9842863082885742
mt5_large,google/mt5-large,17,contentwords,21,0.33636370301246643
mt5_large,google/mt5-large,17,contentwords,22,0.34039902687072754
mt5_large,google/mt5-large,17,contentwords,23,0.9814008474349976
mt5_large,google/mt5-large,17,contentwords,24,0.9821431636810303
mt5_large,google/mt5-large,17,contentwords,25,0.9859936833381653
mt5_large,google/mt5-large,17,contentwords,26,0.9734126329421997
mt5_large,google/mt5-large,17,contentwords,27,0.9799619913101196
mt5_large,google/mt5-large,17,contentwords,28,0.21197757124900818
mt5_large,google/mt5-large,17,contentwords,29,0.9880052208900452
mt5_large,google/mt5-large,17,contentwords,30,0.9886166453361511
mt5_large,google/mt5-large,17,contentwords,31,0.9920085668563843
mt5_large,google/mt5-large,17,contentwords,32,0.9834169149398804
mt5_large,google/mt5-large,17,contentwords,33,0.9886127710342407
mt5_large,google/mt5-large,17,contentwords,34,0.9784103631973267
mt5_large,google/mt5-large,17,contentwords,35,0.9817390441894531
mt5_large,google/mt5-large,17,contentwords,36,0.9844624400138855
mt5_large,google/mt5-large,17,contentwords,37,0.9741125106811523
mt5_large,google/mt5-large,17,contentwords,38,0.9774409532546997
mt5_large,google/mt5-large,17,contentwords,39,0.9925472736358643
mt5_large,google/mt5-large,17,contentwords,40,0.990349292755127
mt5_large,google/mt5-large,17,contentwords,41,0.984904408454895
mt5_large,google/mt5-large,17,contentwords,42,0.9820888042449951
mt5_large,google/mt5-large,17,contentwords,43,0.9863941669464111
mt5_large,google/mt5-large,17,contentwords,44,0.983465850353241
mt5_large,google/mt5-large,17,contentwords,45,0.21367865800857544
mt5_large,google/mt5-large,17,contentwords,46,0.9825116395950317
mt5_large,google/mt5-large,17,contentwords,47,0.9892446994781494
mt5_large,google/mt5-large,17,contentwords,48,0.9747685790061951
mt5_large,google/mt5-large,17,contentwords,49,0.9867314100265503
mt5_large,google/mt5-large,17,contentwords,50,0.9914435744285583
mt5_large,google/mt5-large,17,contentwords,51,0.9853997230529785
mt5_large,google/mt5-large,17,contentwords,52,0.9715708494186401
mt5_large,google/mt5-large,17,contentwords,53,0.9927002191543579
