text,start,end
Un,0.36,0.66
arbust,0.66,1.0
stufos,1.0,1.34
de,1.34,1.46
trandafiri,1.46,2.06
se,2.06,2.24
înălța,2.24,2.6
aproape,2.6,2.96
de,2.96,3.1
intrarea,3.1,3.54
în,3.54,3.62
grădină.,3.62,4.08
Trandafirii,4.48,5.2
înfloriseră,5.2,5.84
"albi,",5.84,6.2
dar,6.32,6.74
trei,6.74,7.04
grădinari,7.04,7.58
dădeau,7.58,7.94
zor,7.94,8.22
pe,8.22,8.38
lângă,8.38,8.64
arbus,8.64,8.94
și,8.94,9.08
vopseau,9.08,9.48
florile,9.48,9.86
în,9.86,10.0
roșu.,10.0,10.38
Alice-i,11.02,11.7
se,11.7,11.94
păru,11.94,12.26
foarte,12.26,12.62
ciudată,12.62,13.12
treaba,13.12,13.42
asta,13.42,13.72
și,13.72,13.9
se,13.9,14.06
apropie,14.06,14.6
să,14.6,14.8
vadă,14.8,15.28
mai,15.28,15.48
de,15.48,15.74
aproape,15.74,16.12
ce,16.12,16.3
făceau.,16.3,16.78
Când,17.34,17.6
ajunse,17.6,18.14
alături,18.14,18.68
de,18.68,18.82
"grădinari,",18.82,19.44
îl,19.9,20.02
auzi,20.02,20.28
pe,20.28,20.48
unul,20.48,20.9
dintre,20.9,21.22
ei,21.22,21.46
"zicând,",21.46,21.96
"""-",22.48,22.66
Fii,22.66,22.86
"atent,",22.86,23.12
"cinci,",23.22,23.52
uite,24.02,24.32
cum,24.32,24.56
m-ai,24.56,24.7
vopsit,24.7,25.06
cu,25.06,25.18
"vopsea!""",25.18,25.58
"""-",26.38,26.5
Nu-s,26.5,26.8
eu,26.8,26.9
de,26.9,27.06
"vină"",",27.06,27.62
răspunse,27.62,28.1
cinci,28.1,28.4
morocănos.,28.4,29.0
"""-",29.36,29.48
Șapte,29.48,29.78
m-a,29.78,29.96
lovit,29.96,30.18
peste,30.18,30.5
"cot!""",30.5,30.82
Șapte,31.68,32.08
ridică,32.08,32.54
ochii,32.54,32.8
și,32.8,32.92
"spuse,",32.92,33.32
"""-",33.7,33.76
"Așa,",33.76,34.1
"cinci,",34.16,34.44
dă,34.54,34.66
mereu,34.66,34.96
vina,34.96,35.18
pe,35.18,35.36
"alții!""",35.36,35.76
"""-",36.68,36.7
Tu,36.7,36.86
mai,36.86,36.96
bine,36.96,37.16
să,37.16,37.32
"taci"",",37.32,37.9
spuse,37.9,38.26
cinci.,38.26,38.7
"""-",39.04,39.14
Ieri,39.14,39.28
am,39.28,39.38
auzit,39.38,39.72
o,39.72,39.84
peregină,39.84,40.36
spunând,40.36,40.72
că,40.72,40.8
ai,40.8,40.92
meritat,40.92,41.28
să,41.28,41.42
ți,41.42,41.54
se,41.54,41.68
taie,41.68,41.94
"capul.""",41.94,42.7
"""-",43.3,43.34
Dar,43.34,43.52
ce-au,43.52,43.72
"făcut?"",",43.72,44.34
întrebă,44.34,44.82
cel,44.82,45.0
ce,45.0,45.14
vorbise,45.14,45.54
întâi.,45.54,45.9
"""-",46.24,46.58
Asta,46.58,46.86
nu,46.86,47.02
te,47.02,47.16
"privește,",47.16,47.58
"doi"",",47.74,48.32
îl,48.32,48.58
repezi,48.58,48.92
șapte.,48.92,49.46
"""-",50.0,50.02
Vă-l,50.02,50.28
"privește"",",50.28,51.12
zise,51.12,51.5
cinci.,51.5,51.92
"""-",52.72,52.8
Și,52.8,52.9
să-ți,52.9,53.18
"spun,",53.18,53.5
ea,54.48,54.72
a,54.72,54.8
dus,54.8,54.96
bucătăresei,54.96,56.14
în,56.14,56.3
loc,56.3,56.46
de,56.46,56.64
"ceapă,",56.64,57.08
cepe,57.16,57.42
de,57.42,57.58
la,57.58,57.7
"lele.""",57.7,58.14
Șaptea,58.44,58.98
zvârli,58.98,59.34
pensula,59.34,59.86
jos,59.86,60.1
și,60.1,60.26
tocmai,60.26,60.64
"striga,",60.64,61.0
"""-",61.64,61.72
"Așa,",61.72,62.0
nedreptate,62.08,62.64
mai,62.64,62.84
"rar!""",62.84,63.18
Când,64.18,64.46
din,64.46,64.62
întâmplare,64.62,65.18
dete,65.18,65.5
cu,65.5,65.64
ochii,65.64,65.88
de,65.88,66.06
"Alice,",66.06,66.3
care,66.46,66.64
stătea,66.64,67.04
și,67.04,67.16
observa.,67.16,67.68
În,68.48,68.68
clip,68.68,68.88
acela,68.88,69.2
se,69.2,69.36
"opri,",69.36,69.68
ceilalți,69.78,70.16
se,70.16,70.3
întoarseră,70.3,70.8
și,70.8,70.94
o,70.94,71.02
văzură,71.02,71.4
și,71.4,71.54
ei,71.54,71.75
și,71.75,71.96
toți,71.96,72.38
îi,72.38,72.62
făcură,72.62,73.04
o,73.04,73.12
plecăciune,73.12,73.66
adâncă.,73.66,74.22
"""-",75.16,75.24
Vreți,75.24,75.5
să,75.5,75.6
fiți,75.6,75.86
așa,75.86,76.1
de,76.1,76.26
bun,76.26,76.46
și,76.46,76.6
să-mi,76.6,76.84
spuneți,76.84,77.26
de,77.26,77.4
ce,77.4,77.5
vopsiți,77.5,77.96
"trantafirii?"",",77.96,78.72
întrebă,79.0,79.24
Alice,79.24,79.5
cu,79.5,79.7
oarecare,79.7,80.06
sfială.,80.06,80.68
Cinci,81.42,81.78
și,81.78,81.9
șapte,81.9,82.36
nu,82.36,82.52
ziseră,82.52,82.92
"nimic,",82.92,83.34
ci,83.5,83.6
priviră,83.6,84.1
spre,84.1,84.3
doi.,84.3,84.64
Doi,85.02,85.46
început,85.46,85.94
cu,85.94,86.1
glas,86.1,86.36
"căzut,",86.36,86.84
ca,86.96,87.04
și,87.04,87.2
cum,87.2,87.42
i-ar,87.42,87.6
fi,87.6,87.72
fost,87.72,87.96
teamă,87.96,88.3
să,88.3,88.44
nu-l,88.44,88.66
vadă,88.66,88.94
cineva.,88.94,89.36
"""-",90.18,90.22
"Știți,",90.22,90.54
"domnișoară,",90.6,91.2
de,91.36,91.54
fapt,91.54,91.76
în,91.76,91.92
locul,91.92,92.22
ăsta,92.22,92.42
trebuia,92.42,92.86
să,92.86,93.06
