model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
xlmr_base,xlm-roberta-base,9,contentwords,0,0.9630982875823975
xlmr_base,xlm-roberta-base,9,contentwords,1,0.9555923938751221
xlmr_base,xlm-roberta-base,9,contentwords,2,0.9478973746299744
xlmr_base,xlm-roberta-base,9,contentwords,3,0.9442543983459473
xlmr_base,xlm-roberta-base,9,contentwords,4,0.9490950703620911
xlmr_base,xlm-roberta-base,9,contentwords,5,0.9401015043258667
xlmr_base,xlm-roberta-base,9,contentwords,6,0.951987624168396
xlmr_base,xlm-roberta-base,9,contentwords,7,0.9547890424728394
xlmr_base,xlm-roberta-base,9,contentwords,8,0.9586483240127563
xlmr_base,xlm-roberta-base,9,contentwords,9,0.9567577242851257
xlmr_base,xlm-roberta-base,9,contentwords,10,0.9486730098724365
xlmr_base,xlm-roberta-base,9,contentwords,11,0.9540249109268188
xlmr_base,xlm-roberta-base,9,contentwords,12,0.948989748954773
xlmr_base,xlm-roberta-base,9,contentwords,13,0.9403847455978394
xlmr_base,xlm-roberta-base,9,contentwords,14,0.9479852914810181
xlmr_base,xlm-roberta-base,9,contentwords,15,0.9487849473953247
xlmr_base,xlm-roberta-base,9,contentwords,16,0.951373815536499
xlmr_base,xlm-roberta-base,9,contentwords,17,0.9610847234725952
xlmr_base,xlm-roberta-base,9,contentwords,18,0.9547016024589539
xlmr_base,xlm-roberta-base,9,contentwords,19,0.9593690037727356
xlmr_base,xlm-roberta-base,9,contentwords,20,0.9468190670013428
xlmr_base,xlm-roberta-base,9,contentwords,21,0.9556295275688171
xlmr_base,xlm-roberta-base,9,contentwords,22,0.9437618255615234
xlmr_base,xlm-roberta-base,9,contentwords,23,0.954921305179596
xlmr_base,xlm-roberta-base,9,contentwords,24,0.9532396197319031
xlmr_base,xlm-roberta-base,9,contentwords,25,0.9405434131622314
xlmr_base,xlm-roberta-base,9,contentwords,26,0.9348177909851074
xlmr_base,xlm-roberta-base,9,contentwords,27,0.9510250091552734
xlmr_base,xlm-roberta-base,9,contentwords,28,0.9405682682991028
xlmr_base,xlm-roberta-base,9,contentwords,29,0.9604929089546204
xlmr_base,xlm-roberta-base,9,contentwords,30,0.9308053255081177
xlmr_base,xlm-roberta-base,9,contentwords,31,0.9373665452003479
xlmr_base,xlm-roberta-base,9,contentwords,32,0.9464600086212158
xlmr_base,xlm-roberta-base,9,contentwords,33,0.9467606544494629
xlmr_base,xlm-roberta-base,9,contentwords,34,0.959503173828125
xlmr_base,xlm-roberta-base,9,contentwords,35,0.9492430686950684
xlmr_base,xlm-roberta-base,9,contentwords,36,0.9499456286430359
xlmr_base,xlm-roberta-base,9,contentwords,37,0.9570096731185913
xlmr_base,xlm-roberta-base,9,contentwords,38,0.9475758671760559
xlmr_base,xlm-roberta-base,9,contentwords,39,0.9609755277633667
xlmr_base,xlm-roberta-base,9,contentwords,40,0.9556228518486023
xlmr_base,xlm-roberta-base,9,contentwords,41,0.9579631686210632
xlmr_base,xlm-roberta-base,9,contentwords,42,0.9731327295303345
xlmr_base,xlm-roberta-base,9,contentwords,43,0.9647636413574219
xlmr_base,xlm-roberta-base,9,contentwords,44,0.9262683391571045
xlmr_base,xlm-roberta-base,9,contentwords,45,0.9528948068618774
xlmr_base,xlm-roberta-base,9,contentwords,46,0.9412394762039185
xlmr_base,xlm-roberta-base,9,contentwords,47,0.9420021176338196
xlmr_base,xlm-roberta-base,9,contentwords,48,0.9627987146377563
xlmr_base,xlm-roberta-base,9,contentwords,49,0.9312708973884583
xlmr_base,xlm-roberta-base,9,contentwords,50,0.9530311822891235
xlmr_base,xlm-roberta-base,9,contentwords,51,0.955342173576355
xlmr_base,xlm-roberta-base,9,contentwords,52,0.9502984285354614
xlmr_base,xlm-roberta-base,9,contentwords,53,0.96368807554245
xlmr_base,xlm-roberta-base,9,contentwords,54,0.9829089045524597
xlmr_base,xlm-roberta-base,9,contentwords,55,0.9478989839553833
xlmr_base,xlm-roberta-base,9,contentwords,56,0.9557909965515137
xlmr_base,xlm-roberta-base,9,contentwords,57,0.9507976174354553
xlmr_base,xlm-roberta-base,9,contentwords,58,0.9589780569076538
xlmr_base,xlm-roberta-base,9,contentwords,59,0.9564952850341797
xlmr_base,xlm-roberta-base,9,contentwords,60,0.9692994952201843
xlmr_base,xlm-roberta-base,9,contentwords,61,0.9595115780830383
xlmr_base,xlm-roberta-base,9,contentwords,62,0.9536089897155762
xlmr_base,xlm-roberta-base,9,contentwords,63,0.9609171152114868
xlmr_base,xlm-roberta-base,9,contentwords,64,0.9417780637741089
xlmr_base,xlm-roberta-base,9,contentwords,65,0.9576793909072876
xlmr_base,xlm-roberta-base,9,contentwords,66,0.9549166560173035
xlmr_base,xlm-roberta-base,9,contentwords,67,0.949510395526886
xlmr_base,xlm-roberta-base,9,contentwords,68,0.9447908401489258
xlmr_base,xlm-roberta-base,9,contentwords,69,0.9546543955802917
xlmr_base,xlm-roberta-base,9,contentwords,70,0.9630215167999268
xlmr_base,xlm-roberta-base,9,contentwords,71,0.9382822513580322
xlmr_base,xlm-roberta-base,9,contentwords,72,0.9416612982749939
xlmr_base,xlm-roberta-base,9,contentwords,73,0.9541634321212769
xlmr_base,xlm-roberta-base,9,contentwords,74,0.95447838306427
xlmr_base,xlm-roberta-base,9,contentwords,75,0.951108455657959
xlmr_base,xlm-roberta-base,9,contentwords,76,0.9462571144104004
xlmr_base,xlm-roberta-base,9,contentwords,77,0.9347686171531677
xlmr_base,xlm-roberta-base,9,contentwords,78,0.9582472443580627
xlmr_base,xlm-roberta-base,9,contentwords,79,0.955558717250824
xlmr_base,xlm-roberta-base,9,contentwords,80,0.9486668109893799
xlmr_base,xlm-roberta-base,9,contentwords,81,0.9482004046440125
xlmr_base,xlm-roberta-base,9,contentwords,82,0.957355260848999
xlmr_base,xlm-roberta-base,9,contentwords,83,0.9561611413955688
xlmr_base,xlm-roberta-base,9,contentwords,84,0.9529469609260559
xlmr_base,xlm-roberta-base,9,contentwords,85,0.9393863081932068
xlmr_base,xlm-roberta-base,9,contentwords,86,0.9251706600189209
xlmr_base,xlm-roberta-base,9,contentwords,87,0.9567962288856506
xlmr_base,xlm-roberta-base,9,contentwords,88,0.9589340686798096
xlmr_base,xlm-roberta-base,9,contentwords,89,0.9471327662467957
xlmr_base,xlm-roberta-base,9,contentwords,90,0.9446249008178711
xlmr_base,xlm-roberta-base,9,contentwords,91,0.9556053876876831
xlmr_base,xlm-roberta-base,9,contentwords,92,0.936803936958313
xlmr_base,xlm-roberta-base,9,contentwords,93,0.9405900835990906
xlmr_base,xlm-roberta-base,9,contentwords,94,0.9546343684196472
xlmr_base,xlm-roberta-base,9,contentwords,95,0.9530081748962402
xlmr_base,xlm-roberta-base,9,contentwords,96,0.981223464012146
xlmr_base,xlm-roberta-base,9,contentwords,97,0.9411723613739014
xlmr_base,xlm-roberta-base,9,contentwords,98,0.9465106725692749
xlmr_base,xlm-roberta-base,9,contentwords,99,0.9575752019882202
xlmr_base,xlm-roberta-base,9,contentwords,100,0.9294052124023438
xlmr_base,xlm-roberta-base,9,contentwords,101,0.9530713558197021
xlmr_base,xlm-roberta-base,9,contentwords,102,0.9642904996871948
xlmr_base,xlm-roberta-base,9,contentwords,103,0.9420336484909058
xlmr_base,xlm-roberta-base,9,contentwords,104,0.9493464827537537
xlmr_base,xlm-roberta-base,9,contentwords,105,0.9505705833435059
xlmr_base,xlm-roberta-base,9,contentwords,106,0.9702223539352417
xlmr_base,xlm-roberta-base,9,contentwords,107,0.964137077331543
xlmr_base,xlm-roberta-base,9,contentwords,108,0.9353627562522888
xlmr_base,xlm-roberta-base,9,contentwords,109,0.9534245133399963
xlmr_base,xlm-roberta-base,9,contentwords,110,0.9630888104438782
xlmr_base,xlm-roberta-base,9,contentwords,111,0.9495023488998413
xlmr_base,xlm-roberta-base,9,contentwords,112,0.9481702446937561
xlmr_base,xlm-roberta-base,9,contentwords,113,0.9463743567466736
xlmr_base,xlm-roberta-base,9,contentwords,114,0.9535125494003296
xlmr_base,xlm-roberta-base,9,contentwords,115,0.9657795429229736
xlmr_base,xlm-roberta-base,9,contentwords,116,0.9648004770278931
xlmr_base,xlm-roberta-base,9,contentwords,117,0.9397069811820984
xlmr_base,xlm-roberta-base,9,contentwords,118,0.958946943283081
xlmr_base,xlm-roberta-base,9,contentwords,119,0.9472729563713074
xlmr_base,xlm-roberta-base,9,contentwords,120,0.9462182521820068
