model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
xglm_small,facebook/xglm-564M,10,contentwords,0,0.9949032068252563
xglm_small,facebook/xglm-564M,10,contentwords,1,0.9923483729362488
xglm_small,facebook/xglm-564M,10,contentwords,2,0.9965112209320068
xglm_small,facebook/xglm-564M,10,contentwords,3,0.9967925548553467
xglm_small,facebook/xglm-564M,10,contentwords,4,0.9834304451942444
xglm_small,facebook/xglm-564M,10,contentwords,5,0.9947381019592285
xglm_small,facebook/xglm-564M,10,contentwords,6,0.9926049709320068
xglm_small,facebook/xglm-564M,10,contentwords,7,0.9967766404151917
xglm_small,facebook/xglm-564M,10,contentwords,8,0.9962078332901001
xglm_small,facebook/xglm-564M,10,contentwords,9,0.9964838027954102
xglm_small,facebook/xglm-564M,10,contentwords,10,0.9963482618331909
xglm_small,facebook/xglm-564M,10,contentwords,11,0.995313823223114
xglm_small,facebook/xglm-564M,10,contentwords,12,0.9942492842674255
xglm_small,facebook/xglm-564M,10,contentwords,13,0.995744526386261
xglm_small,facebook/xglm-564M,10,contentwords,14,0.9921047687530518
xglm_small,facebook/xglm-564M,10,contentwords,15,0.9926965236663818
xglm_small,facebook/xglm-564M,10,contentwords,16,0.9968352317810059
xglm_small,facebook/xglm-564M,10,contentwords,17,0.9958046674728394
xglm_small,facebook/xglm-564M,10,contentwords,18,0.9912499785423279
xglm_small,facebook/xglm-564M,10,contentwords,19,0.9934409856796265
xglm_small,facebook/xglm-564M,10,contentwords,20,0.9973487854003906
xglm_small,facebook/xglm-564M,10,contentwords,21,0.9960275292396545
xglm_small,facebook/xglm-564M,10,contentwords,22,0.9961674809455872
xglm_small,facebook/xglm-564M,10,contentwords,23,0.9955611228942871
xglm_small,facebook/xglm-564M,10,contentwords,24,0.9965710639953613
xglm_small,facebook/xglm-564M,10,contentwords,25,0.996791660785675
xglm_small,facebook/xglm-564M,10,contentwords,26,0.9903034567832947
xglm_small,facebook/xglm-564M,10,contentwords,27,0.9934774041175842
xglm_small,facebook/xglm-564M,10,contentwords,28,0.9916096925735474
xglm_small,facebook/xglm-564M,10,contentwords,29,0.99261075258255
xglm_small,facebook/xglm-564M,10,contentwords,30,0.9898130893707275
xglm_small,facebook/xglm-564M,10,contentwords,31,0.9929493069648743
xglm_small,facebook/xglm-564M,10,contentwords,32,0.9929962754249573
xglm_small,facebook/xglm-564M,10,contentwords,33,0.995863676071167
xglm_small,facebook/xglm-564M,10,contentwords,34,0.9943450689315796
xglm_small,facebook/xglm-564M,10,contentwords,35,0.971534013748169
xglm_small,facebook/xglm-564M,10,contentwords,36,0.9922124743461609
xglm_small,facebook/xglm-564M,10,contentwords,37,0.9919211864471436
xglm_small,facebook/xglm-564M,10,contentwords,38,0.9920822978019714
xglm_small,facebook/xglm-564M,10,contentwords,39,0.9965072274208069
xglm_small,facebook/xglm-564M,10,contentwords,40,0.9957353472709656
xglm_small,facebook/xglm-564M,10,contentwords,41,0.9919547438621521
xglm_small,facebook/xglm-564M,10,contentwords,42,0.9966286420822144
xglm_small,facebook/xglm-564M,10,contentwords,43,0.9841499924659729
xglm_small,facebook/xglm-564M,10,contentwords,44,0.9800858497619629
xglm_small,facebook/xglm-564M,10,contentwords,45,0.9852529168128967
xglm_small,facebook/xglm-564M,10,contentwords,46,0.9849931001663208
xglm_small,facebook/xglm-564M,10,contentwords,47,0.996012270450592
xglm_small,facebook/xglm-564M,10,contentwords,48,0.9970296025276184
xglm_small,facebook/xglm-564M,10,contentwords,49,0.9954444169998169
xglm_small,facebook/xglm-564M,10,contentwords,50,0.9970818161964417
xglm_small,facebook/xglm-564M,10,contentwords,51,0.9964284300804138
xglm_small,facebook/xglm-564M,10,contentwords,52,0.9972841739654541
xglm_small,facebook/xglm-564M,10,contentwords,53,0.9963526725769043
xglm_small,facebook/xglm-564M,10,contentwords,54,0.9958316087722778
xglm_small,facebook/xglm-564M,10,contentwords,55,0.9971798062324524
xglm_small,facebook/xglm-564M,10,contentwords,56,0.9965950846672058
xglm_small,facebook/xglm-564M,10,contentwords,57,0.9943303465843201
xglm_small,facebook/xglm-564M,10,contentwords,58,0.9944594502449036
xglm_small,facebook/xglm-564M,10,contentwords,59,0.9973913431167603
xglm_small,facebook/xglm-564M,10,contentwords,60,0.9853715896606445
xglm_small,facebook/xglm-564M,10,contentwords,61,0.9851721525192261
xglm_small,facebook/xglm-564M,10,contentwords,62,0.9921735525131226
xglm_small,facebook/xglm-564M,10,contentwords,63,0.9953311681747437
xglm_small,facebook/xglm-564M,10,contentwords,64,0.9963653683662415
xglm_small,facebook/xglm-564M,10,contentwords,65,0.9926279783248901
xglm_small,facebook/xglm-564M,10,contentwords,66,0.9953689575195312
xglm_small,facebook/xglm-564M,10,contentwords,67,0.9968230128288269
xglm_small,facebook/xglm-564M,10,contentwords,68,0.9808211922645569
xglm_small,facebook/xglm-564M,10,contentwords,69,0.9934276342391968
xglm_small,facebook/xglm-564M,10,contentwords,70,0.9963761568069458
xglm_small,facebook/xglm-564M,10,contentwords,71,0.9967709183692932
xglm_small,facebook/xglm-564M,10,contentwords,72,0.983208179473877
xglm_small,facebook/xglm-564M,10,contentwords,73,0.9942237138748169
xglm_small,facebook/xglm-564M,10,contentwords,74,0.9958347082138062
xglm_small,facebook/xglm-564M,10,contentwords,75,0.9964088797569275
xglm_small,facebook/xglm-564M,10,contentwords,76,0.9927260875701904
xglm_small,facebook/xglm-564M,10,contentwords,77,0.9871053695678711
xglm_small,facebook/xglm-564M,10,contentwords,78,0.9923534393310547
xglm_small,facebook/xglm-564M,10,contentwords,79,0.9940835237503052
xglm_small,facebook/xglm-564M,10,contentwords,80,0.9810732007026672
xglm_small,facebook/xglm-564M,10,contentwords,81,0.9925355315208435
xglm_small,facebook/xglm-564M,10,contentwords,82,0.9951955676078796
xglm_small,facebook/xglm-564M,10,contentwords,83,0.9921322464942932
xglm_small,facebook/xglm-564M,10,contentwords,84,0.9965057373046875
xglm_small,facebook/xglm-564M,10,contentwords,85,0.9962974786758423
xglm_small,facebook/xglm-564M,10,contentwords,86,0.98440021276474
xglm_small,facebook/xglm-564M,10,contentwords,87,0.9936147928237915
xglm_small,facebook/xglm-564M,10,contentwords,88,0.995847761631012
xglm_small,facebook/xglm-564M,10,contentwords,89,0.9950962066650391
xglm_small,facebook/xglm-564M,10,contentwords,90,0.9924936890602112
xglm_small,facebook/xglm-564M,10,contentwords,91,0.9959221482276917
xglm_small,facebook/xglm-564M,10,contentwords,92,0.9902421236038208
xglm_small,facebook/xglm-564M,10,contentwords,93,0.9921379089355469
xglm_small,facebook/xglm-564M,10,contentwords,94,0.9911370277404785
xglm_small,facebook/xglm-564M,10,contentwords,95,0.9937256574630737
xglm_small,facebook/xglm-564M,10,contentwords,96,0.9934185147285461
xglm_small,facebook/xglm-564M,10,contentwords,97,0.9934195280075073
xglm_small,facebook/xglm-564M,10,contentwords,98,0.9929284453392029
xglm_small,facebook/xglm-564M,10,contentwords,99,0.9836359620094299
xglm_small,facebook/xglm-564M,10,contentwords,100,0.9940944910049438
xglm_small,facebook/xglm-564M,10,contentwords,101,0.9924147129058838
xglm_small,facebook/xglm-564M,10,contentwords,102,0.9909104704856873
xglm_small,facebook/xglm-564M,10,contentwords,103,0.9932548403739929
xglm_small,facebook/xglm-564M,10,contentwords,104,0.9954878091812134
xglm_small,facebook/xglm-564M,10,contentwords,105,0.9850120544433594
xglm_small,facebook/xglm-564M,10,contentwords,106,0.9846328496932983
xglm_small,facebook/xglm-564M,10,contentwords,107,0.9929783344268799
xglm_small,facebook/xglm-564M,10,contentwords,108,0.9863713383674622
xglm_small,facebook/xglm-564M,10,contentwords,109,0.9929569363594055
xglm_small,facebook/xglm-564M,10,contentwords,110,0.9926970601081848
xglm_small,facebook/xglm-564M,10,contentwords,111,0.9798961281776428
xglm_small,facebook/xglm-564M,10,contentwords,112,0.9918482899665833
xglm_small,facebook/xglm-564M,10,contentwords,113,0.9949780702590942
xglm_small,facebook/xglm-564M,10,contentwords,114,0.9945958852767944
xglm_small,facebook/xglm-564M,10,contentwords,115,0.9944196939468384
xglm_small,facebook/xglm-564M,10,contentwords,116,0.9941280484199524
xglm_small,facebook/xglm-564M,10,contentwords,117,0.9923895001411438
xglm_small,facebook/xglm-564M,10,contentwords,118,0.9819862246513367
xglm_small,facebook/xglm-564M,10,contentwords,119,0.9825782775878906
xglm_small,facebook/xglm-564M,10,contentwords,120,0.9784700274467468
xglm_small,facebook/xglm-564M,10,contentwords,121,0.9950363636016846
xglm_small,facebook/xglm-564M,10,contentwords,122,0.9965391159057617
xglm_small,facebook/xglm-564M,10,contentwords,123,0.995512843132019
xglm_small,facebook/xglm-564M,10,contentwords,124,0.992476224899292
xglm_small,facebook/xglm-564M,10,contentwords,125,0.9940096139907837
xglm_small,facebook/xglm-564M,10,contentwords,126,0.9930329322814941
xglm_small,facebook/xglm-564M,10,contentwords,127,0.9916322231292725
xglm_small,facebook/xglm-564M,10,contentwords,128,0.9824883937835693
xglm_small,facebook/xglm-564M,10,contentwords,129,0.9925545454025269
xglm_small,facebook/xglm-564M,10,contentwords,130,0.991915762424469
xglm_small,facebook/xglm-564M,10,contentwords,131,0.9946603775024414
xglm_small,facebook/xglm-564M,10,contentwords,132,0.9936918020248413
xglm_small,facebook/xglm-564M,10,contentwords,133,0.9914572238922119
xglm_small,facebook/xglm-564M,10,contentwords,134,0.9961996674537659
xglm_small,facebook/xglm-564M,10,contentwords,135,0.9905727505683899
xglm_small,facebook/xglm-564M,10,contentwords,136,0.993464469909668
xglm_small,facebook/xglm-564M,10,contentwords,137,0.9913734793663025
xglm_small,facebook/xglm-564M,10,contentwords,138,0.9938554167747498
xglm_small,facebook/xglm-564M,10,contentwords,139,0.9917636513710022
xglm_small,facebook/xglm-564M,10,contentwords,140,0.9938595294952393
xglm_small,facebook/xglm-564M,10,contentwords,141,0.9914892911911011
xglm_small,facebook/xglm-564M,10,contentwords,142,0.9931796789169312
xglm_small,facebook/xglm-564M,10,contentwords,143,0.9922171831130981
xglm_small,facebook/xglm-564M,10,contentwords,144,0.9923882484436035
xglm_small,facebook/xglm-564M,10,contentwords,145,0.992186427116394
xglm_small,facebook/xglm-564M,10,contentwords,146,0.992451548576355
xglm_small,facebook/xglm-564M,10,contentwords,147,0.992394208908081
xglm_small,facebook/xglm-564M,10,contentwords,148,0.9909814596176147
xglm_small,facebook/xglm-564M,10,contentwords,149,0.9898616075515747
xglm_small,facebook/xglm-564M,10,contentwords,150,0.9927216172218323
xglm_small,facebook/xglm-564M,10,contentwords,151,0.9936026334762573
xglm_small,facebook/xglm-564M,10,contentwords,152,0.9944908022880554
xglm_small,facebook/xglm-564M,10,contentwords,153,0.992560625076294
xglm_small,facebook/xglm-564M,10,contentwords,154,0.9907925128936768
xglm_small,facebook/xglm-564M,10,contentwords,155,0.9901366829872131
xglm_small,facebook/xglm-564M,10,contentwords,156,0.9927258491516113
