text,start,end
یک,0.44,0.86
درخت,0.86,1.18
گل,1.18,1.5
سرخ,1.5,1.84
بزرگ,1.84,2.4
در,2.4,2.7
قسمت,2.7,3.08
وردی,3.08,3.46
باقو,3.46,3.84
وجود,3.84,4.14
داشت.,4.14,4.5
گلهای,4.88,5.34
آن,5.34,5.52
سپید,5.52,5.88
رنگ,5.88,6.12
بود.,6.12,6.3
اما,6.78,7.06
سه,7.06,7.28
باغبان,7.28,7.74
سرگم,7.74,8.48
رنگ,8.48,8.8
کردن,8.8,9.1
گلها,9.1,9.48
به,9.48,9.64
رنگ,9.64,9.88
قرمز,9.88,10.3
بودند.,10.3,10.64
آلیس,11.24,11.58
از,11.58,11.72
مشاهده,11.72,12.18
آن,12.18,12.36
سحنه,12.36,12.72
خیلی,12.72,13.1
حیرت,13.1,13.42
کرد,13.42,13.72
و,14.02,14.18
کمی,14.18,14.48
نزدیک,14.48,14.86
تر,14.86,15.08
رفت,15.08,15.3
و,15.3,15.38
هنگامی,15.38,15.78
که,15.78,15.88
نزدیک,15.88,16.24
شد,16.24,16.5
شنید,16.84,17.16
که,17.16,17.28
یکی,17.28,17.52
از,17.52,17.64
باغبانها,17.64,18.2
گفت,18.2,18.52
«هالا,18.98,19.34
نگاه,19.34,19.64
کن,19.64,19.82
پنج.,19.82,20.2
اینطور,20.58,20.94
بریختن,20.94,21.44
رنگ,21.44,21.76
بروی,21.76,22.02
من,22.02,22.18
ادامه,22.18,22.6
نده».,22.6,23.04
پنج,23.64,24.04
با,24.04,24.2
لحن,24.2,24.42
تندی,24.42,24.78
گفت,24.78,25.08
تخصیر,25.66,26.16
من,26.16,26.3
نبود.,26.3,26.74
هفت,27.04,27.32
آرنجه,27.32,27.8
من,27.8,27.88
را,27.88,28.02
تکان,28.02,28.34
داد.,28.34,28.58
هفت,29.0,29.34
به,29.34,29.46
بالا,29.46,29.68
نگاه,29.68,29.98
کرد,29.98,30.24
و,30.24,30.34
گفت,30.34,30.58
«درست,30.58,31.16
از,31.16,31.36
پنج.,31.36,31.76
همیشه,32.0,32.32
دیگران,32.32,32.74
را,32.74,32.86
سرزنش,32.86,33.42
کن».,33.42,33.74
پنج,34.52,34.88
گفت,34.88,35.18
«بهتر,35.18,35.84
از,35.84,35.96
تو,35.96,36.06
دیگر,36.06,36.36
حرف,36.36,36.6
نزنی.,36.6,37.08
همین,37.34,37.66
دیروز,37.66,37.94
