text,start,end
«,0.5,0.52
Appelez,0.52,1.26
le,1.26,1.4
premier,1.4,1.7
"témoin,",1.7,2.24
dit,2.44,2.58
le,2.58,2.76
roi.,2.76,2.98
Le,3.46,3.68
lapin,3.68,4.04
blanc,4.04,4.3
souffla,4.3,4.8
trois,4.8,5.1
fois,5.1,5.3
dans,5.3,5.48
sa,5.48,5.64
trompette,5.64,6.12
et,6.12,6.34
"cria,",6.34,6.62
le,6.9,7.34
premier,7.34,7.66
témoin!,7.66,8.46
»,8.46,8.76
Le,8.94,9.18
premier,9.18,9.52
témoin,9.52,9.9
était,9.9,10.12
le,10.12,10.3
chapelier.,10.3,10.68
Il,11.72,11.9
"arriva,",11.9,12.32
tenant,12.48,12.76
d'une,12.76,13.04
main,13.04,13.24
une,13.24,13.58
tasse,13.58,13.84
de,13.84,13.98
thé,13.98,14.14
et,14.14,14.54
une,14.54,14.68
tartine,14.68,15.08
beurrée,15.08,15.34
de,15.34,15.44
l'autre.,15.44,15.76
«,16.66,16.8
Pardonnez-moi,16.8,17.36
d'avoir,17.36,17.7
introduit,17.7,18.24
ces,18.24,18.42
"objets,",18.42,18.82
"majesté,",19.02,19.7
mais,20.34,20.56
je,20.56,20.7
n'avais,20.7,20.96
pas,20.96,21.14
tout,21.14,21.28
à,21.28,21.42
fait,21.42,21.54
fini,21.58,21.76
mon,21.76,21.98
thé,21.98,22.1
lorsqu'on,22.1,22.46
m'a,22.46,22.62
convoqué.,22.62,23.0
»,23.78,24.22
«,24.22,24.24
Vous,24.24,24.38
auriez,24.38,24.64
dû,24.64,24.78
avoir,24.78,25.0
"fini,",25.0,25.34
dit,25.56,25.68
le,25.68,25.82
roi.,25.82,25.91
Quand,25.91,26.56
avez-vous,26.56,26.94
commencé?,26.94,27.52
»,27.52,27.54
Le,28.18,28.4
chapelier,28.4,28.92
regarda,28.92,29.38
le,29.38,29.54
lièvre,29.54,29.84
de,29.84,30.02
Mars,30.02,30.32
qu'il,30.32,31.02
avait,31.02,31.18
