,Sentence,EffectSize
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",0.45079163
1,A bed is a piece of furniture used as a place to sleep or have sex in.,1.092356
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",0.7126885
3,"A bee is a flying insect, with a black and yellow body and six legs.",0.08949184
4,A bicycle is a vehicle with two wheels and pedals on a frame.,1.0369029
5,A blacksmith creates objects by forging iron or steel.,0.033079397
6,A blender is a kitchen appliance used to mix ingredients or puree food.,0.24945003
7,A boy becomes a man after passing through puberty.,0.44045419
8,A boy is a young male child who has not undergone puberty.,0.51020426
9,A butterfly is a flying insect with four large wings.,0.33128917
10,A car can be powered by a gasoline or electric engine.,0.34693107
11,A carpenter is an artist or manual laborer who works with wood.,0.38879588
12,A castle could easily control lands within a day's walk.,0.6191315
13,A chair is a piece of furniture designed for people to sit on.,0.32610655
14,A clarinet is a woodwind musical instrument.,0.21683091
15,A cod is a fish that lives in the colder areas of the Atlantic.,-0.04214917
16,A convicted murderer is often given a life sentence or the death penalty.,1.1046633
17,A cooperative is a farm where many farmers share the land and equipment.,0.77874255
18,A cubicle consists of a desk surrounded by partitions on three sides.,0.7646549
19,A cyclone can move inland and seriously damage property.,0.63363373
20,A desert is a natural environment where almost no rain falls.,0.42339113
21,"A desk is a piece of furniture used for working at, sometimes with a computer.",0.7281135
22,A door is a movable barrier to entrance or exit from an enclosed area.,0.52664316
23,A dress is a piece of clothing that women sometimes wear.,0.393344
24,"A dress is like a shirt attached to a long, matching skirt.",0.8502873
25,"A dress is usually worn at formal occasions, such as a wedding or a dance.",0.50945926
26,A drought is a persistent shortage of the water supply caused by lack of rain.,0.46006945
27,A farm is land used to grow plants or raise animals for food.,0.68675035
28,A fire investigation determines if a fire was caused by accident or arson.,0.7558304
29,A flood is an overflow of an expanse of water that submerges inhabited land.,0.60860986
30,"A floor is a horizontal surface inside a building, used for walking on.",0.41191456
31,A foot is a body part on the end of a leg. ,0.32173836
32,"A forest ecosystem has various types of trees and animals, as well as ground plants.",0.5918275
33,A forest is an area with a high density of trees and canopy cover.,0.38003272
34,"A fork is a tool for eating solid foods, with a handle and several tines.",0.35369578
35,A freight train transports containers of goods or fuel over long distances.,0.22856869
36,A frying pan is a small pan with sloping sides and a handle.,0.39307287
37,A girl is a female human who has not yet reached maturity.,0.9002211
38,A glove is a piece of clothing that covers the hand and fingers.,0.19626842
39,A hammer is a tool used to deliver an impact to an object.,0.41328233
40,A hand grenade is an explosive used as a weapon against people.,0.56354076
41,"A horse has a tail and a mane on its neck, and is usually gray or brown.",0.4854094
42,"A horse is a large hoofed mammal with four long, muscular legs.",0.14547151
43,"A house can have rooms for purposes like sleeping, cooking or washing.",0.56527984
44,A house is a permanent building or structure for people or families to live in.,0.397782
45,"A human can ride a horse while it walks, trots or gallops.",0.8151346
46,"A knife can be used to attack by slashing, stabbing or throwing. ",0.36289063
47,A knife is a tool with a sharp edge that is used to cut things.,0.0486301
48,A lawn mower is a machine with revolving blades that cut grass to an even height.,0.58814716
49,"A library is a place where a collection of books, documents and media is kept.",0.5717599
50,A local hospital has initiated new measures to reduce infections.,0.3219885
51,A log cabin is a small house built from round logs.,0.3762194
52,A luthier is a carpenter that makes and repairs musical instruments.,0.7871804
53,A major strength of professional skiers is how they use ski poles.,0.41970083
54,A man is a male human adult.,0.613067
55,A mitten is a kind of glove where the four fingers are covered together.,0.41009867
56,A mountain is a landform that rises steeply above surrounding land.,0.21930856
57,A mug is a sturdy cup with a handle for drinking hot liquids.,0.35568652
58,A mug is thick and has a ring base for thermal insulation.,0.75637394
59,A painter must keep many elements in mind while completing a painting.,0.37590203
60,A parrot is a bird that lives in warm and tropical regions.,0.2362505
61,A peach is an orange-yellow fruit with a characteristic smell.,0.40451354
62,A range of mountains forms due to tectonic plate collision.,0.6810843
63,A raven is a large black bird that thrives in many climates.,0.065136276
64,A refrigerator is a cooling device used to contain and preserve food.,0.14501487
65,A rifle is a firearm that rests on the shoulder and has a barrel with twisting grooves.,0.53958577
66,A saw is a tool that uses a hard blade or abrasive wire to cut hard materials.,0.36465225
67,A scientist creates hypotheses and does experiments to test them.,0.23670337
68,A scientist studies and produces new knowledge about the physical world.,0.4823043
69,A screwdriver is a tool for inserting and tightening screws into something.,0.4224385
70,A shark is a large fish with a cartilage skeleton.,0.35662255
71,"A ship can be powered in the ocean by sails, steam, or diesel engines.",0.4399554
72,A ship is a large vehicle that floats and travels on water.,0.3359279
73,"A shoe is clothing for the foot, with a sole, an outsole and a heel.",0.57305646
74,A single raspberry consists of many small fruits joined together.,0.58627313
75,A sneaker is a shoe for sports and athletic activity.,0.41543147
76,A soldier fights using weapons such as rifles and grenades.,0.5251229
77,"A soldier in the militia must wear a uniform, usually camouflage.",0.79374903
78,A soldier is a member of the national armed forces who fights on land.,0.85264826
79,"A swamp is covered with shallow water, mud and vegetation.",0.14905544
80,A sweater is a heavy garment worn on the torso for warmth.,0.32233882
81,A sweater that opens down the front is called a cardigan.,0.27094418
82,A table is a piece of furniture with a flat surface and legs.,0.13553411
83,A television is an appliance with a screen that displays moving images.,0.44696537
84,A toaster is a kitchen appliance for toasting bread using heating elements.,0.46231377
85,A train is a connected series of cars that moves between stations on a track.,0.29140154
86,A train station is a place where passengers get on or off a train.,0.44405922
87,A tropical cyclone is a storm formed over warm tropical sea.,0.3539296
88,A tuxedo jacket is a tailless dinner jacket with black silk lapels.,0.46272588
89,A typical window is made of sheets of glass held in place by frames.,0.14188564
90,A violinist holds the instrument between the chin and the collarbone.,0.49758127
91,A wall is a solid structure that defines and sometimes protects an area.,1.0775874
92,A whale is a very large mammal that lives in the ocean.,0.012364626
93,A window is a transparent opening in a wall to let light through.,0.112276554
94,A woman can become pregnant and bear children.,0.26779905
95,A woman has different reproductive organs than a man.,0.715898
96,A woman is a female human adult.,0.13435143
97,A woman is stereotypically seen as a caregiver.,0.30878517
98,Academic libraries support scholarly research and have specialized books.,0.47650263
99,Accordions produce sound with bellows that blow air through reeds.,0.73424405
100,"Acting, stage presence, and musical interpretation are all critical.",0.8723028
101,"After climbing fifty feet up the side of the pyramid, the man gestured me into a small black entranceway.",0.7607457
102,"Air pockets in snow insulate the space, and body heat warms it.",0.9182591
103,All of the boys on the trip were new to rock climbing.,0.8325369
104,"American ice cream is exported around the world, but different countries have different preferences.",0.61660546
105,An accordion is a portable musical instrument with two keyboards.,0.3848778
106,An accordionist plays both keyboards while opening and closing the bellows.,0.9755979
107,An adult male behaving immaturely is often referred to as a boy.,0.89977264
108,An apartment is a self-contained home that is part of a building.,0.87731934
109,"An apple is a fruit that can be green, red or yellow.",-0.12833677
110,An artist's eye is not a camera lens that has to record everything within its field of vision.,1.3412415
111,"An automobile, or car, is a wheeled vehicle for transporting passengers.",0.66491354
112,An earthquake at sea can displace the seabed and cause a tsunami.,0.51906466
113,"An elephant has a long nose called a trunk, which can grab things or food.",0.68115896
114,An igloo is a type of shelter made from blocks of snow by Inuit.,0.74970424
115,"And for society, hip fractures involve substantial expense and time in the hospital.",0.7969832
116,"Another type of bed is the hammock, a fabric sling suspended above the ground.",0.5770141
117,"Apples can be eaten raw, roasted or baked in pies.",0.49288526
118,"Apples have thin skin, a crisp, sweet pulp and seeds inside.",0.48364556
119,Architects are still working to solve the mysteries of how pyramids were constructed.,0.31765556
120,Arson can be done to cause damage to others or collect insurance.,0.815151
121,Arson is the criminal act of burning a building or wildland.,0.52528185
122,"Artisanal beekeepers go to extremes for their craft, but their product is worth the effort.",0.89660555
123,Artisanal honey-making emphasizes quality and character over quantity and consistency.,0.9602041
124,"As a painter, I learned to focus less on the actual scene and more on the painting itself.",0.7930649
125,"As a passive form of agriculture, it does not require that native vegetation be cleared to make way for crops.",0.80856085
126,"As part of the film crew for a polar bear documentary, I spent months capturing these shots.",1.1361848
127,"As the beekeeper opens the hive, the deep hum of 40,000 bees fills the air.",0.6921223
128,"As the field of computer graphics broadens, we must ask if graphics actually help students.",1.1158699
129,Assault rifles can fire in bursts and are the standard infantry weapon.,0.94478416
130,Astronauts practice to be able to perform construction and repair work on the outside of the space station.,0.6225837
131,Astronauts train a long time for their spacewalks.,0.2563156
132,At puberty the body of a girl develops into that of a woman.,0.6107694
133,"At the doctor's office afterward, the x-ray clearly showed the fracture.",0.8861587
134,"Automobiles vary in size, number of doors and the type of trunk.",0.6467124
135,Axes are used by woodcutters and firemen entering buildings.,0.7886631
136,Band-aids can increase the risk of infection by holding in heat and moisture.,0.7105704
137,"Beekeepers also discourage the use of pesticides on crops, because they could kill the honeybees.",0.42336428
138,Beekeeping encourages the conservation of local habitats.,0.43585232
139,Bees are social insects and live together in a colony located in a hive.,0.6365919
140,"Bees crawl across his bare arms and hands, but they don't sting, because they're gentle.",1.1685133
141,Bees spread pollen between flowers as they collect nectar to make honey.,0.3102055
142,Black tie trousers should be a perfect match to the tuxedo jacket.,0.738322
143,Blacksmiths wears a thick apron and handle the metal with tongs.,0.64456105
144,Blenders are used to make milk shakes and fruit smoothies.,0.28599894
145,Brand new conferences have sprung up that are devoted to bridging the two cultures.,0.681408
146,"Broccoli can be boiled, stir-fried or eaten raw.",0.40515918
147,Broccoli is a plant in the cabbage family.,-0.053937275
148,"Broccoli is high in vitamins, fiber and other nutrients.",0.30350572
149,But faster and tighter turns increase the twisting force on the legs.,0.7584896
150,"But her pure, strong voice is certainly the star of the show.",0.71501154
151,"By establishing the parameters of legal blindness, resources can be focused on the legally blind.",1.004969
152,"Carpenters build and repair houses, furniture, boats and other objects.",0.11922106
153,Cats are small furry animals with four legs and a tail.,-0.16771625
154,Cats like to groom themselves by licking their fur.,-0.10368237
155,"Chairs can also have back and arm rests, as well as a cushion.",0.33660385
156,"Chairs consist of a seat raised above floor level, supported by legs.",0.29553002
157,"Clearly he had it tailored, as it fit the man perfectly.",0.7757735
158,Climbers who are learning the sport can try scrambling on large boulders.,0.48688957
159,"Cod flesh is white and mild-tasting, and flakes easily when cooked.",0.71548367
160,"Cod has been caught, salted and traded since the time of the Vikings.",0.96470577
161,Coffee contains a mild drug called caffeine that keeps people awake.,0.5696231
