model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,0,0.9545948505401611
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,1,0.8230742812156677
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,2,0.9680763483047485
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,3,0.9654911756515503
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,4,0.975754976272583
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,5,0.9760793447494507
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,6,0.762768030166626
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,7,0.9724181890487671
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,8,0.9815547466278076
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,9,0.9684734344482422
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,10,0.9760470986366272
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,11,0.98154616355896
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,12,0.8071447014808655
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,13,0.8157065510749817
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,14,0.7967357039451599
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,15,0.7857557535171509
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,16,0.9727423191070557
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,17,0.9762129783630371
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,18,0.7447656989097595
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,19,0.9719003438949585
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,20,0.9806371927261353
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,21,0.9767305254936218
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,22,0.9797016978263855
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,23,0.97627854347229
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,24,0.9811458587646484
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,25,0.9745631217956543
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,26,0.9795891046524048
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,27,0.9755635857582092
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,28,0.9788280725479126
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,29,0.9671262502670288
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,30,0.9561835527420044
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,31,0.9709756970405579
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,32,0.9670008420944214
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,33,0.9660613536834717
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,34,0.964820384979248
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,35,0.7923330068588257
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,36,0.966343104839325
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,37,0.9626693725585938
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,38,0.9719512462615967
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,39,0.9660207629203796
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,40,0.829924464225769
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,41,0.9767457246780396
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,42,0.8327937126159668
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,43,0.9788472652435303
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,44,0.977931559085846
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,45,0.9791309833526611
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,46,0.9818681478500366
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,47,0.9785894751548767
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,48,0.9651346206665039
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,49,0.814806342124939
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,50,0.7852750420570374
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,51,0.9845479130744934
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,52,0.9735212922096252
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,53,0.8189296126365662
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,54,0.9785357117652893
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,55,0.9805052280426025
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,56,0.9795659780502319
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,57,0.8294304013252258
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,58,0.8214718103408813
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,59,0.9781196117401123
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,60,0.9809989333152771
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,61,0.9717947244644165
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,62,0.945076584815979
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,63,0.9612879157066345
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,64,0.967981219291687
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,65,0.7797098755836487
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,66,0.964175820350647
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,67,0.9771074056625366
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,68,0.9781780242919922
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,69,0.7797120809555054
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,70,0.9809478521347046
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,71,0.9805159568786621
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,72,0.9817330837249756
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,73,0.9555338621139526
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,74,0.9806180000305176
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,75,0.969463586807251
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,76,0.7610934972763062
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,77,0.9811263680458069
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,78,0.8435267806053162
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,79,0.9520530104637146
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,80,0.9808823466300964
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,81,0.7999919652938843
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,82,0.9558964967727661
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,83,0.8022862076759338
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,84,0.9784320592880249
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,85,0.9672459363937378
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,86,0.9745560884475708
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,87,0.7725540995597839
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,88,0.9789950251579285
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,89,0.9340612292289734
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,90,0.9422643184661865
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,91,0.9633867144584656
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,92,0.7361041903495789
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,93,0.7834446430206299
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,94,0.9606420993804932
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,95,0.9801042079925537
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,96,0.9611028432846069
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,97,0.9809231758117676
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,98,0.8182418346405029
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,99,0.9840388298034668
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,100,0.966710090637207
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,101,0.8281002044677734
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,102,0.8060736656188965
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,103,0.9593284726142883
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,104,0.9596421718597412
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,105,0.9769778251647949
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,106,0.9791455864906311
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,107,0.7707356810569763
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,108,0.9797301292419434
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,109,0.975422739982605
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,110,0.9824851751327515
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,111,0.9734845757484436
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,112,0.9631893634796143
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,113,0.9635908007621765
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,114,0.9699070453643799
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,115,0.9766978025436401
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,116,0.9316672086715698
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,117,0.9759453535079956
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,118,0.979401707649231
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,119,0.9840264320373535
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,120,0.9643068313598633
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,121,0.9457168579101562
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,122,0.9644771814346313
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,123,0.792354941368103
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,124,0.9766225218772888
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,125,0.9664015173912048
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,126,0.9652966260910034
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,127,0.7830975651741028
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,128,0.965671718120575
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,129,0.9781315922737122
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,130,0.9779090285301208
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,131,0.9391677379608154
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,132,0.9672466516494751
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,133,0.9522201418876648
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,134,0.969045877456665
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,135,0.9712713360786438
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,136,0.9696387052536011
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,137,0.9640855193138123
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,138,0.8339712619781494
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,139,0.9687951803207397
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,140,0.9772769212722778
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,141,0.9711626768112183
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,142,0.9690507650375366
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,143,0.9587555527687073
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,144,0.7800455093383789
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,145,0.975346565246582
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,146,0.971450924873352
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,147,0.8288217782974243
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,148,0.9769186973571777
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,149,0.9803615808486938
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,150,0.9716745615005493
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,151,0.7557432055473328
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,152,0.9738089442253113
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,153,0.9767475128173828
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,154,0.7870601415634155
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,155,0.9707579612731934
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,156,0.985132098197937
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,157,0.9766603708267212
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,158,0.8191370964050293
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,159,0.9766527414321899
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,160,0.9533535242080688
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,161,0.9713611602783203
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,162,0.9608117341995239
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,163,0.7949116230010986
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,164,0.9651508331298828
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,165,0.983431339263916
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,166,0.9782034158706665
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,167,0.9714975357055664
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,168,0.9741500616073608
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,169,0.9785251021385193
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,170,0.9750142097473145
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,171,0.844313383102417
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,172,0.9502142667770386
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,173,0.7826331257820129
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,174,0.979325532913208
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,175,0.9771169424057007
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,176,0.9569054245948792
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,177,0.8001080751419067
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,178,0.9473105072975159
nllb200_distilled_1B,facebook/nllb-200-distilled-1.3B,15,contentwords,179,0.945906400680542
