model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
mt5_large,google/mt5-large,17,contentwords,0,0.9927048087120056
mt5_large,google/mt5-large,17,contentwords,1,0.1768357753753662
mt5_large,google/mt5-large,17,contentwords,2,0.9869060516357422
mt5_large,google/mt5-large,17,contentwords,3,0.116391122341156
mt5_large,google/mt5-large,17,contentwords,4,0.1810230016708374
mt5_large,google/mt5-large,17,contentwords,5,0.9953160285949707
mt5_large,google/mt5-large,17,contentwords,6,0.08587175607681274
mt5_large,google/mt5-large,17,contentwords,7,0.9970329999923706
mt5_large,google/mt5-large,17,contentwords,8,0.9971688389778137
mt5_large,google/mt5-large,17,contentwords,9,0.992250919342041
mt5_large,google/mt5-large,17,contentwords,10,0.9954674243927002
mt5_large,google/mt5-large,17,contentwords,11,0.12194205075502396
mt5_large,google/mt5-large,17,contentwords,12,0.22673283517360687
mt5_large,google/mt5-large,17,contentwords,13,0.9932811260223389
mt5_large,google/mt5-large,17,contentwords,14,0.11800270527601242
mt5_large,google/mt5-large,17,contentwords,15,0.9968525171279907
mt5_large,google/mt5-large,17,contentwords,16,0.9962654113769531
mt5_large,google/mt5-large,17,contentwords,17,0.9947372078895569
mt5_large,google/mt5-large,17,contentwords,18,0.04962383955717087
mt5_large,google/mt5-large,17,contentwords,19,0.11959591507911682
mt5_large,google/mt5-large,17,contentwords,20,0.11116867512464523
mt5_large,google/mt5-large,17,contentwords,21,0.9956504106521606
mt5_large,google/mt5-large,17,contentwords,22,0.9915649890899658
mt5_large,google/mt5-large,17,contentwords,23,0.9972034692764282
mt5_large,google/mt5-large,17,contentwords,24,0.1915983110666275
mt5_large,google/mt5-large,17,contentwords,25,0.9965832829475403
mt5_large,google/mt5-large,17,contentwords,26,0.9809391498565674
mt5_large,google/mt5-large,17,contentwords,27,0.987138032913208
mt5_large,google/mt5-large,17,contentwords,28,0.1356639713048935
mt5_large,google/mt5-large,17,contentwords,29,0.9969120621681213
mt5_large,google/mt5-large,17,contentwords,30,0.09634922444820404
mt5_large,google/mt5-large,17,contentwords,31,0.9955795407295227
mt5_large,google/mt5-large,17,contentwords,32,0.2562786340713501
mt5_large,google/mt5-large,17,contentwords,33,0.9975617527961731
mt5_large,google/mt5-large,17,contentwords,34,0.9905624389648438
mt5_large,google/mt5-large,17,contentwords,35,0.9976304769515991
mt5_large,google/mt5-large,17,contentwords,36,0.9879156947135925
mt5_large,google/mt5-large,17,contentwords,37,0.987932026386261
mt5_large,google/mt5-large,17,contentwords,38,0.9945598840713501
mt5_large,google/mt5-large,17,contentwords,39,0.19302964210510254
mt5_large,google/mt5-large,17,contentwords,40,0.16175217926502228
mt5_large,google/mt5-large,17,contentwords,41,0.9943156838417053
mt5_large,google/mt5-large,17,contentwords,42,0.9952930212020874
mt5_large,google/mt5-large,17,contentwords,43,0.99349045753479
mt5_large,google/mt5-large,17,contentwords,44,0.9936284422874451
mt5_large,google/mt5-large,17,contentwords,45,0.9882298707962036
mt5_large,google/mt5-large,17,contentwords,46,0.9958828687667847
mt5_large,google/mt5-large,17,contentwords,47,0.28744837641716003
mt5_large,google/mt5-large,17,contentwords,48,0.9938445091247559
mt5_large,google/mt5-large,17,contentwords,49,0.146287202835083
mt5_large,google/mt5-large,17,contentwords,50,0.9942101240158081
mt5_large,google/mt5-large,17,contentwords,51,0.9975675344467163
mt5_large,google/mt5-large,17,contentwords,52,0.9960453510284424
mt5_large,google/mt5-large,17,contentwords,53,0.9881021976470947
mt5_large,google/mt5-large,17,contentwords,54,0.994666337966919
mt5_large,google/mt5-large,17,contentwords,55,0.22105813026428223
mt5_large,google/mt5-large,17,contentwords,56,0.99629807472229
mt5_large,google/mt5-large,17,contentwords,57,0.9806472659111023
mt5_large,google/mt5-large,17,contentwords,58,0.2467271238565445
mt5_large,google/mt5-large,17,contentwords,59,0.9852839708328247
