text,start,end
Prie,0.0,0.54
įėjimo,0.54,1.0
į,1.0,1.22
sodą,1.22,1.62
auko,1.62,2.0
didelis,2.0,2.46
rožių,2.46,2.9
krūmas.,2.9,3.4
Rožia,3.9,4.28
žydėjo,4.28,4.7
"baltai,",4.7,5.2
bet,5.34,5.82
prie,5.82,6.06
jų,6.06,6.2
stovėjo,6.2,6.62
tris,6.62,6.88
sodininkai,6.88,7.54
ir,7.54,7.74
paskuvomis,7.74,8.48
dažė,8.48,8.9
žiedus,8.9,9.34
raudonai.,9.34,9.86
Kalis,10.22,10.52
aitetai,10.52,10.92
pasirodė,10.92,11.36
labai,11.36,11.62
"keista,",11.62,12.06
į,12.5,12.62
priejo,12.62,13.06
arčiau,13.06,13.48
pasižiūrėti,13.48,14.28
ir,14.28,14.86
prisiartinusi,14.86,15.64
"išgirdo,",15.64,16.22
kai,16.28,16.38
vienas,16.38,16.76
sodininkas,16.76,17.38
starė.,17.38,17.76
–,18.06,18.3
"Klausyk,",18.3,18.68
"penkiakė,",18.76,19.42
ne,19.8,20.1
taškik,20.1,20.56
taip,20.56,20.78
baisiant,20.78,21.28
manęs.,21.28,21.8
–,22.52,22.66
Nieko,22.66,22.88
"nepadarysi,",22.88,23.52
"brolau,",23.62,24.06
–,24.22,24.5
atsakė,24.5,24.8
penkiakė,24.8,25.38
spiktai.,25.38,25.82
–,26.32,26.38
Ketinakis,26.38,26.96
man,26.96,27.26
sukrutino,27.26,27.76
ranką.,27.76,28.26
Ketinakis,29.26,29.9
dėptelėjas,29.9,30.56
starė.,30.56,31.0
–,31.34,31.58
"Teisingai,",31.58,32.06
"penkiakė,",32.14,32.7
visuomet,32.82,33.28
vers,33.28,33.64
kalta,33.64,34.02
kitam.,34.02,34.54
–,34.6,35.32
Geriau,35.32,35.52
"patilėtum,",35.52,36.22
–,36.64,36.66
starė,36.66,36.9
penkiakės.,36.9,37.66
–,38.04,38.14
"Girdėjau,",38.14,38.62
kaip,38.72,38.86
dar,38.86,39.0
vakar,39.0,39.3
karalienė,39.3,39.78
"kalbėjo,",39.78,40.28
kad,40.62,40.84
tau,40.84,41.04
reiktų,41.04,41.32
nukirsti,41.32,41.76
galvą.,41.76,42.26
–,43.1,43.14
Už,43.14,43.34
ko?,43.34,43.58
–,44.38,44.44
paklausė,44.44,44.92
"tas,",44.92,45.22
kuris,45.4,46.1
pradėjo,46.1,46.5
kalbėti,46.5,46.92
pirmas.,46.92,47.44
–,47.6,47.92
Ne,47.92,48.08
tavo,48.08,48.32
reikalas,48.32,48.92
"žinoti,",48.92,49.4
"dveki,",49.62,50.1
–,50.26,50.84
atkirto,50.84,51.28
septinakis.,51.28,52.08
–,52.54,52.64
Ką,52.64,52.94
"tu,",52.94,53.06
kaip,53.42,53.62
tik,53.62,53.82
jo,53.82,53.98
reikalas?,53.98,54.62
–,54.78,55.0
starė,55.0,55.24
penkiakis.,55.24,55.98
–,56.44,56.58
Aš,56.58,56.8
jiem,56.8,56.98
net,56.98,57.16
