text,start,end
Bahçeye,0.0,1.0
girilen,1.0,1.44
yerde,1.44,1.78
büyük,1.78,2.12
bir,2.12,2.34
gül,2.34,2.56
ağacı,2.56,2.9
vardı.,2.9,3.3
Gülleri,3.76,4.22
beyazdı.,4.22,4.8
Fakat,5.22,5.72
üç,5.72,5.98
bahçıvan,5.98,6.56
harıl,6.56,6.96
harıl,6.96,7.14
onları,7.14,7.46
kırmızıya,7.46,8.0
boyuyorlardı.,8.0,8.66
"Alice,",9.24,9.74
amma,10.36,10.76
da,10.76,10.92
tuhaf,10.92,11.26
şey,11.26,11.54
diye,11.54,12.22
düşündü.,12.22,12.78
Daha,13.32,13.58
iyi,13.58,13.82
seyretmek,13.82,14.36
için,14.36,14.52
bahçıvanlara,14.52,15.16
yaklaştı.,15.16,15.74
O,16.04,16.36
sırada,16.36,16.64
birinin,16.64,17.02
şöyle,17.02,17.36
dediğini,17.36,17.82
duydu.,17.82,18.2
Bana,19.12,19.38
baksana,19.38,19.78
"beşli,",19.78,20.24
üstüme,20.74,21.18
boya,21.18,21.4
sıçratıp,21.4,21.84
durma.,21.84,22.22
Beşli,23.58,24.04
ters,24.04,24.36
"ters,",24.36,24.78
ne,25.18,25.56
yapayım,25.56,26.1
dedi.,26.1,26.52
Yedili,27.04,27.42
dirseğime,27.42,28.0
çarptı.,28.0,28.56
Bunun,29.74,30.0
üzerine,30.0,30.48
yedili,30.48,30.82
başını,30.82,31.14
kaldırdı.,31.14,31.78
Güzel,32.6,33.06
"beşli,",33.06,33.6
suçu,34.02,34.34
hep,34.34,34.56
başkalarının,34.56,35.18
üstüne,35.18,35.46
at,35.46,35.62
bakalım.,35.62,35.92
"Beşli,",37.2,37.72
sen,38.18,38.76
çeneni,38.76,39.12
tutsan,39.12,39.48
daha,39.48,39.68
iyi,39.68,39.9
edersin,39.9,40.52
dedi.,40.52,41.12
Kafanın,41.92,42.34
kesilmesini,42.34,43.02
hak,43.02,43.24
ettiğini,43.24,43.88
kraliçe,43.88,44.5
daha,44.5,44.7
dün,44.7,44.96
söyledi.,44.96,45.52
Kulağımla,45.7,46.26
işittim.,46.26,46.74
İlk,48.08,48.4
konuşan,48.4,48.82
"bahçıvan,",48.82,49.42
niçin,49.98,50.5
diye,50.5,50.8
sordu.,50.8,51.26
"Yedili,",51.98,52.52
bu,53.34,53.7
seni,53.7,53.92
ilgilendirmez,53.92,54.76
ikili,54.76,55.16
dedi.,55.16,55.94
"Beşli,",56.0,57.46
pek,58.08,58.46
hala,58.46,58.78
da,58.78,59.0
ilgilendirir,59.0,60.28
diye,60.28,60.76
yanıtladı.,60.76,61.3
Onu,62.08,62.32
anlatayım,62.32,62.84
da,62.84,63.0
gör.,63.0,63.3
Aşçıya,63.9,64.44
bayağı,64.44,65.86
soğan,65.86,66.24
yerine,66.24,66.72
lale,66.72,67.42
soğanı,67.42,67.86
getirmiş,67.86,68.4
de,68.4,68.56
ondan.,68.56,68.84
Yedili,69.8,70.24
fırçasını,70.24,70.76
yere,70.76,70.98
atıp,70.98,71.4
"tam,",71.4,71.7
bu,72.46,72.62
kadar,72.62,73.0
da,73.0,73.16
insafsızlık,73.16,74.08
diye,74.08,74.52
söze,74.52,74.9
başlayacakken,74.9,75.86
onları,75.86,76.66
gözetleyip,76.66,77.32
duran,77.32,77.58
Alice'i,77.58,78.02
fark,78.02,78.26
etti.,78.26,78.54
Hemen,78.92,79.28
kendini,79.28,79.8
"tuttu,",79.8,80.26
ötekiler,80.44,80.94
de,80.94,81.08
dönüp,81.08,81.36
baktılar.,81.36,81.9
Sonra,82.4,82.7
yerlere,82.7,83.24
kadar,83.24,83.52
eğilerek,83.52,84.02
selam,84.02,84.42
verdiler.,84.42,84.88
Alice,85.9,86.3
biraz,86.3,86.58
"çekinerek,",86.58,87.38
neden,88.0,88.54
bu,88.54,88.86
gülleri,88.86,89.28
kırmızıya,89.28,89.86
"boyuyorsunuz,",89.86,90.64
söyler,90.82,91.14
misiniz,91.14,91.64
dedi.,91.64,92.36
Beşli,93.16,93.82
ile,93.82,93.98
Yedili,93.98,94.32
bir,94.32,94.54
şey,94.54,94.72
söylemeden,94.72,95.22
ikiliye,95.22,95.62
baktılar.,95.62,96.06
İkili,96.58,96.84
alçak,96.84,97.26
sesle,97.26,97.64
söze,97.64,97.9
başladı.,97.9,98.3
"Efendim,",99.22,99.8
işin,100.12,100.54
doğrusu,100.54,101.2
bu,101.2,101.46
ağacın,101.46,101.9
kırmızı,101.9,102.38
gül,102.38,102.54
ağacı,102.54,102.84
olması,102.84,103.12
gerekirdi.,103.12,103.74
Biz,104.14,104.44
yanlışlıkla,104.44,105.1
beyaz,105.1,105.5
dikmişiz.,105.5,106.08
Kraliçe,106.54,107.08
işi,107.08,107.28
anlayacak,107.28,107.86
olursa,107.86,108.28
hepimizin,108.28,108.68
kafası,108.68,109.0
gider.,109.0,109.26
İşte,110.0,110.18
onun,110.18,110.46
için,110.46,110.64
"efendim,",110.64,111.2
biz,111.58,111.76
de,111.76,111.88
elimizden,111.88,112.4
