sentence_idx,original,condition,variant_idx,variant_text,final_passes,regen_attempts,failed_criteria,note,needs_manual_review
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",paraphrase,1,"Long curved edibles cluster on stems, their tender cores safe to swallow.",True,0,,,False
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",paraphrase,2,What hangs in bundles and hides a creamy flesh is a lengthy tropical fruit.,True,0,,,False
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",paraphrase,3,"It’s a stretched yellow treat, ripening in groups, whose inner pulp is tender enough to eat.",True,0,,,False
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",paraphrase,4,There exists a soft-cored cylinder that sprouts in hands and is devoured raw.,True,0,,,False
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",paraphrase,5,"Growing in tiers, the elongated produce carries a mushy interior fit for consumption.",True,0,,,False
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",paraphrase,6,"A sweet cylinder, borne in clusters, reveals an inner softness people chew.",True,0,,,False
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",paraphrase,7,"In bunches, lengthy yellow pods mature, each enclosing a delicate edible heart.",True,0,,,False
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",paraphrase,8,The plant yields grouped crescents whose creamy middles are safely eaten.,True,0,,,False
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",paraphrase,9,"What the herbaceous stalk offers are slim fruits, huddled together, with mushy flesh inside.",True,0,,,False
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",paraphrase,10,Consumable softness fills the interior of long fruits that arise in hanging sets.,True,0,,,False
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",syntactic,1,"A pencil is a thin tool that writes in lines, with a dark graphite core.",,0,response_missing,No eval returned by model,True
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",syntactic,2,"A violin is a curved instrument that plays in orchestras, with a smooth wooden body.",,0,response_missing,No eval returned by model,True
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",syntactic,3,"A comet is a bright object that travels in space, with a glowing icy tail.",,0,response_missing,No eval returned by model,True
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",syntactic,4,"A novel is a thick book that sits in libraries, with a complex fictional plot.",,0,response_missing,No eval returned by model,True
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",syntactic,5,"A tulip is a tall flower that blooms in gardens, with a colorful delicate petal.",,0,response_missing,No eval returned by model,True
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",syntactic,6,"A rocket is a sleek vehicle that launches in stages, with a powerful fiery engine.",,0,response_missing,No eval returned by model,True
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",syntactic,7,"A scarf is a long garment that wraps in loops, with a warm woolen texture.",,0,response_missing,No eval returned by model,True
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",syntactic,8,"A castle is a grand structure that stands in fields, with a strong stone exterior.",,0,response_missing,No eval returned by model,True
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",syntactic,9,"A poem is a short piece that flows in verses, with a rich metaphorical meaning.",,0,response_missing,No eval returned by model,True
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.",syntactic,10,"A canoe is a narrow boat that glides in rivers, with a light wooden frame.",,0,response_missing,No eval returned by model,True
1,A bed is a piece of furniture used as a place to sleep or have sex in.,paraphrase,1,A cot functions as household equipment employed for slumber or intercourse.,True,0,,,False
1,A bed is a piece of furniture used as a place to sleep or have sex in.,paraphrase,2,"Slumber or intimacy is what a cot, a household item, is utilized for.",True,0,,,False
1,A bed is a piece of furniture used as a place to sleep or have sex in.,paraphrase,3,It is a cot that serves as domestic gear for dozing or coupling.,True,0,,,False
1,A bed is a piece of furniture used as a place to sleep or have sex in.,paraphrase,4,The utilization of a cot—a domestic article—is for napping or mating.,True,0,,,False
1,A bed is a piece of furniture used as a place to sleep or have sex in.,paraphrase,5,"There exists domestic apparatus, namely a cot, meant for sleeping or lovemaking.",True,0,,,False
1,A bed is a piece of furniture used as a place to sleep or have sex in.,paraphrase,6,"Dozing or lovemaking is done on a cot, an article of household gear.",True,0,,,False
1,A bed is a piece of furniture used as a place to sleep or have sex in.,paraphrase,7,"A cot, categorized as household furniture, is where people nap or copulate.",True,0,,,False
1,A bed is a piece of furniture used as a place to sleep or have sex in.,paraphrase,8,"What is used as a spot for snoozing or intimacy is a cot, a domestic furnishing.",True,0,,,False
1,A bed is a piece of furniture used as a place to sleep or have sex in.,paraphrase,9,"As a piece of household equipment, a cot provides a venue for slumber or sex.",True,0,,,False
1,A bed is a piece of furniture used as a place to sleep or have sex in.,paraphrase,10,"The cot, a home furnishing, acts as a location for sleeping or engaging in intercourse.",True,0,,,False
1,A bed is a piece of furniture used as a place to sleep or have sex in.,syntactic,1,A map is a sheet of paper used as a tool to navigate or draw routes on.,,0,response_missing,No eval returned by model,True
1,A bed is a piece of furniture used as a place to sleep or have sex in.,syntactic,2,A bowl is a round container used as a vessel to eat or serve soup from.,,0,response_missing,No eval returned by model,True
1,A bed is a piece of furniture used as a place to sleep or have sex in.,syntactic,3,A phone is a small device used as a means to talk or send messages with.,,0,response_missing,No eval returned by model,True
1,A bed is a piece of furniture used as a place to sleep or have sex in.,syntactic,4,A book is a stack of pages used as a source to learn or find facts in.,,0,response_missing,No eval returned by model,True
1,A bed is a piece of furniture used as a place to sleep or have sex in.,syntactic,5,A knife is a sharp tool used as an instrument to cut or chop food with.,,0,response_missing,No eval returned by model,True
1,A bed is a piece of furniture used as a place to sleep or have sex in.,syntactic,6,A lamp is a tall object used as a fixture to read or create light by.,,0,response_missing,No eval returned by model,True
1,A bed is a piece of furniture used as a place to sleep or have sex in.,syntactic,7,A coat is a thick garment used as a cover to stay warm or block wind with.,,0,response_missing,No eval returned by model,True
1,A bed is a piece of furniture used as a place to sleep or have sex in.,syntactic,8,A pen is a slim tool used as an item to write or sign documents with.,,0,response_missing,No eval returned by model,True
1,A bed is a piece of furniture used as a place to sleep or have sex in.,syntactic,9,A drum is a hollow instrument used as a medium to beat or create rhythm on.,,0,response_missing,No eval returned by model,True
1,A bed is a piece of furniture used as a place to sleep or have sex in.,syntactic,10,A net is a woven mesh used as a device to catch or trap fish in.,,0,response_missing,No eval returned by model,True
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",paraphrase,1,"A mattress and a box spring, together with sheets, pillows and covers, constitute a bed.",True,0,,,False
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",paraphrase,2,"Sheets, pillows and covers are added to a mattress and a box spring to form a bed.",True,0,,,False
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",paraphrase,3,"It is a mattress and a box spring, plus linens, cushions and blankets, that make up a bed.",True,0,,,False
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",paraphrase,4,"A bed is composed when a mattress and a box spring are joined by linens, cushions and blankets.",True,0,,,False
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",paraphrase,5,"There exists a bed whenever a mattress, a box spring, linens, cushions and blankets are assembled.",True,0,,,False
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",paraphrase,6,"Linens, cushions and blankets accompany a mattress and a box spring to create what is called a bed.",True,0,,,False
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",paraphrase,7,"What a mattress and a box spring become once linens, cushions and blankets are included is a bed.",True,0,,,False
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",paraphrase,8,"The assembly of a mattress, a box spring, linens, cushions and blankets results in a bed.",True,0,,,False
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",paraphrase,9,"A bed comes into being through the combination of a mattress, a box spring, linens, cushions and blankets.",True,0,,,False
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",paraphrase,10,"Made from a mattress and a box spring, a bed is completed by the addition of linens, cushions and blankets.",True,0,,,False
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",syntactic,1,"A cake is made of flour and a dozen eggs, plus sugar, butter and spices.",,0,response_missing,No eval returned by model,True
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",syntactic,2,"A boat is made of aluminum and a steel frame, plus rivets, cables and panels.",,0,response_missing,No eval returned by model,True
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",syntactic,3,"A song is made of verses and a catchy chorus, plus rhythm, melody and lyrics.",,0,response_missing,No eval returned by model,True
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",syntactic,4,"A dress is made of silk and a cotton lining, plus buttons, lace and ribbons.",,0,response_missing,No eval returned by model,True
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.",syntactic,5,"A novel is made of chapters and a prologue, plus dialogue, conflict and themes.",,0,response_missing,No eval returned by model,True
