text,start,end
첫,0.0,0.86
번째,0.86,1.14
증인을,1.14,1.6
불러라.,1.6,2.22
왕이,2.36,2.88
말했다.,2.88,3.3
흰,3.72,3.94
토끼가,3.94,4.36
나팔을,4.36,4.86
세,4.86,5.02
번,5.02,5.18
불고는,5.18,5.68
소리쳤다.,5.68,6.32
첫,6.7,6.96
번째,6.96,7.26
증인은,7.26,9.56
모자,9.56,9.86
장수였다.,9.86,10.58
모자,11.02,11.38
장수는,11.38,11.84
한,11.84,12.04
손엔,12.04,12.32
"찻잔을,",12.32,12.9
다른,13.2,13.4
손엔,13.4,13.76
버터,13.76,14.06
마른,14.06,14.4
빵을,14.4,14.74
든,14.74,14.92
채,14.92,15.1
법정으로,15.1,15.7
들어섰다.,15.7,16.36
모자,16.84,17.16
장수가,17.16,17.52
입을,17.52,17.92
열었다.,17.92,18.36
"용서하십시오,",18.8,19.72
폐하.,19.82,20.06
정가를,20.46,20.92
받았을,20.92,21.4
때,21.4,21.52
마침,21.52,21.9
차를,21.9,22.22
마시던,22.22,22.64
중이라,22.64,23.02
이것들을,23.02,23.6
들고,23.6,23.9
왔나이다.,23.9,24.48
왕이,25.06,25.5
물었다.,25.5,25.9
다,26.38,26.62
마시고,26.62,27.04
왔어야지.,27.04,27.76
차는,28.02,28.36
언제부터,28.36,28.86
마시기,28.86,29.3
시작했느냐?,29.3,29.98
왕이,30.34,30.7
물었다.,30.7,31.08
모자,31.66,32.04
장수가,32.04,32.4
사멀,32.4,32.82
토끼를,32.82,33.18
쳐다보았다.,33.18,33.94
사멀,34.38,34.74
토끼는,34.74,35.16
겨울,35.16,35.48
잠지와,35.48,35.98
함께,35.98,36.3
팔짱을,36.3,36.84
끼고,36.84,37.12
법정에,37.12,37.64
뒤따라,37.64,38.06
와있었다.,38.06,38.66
사멀,39.16,39.66
14일인,39.66,40.34
것,40.34,40.46
같습니다.,40.46,40.9
모자,41.44,41.82
장수가,41.82,42.16
대답했다.,42.16,42.76
"15일이야,",43.14,43.96
사멀,44.12,44.52
토끼가,44.52,44.88
말했다.,44.88,45.24
"16일이야,",46.04,46.96
겨울,47.14,47.4
잠지가,47.4,47.8
기록하라.,47.8,48.66
왕이,49.04,49.46
배심원들에게,49.46,50.3
일렀다.,50.3,50.86
배심원들은,51.18,51.9
각자의,51.9,52.48
석판에,52.48,53.06
날짜,53.06,53.42
세,53.42,53.6
개를,53.6,53.84
열심히,53.84,54.26
받아,54.26,54.6
적은,54.6,55.02
다음,55.02,55.28
날짜를,55.28,55.84
모두,55.84,56.14
더하더니,56.14,56.74
돈으로,56.74,57.2
환산했다.,57.2,57.8
모자를,58.44,58.86
벗어라.,58.86,59.42
왕이,59.76,60.18
모자,60.18,60.46
장수에게,60.46,60.94
말했다.,60.94,61.38
이건,61.94,62.18
제,62.18,62.42
모자가,62.42,62.78
아닙니다.,62.78,63.38
모자,63.82,64.12
장수가,64.12,64.48
말했다.,64.48,64.92
훔쳤구나?,65.28,65.92
왕이,66.46,66.8
소리치며,66.8,67.36
배심원들을,67.36,68.02
돌아보자.,68.02,68.64
배심원들은,69.1,69.74
즉시,69.74,70.24
그,70.24,70.44
사실을,70.44,70.9
기록했다.,70.9,71.42
파는,71.92,72.28
겁니다.,72.28,72.6
제,73.02,73.18
건,73.18,73.34
하나도,73.34,73.72
없어요.,73.72,74.16
전,74.58,74.76
모자,74.76,75.08
장수라구요.,75.08,75.74
모자,76.22,76.64
장수가,76.64,76.98
설명했다.,76.98,77.64
그,78.14,78.34
말에,78.34,78.68
여왕이,78.68,79.24
안경을,79.24,79.98
쓰고는,79.98,80.42
모자,80.42,80.76
장수를,80.76,81.12
"노려보았고,",81.12,81.92
모자,82.3,82.62
장수는,82.62,83.06
얼굴이,83.06,83.44
하얗게,83.44,83.9
질린,83.9,84.24
채,84.24,84.36
안절부절,84.36,85.02
못했다.,85.02,85.5
왕이,86.18,86.64
말했다.,86.64,87.0
증언하라.,87.38,88.04
긴장하지,88.24,88.8
말고.,88.8,89.14
안,89.54,89.7
그러면,89.7,89.96
이,89.96,90.22
자리에서,90.22,90.64
당장,90.64,91.16
사양시켜버리겠다.,91.16,92.2
하지만,93.0,93.42
이,93.42,93.68
말을,93.68,93.98
증인은,93.98,94.62
구슬리는,94.62,95.64
대는,95.64,95.94
전혀,95.94,96.2
도움이,96.2,96.58
안,96.58,96.82
되는,96.82,97.06
듯,97.06,97.34
했다.,97.34,97.76
모자,98.0,98.52
장수는,98.52,99.0
발을,99.0,99.34
동동,99.34,99.7
구리며,99.7,100.22
브란스대,100.22,100.82
여왕의,100.82,101.28
눈치를,101.28,101.7
"살폈고,",101.7,102.3
너무,102.76,102.98
당황한,102.98,103.5
나머지,103.5,103.92
빵을,103.92,104.26
먹는다는,104.26,104.84
것이,104.84,105.22
그만,105.22,105.96
찻잔에,105.96,106.5
한,106.5,106.72
입,106.72,106.88
가득,106.88,107.22
베어,107.22,107.48
물고,107.48,107.8
말았다.,107.8,108.28
그때,109.72,110.04
앨리스는,110.04,110.62
아주,110.62,110.88
묘한,110.88,111.24
기분에,111.24,111.72
빠져,111.72,112.0
어리둥절해하고,112.0,112.96
"있었는데,",112.96,113.58
곧,114.04,114.26
그,114.26,114.5
이유를,114.5,114.88
알아차렸다.,114.88,115.78
앨리스의,116.26,116.84
몸이,116.84,117.16
다시,117.16,117.4
커지고,117.4,117.84
있었던,117.84,118.26
것이다.,118.26,118.7
앨리스는,119.3,119.84
처음에,119.84,120.28
자리에서,120.28,120.78
일어나,120.78,121.12
법정을,121.12,121.62
나가야겠다고,121.62,122.46
생각했다.,122.46,123.14
그러나,123.66,124.02
생각을,124.02,124.42
고쳐먹고는,124.42,125.3
순간이,125.3,125.88
남아있는,125.88,126.38
한,126.38,126.64
자리를,126.64,127.1
그대로,127.1,127.5
지키기로,127.5,128.1
결심했다.,128.1,128.7
그만,129.54,129.86
좀,129.86,130.1
밀어.,130.1,130.42
숨을,130.52,130.78
쉴,130.78,130.96
수가,130.96,131.18
없잖아.,131.18,131.74
옆자리에,132.24,132.78
