text,start,end
Большой,0.0,0.46
розовый,0.46,0.94
куст,0.94,1.36
рос,1.36,1.82
у,1.82,2.04
самого,2.04,2.38
входа,2.38,2.96
в,2.96,3.06
сад.,3.06,3.4
На,4.04,4.24
нем,4.24,4.44
распустились,4.44,5.2
белые,5.2,5.58
розы.,5.58,6.14
Внутри,6.48,6.82
садовника,6.82,7.44
торопливо,7.44,8.0
перекрашивали,8.0,8.86
их,8.86,9.0
в,9.0,9.1
красный,9.1,9.47
цвет.,9.47,9.9
Алисе,10.6,11.1
это,11.1,11.28
показалось,11.28,11.84
"странным,",11.84,12.44
и,12.68,12.82
она,12.82,13.0
подошла,13.0,13.56
поближе.,13.56,14.16
—,14.9,15.02
Будь,15.02,15.2
"осторожнее,",15.2,15.88
"Пятерка,",15.94,16.42
—,16.7,16.76
сказал,16.76,17.1
один,17.1,17.36
садовник.,17.36,17.92
—,18.2,18.3
Ты,18.3,18.42
меня,18.42,18.62
всего,18.62,18.96
забрызгал.,18.96,19.74
—,19.74,20.62
Я,20.62,20.82
не,20.82,20.98
"виноват,",20.98,21.5
"Двойка,",21.56,21.98
—,22.38,22.44
мрачно,22.44,22.82
ответил,22.82,23.16
Пятерка.,23.16,23.68
—,24.1,24.22
Семерка,24.22,24.72
толкает,24.72,25.26
меня,25.26,25.5
под,25.5,25.76
локоть.,25.76,26.22
—,27.06,27.1
"Правильно,",27.1,27.74
—,27.9,28.0
"сказал,",28.0,28.38
подняв,28.5,28.86
голову,28.86,29.24
"Семерка,",29.24,29.76
—,29.94,30.06
всегда,30.06,30.46
все,30.5,30.74
сваливай,30.74,31.3
на,31.3,31.46
других.,31.46,31.8
—,32.56,32.68
Уж,32.68,32.94
лучше,32.94,33.22
б,33.22,33.36
ты,33.36,33.48
"помолчал,",33.48,34.22
—,34.28,34.34
воскликнул,34.34,34.8
Пятерка.,34.8,35.34
—,35.74,35.82
Я,35.82,35.94
"слышал,",35.94,36.5
как,36.58,36.68
Королева,36.68,37.2
"говорила,",37.2,37.7
что,37.8,37.92
тебе,37.92,38.14
давно,38.14,38.56
пора,38.66,39.0
отрубить,39.0,39.44
голову.,39.44,39.96
—,40.62,40.68
А,40.68,40.88
за,40.88,41.08
что?,41.08,41.42
—,41.72,41.9
спросил,41.9,42.26
Двойка.,42.26,42.72
—,43.2,43.3
Это,43.3,43.5
не,43.5,43.68
твое,43.68,44.0
"дело,",44.0,44.34
—,44.52,44.58
ответил,44.58,44.98
Семерка.,44.98,45.52
—,45.9,46.04
"Нет,",46.04,46.42
это,46.7,46.96
его,46.96,47.24
"дело,",47.24,47.64
—,47.8,47.88
возразил,47.88,48.34
Пятерка.,48.34,48.9
—,49.24,49.32
И,49.32,49.44
я,49.44,49.6
"скажу,",49.6,50.16
за,50.24,50.36
что.,50.36,50.64
За,51.06,51.28
"то,",51.28,51.62
что,51.76,51.92
он,51.92,52.08
принес,52.08,52.48
повару,52.48,53.18
луковице,53.18,54.06
тюльпанов,54.06,54.76
вместо,54.76,55.4
лука.,55.4,55.78
Семерка,57.78,58.42
бросил,58.42,58.84
кисть.,58.84,59.22
—,59.96,60.08
Такой,60.08,60.42
"несправедливости,",60.42,61.52
—,61.6,61.62
начал,61.62,61.84
"он,",61.84,62.06
но,62.36,62.54
вдруг,62.54,62.78
"замолчал,",62.78,63.36
увидев,63.36,63.76
Алису.,63.76,64.26
Его,64.9,65.16
приятели,65.16,65.84
оглянулись,65.84,66.54
и,66.54,66.76
тоже,66.76,67.06
увидели,67.06,67.58
девочку.,67.58,68.12
Все,68.56,68.84
трое,68.84,69.28
низко,69.28,69.82
поклонились.,69.82,70.56
—,71.3,71.36
"Скажите,",71.36,71.96
"пожалуйста,",72.08,72.82
—,73.1,73.24
робко,73.24,73.58
спросила,73.58,74.08
"Алиса,",74.08,74.56
—,74.98,75.1
зачем,75.1,75.5
вы,75.5,75.8
красите,75.8,76.34
эти,76.34,76.62
розы?,76.62,77.16
Пятерка,77.74,78.38
