sentence_idx,original_sentence,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
0,"A banana is a long fruit that grows in bunchs, with a soft edible inside.","A pencil is a thin tool that writes in lines, with a dark graphite core.","A violin is a curved instrument that plays in orchestras, with a smooth wooden body.","A comet is a bright object that travels in space, with a glowing icy tail.","A novel is a thick book that sits in libraries, with a complex fictional plot.","A tulip is a tall flower that blooms in gardens, with a colorful delicate petal.","A rocket is a sleek vehicle that launches in stages, with a powerful fiery engine.","A scarf is a long garment that wraps in loops, with a warm woolen texture.","A castle is a grand structure that stands in fields, with a strong stone exterior.","A poem is a short piece that flows in verses, with a rich metaphorical meaning.","A canoe is a narrow boat that glides in rivers, with a light wooden frame."
1,A bed is a piece of furniture used as a place to sleep or have sex in.,A map is a sheet of paper used as a tool to navigate or draw routes on.,A bowl is a round container used as a vessel to eat or serve soup from.,A phone is a small device used as a means to talk or send messages with.,A book is a stack of pages used as a source to learn or find facts in.,A knife is a sharp tool used as an instrument to cut or chop food with.,A lamp is a tall object used as a fixture to read or create light by.,A coat is a thick garment used as a cover to stay warm or block wind with.,A pen is a slim tool used as an item to write or sign documents with.,A drum is a hollow instrument used as a medium to beat or create rhythm on.,A net is a woven mesh used as a device to catch or trap fish in.
2,"A bed is made of a mattress and a box spring, plus sheets, pillows and covers.","A cake is made of flour and a dozen eggs, plus sugar, butter and spices.","A boat is made of aluminum and a steel frame, plus rivets, cables and panels.","A song is made of verses and a catchy chorus, plus rhythm, melody and lyrics.","A dress is made of silk and a cotton lining, plus buttons, lace and ribbons.","A novel is made of chapters and a prologue, plus dialogue, conflict and themes.","A garden is made of soil and a wooden fence, plus seeds, tools and hoses.","A movie is made of scenes and a final act, plus music, lighting and effects.","A pizza is made of dough and a tomato base, plus cheese, herbs and toppings.","A speech is made of facts and a personal story, plus humor, pauses and gestures.","A house is made of bricks and a concrete slab, plus nails, beams and tiles."
3,"A bee is a flying insect, with a black and yellow body and six legs.","A fox is a cunning mammal, with a red and white coat and four paws.","A crab is a shelled creature, with a hard and spiny shell and ten limbs.","A hawk is a predatory bird, with a sharp and curved beak and two talons.","A frog is a jumping amphibian, with a green and moist skin and four feet.","A shark is a swimming predator, with a gray and sleek body and five fins.","A moth is a nocturnal insect, with a brown and fuzzy body and four wings.","A swan is a graceful bird, with a white and elegant neck and two legs.","A snail is a slow mollusk, with a soft and slimy body and two tentacles.","A deer is a swift herbivore, with a tan and furry coat and four hooves.","A bat is a flying mammal, with a dark and leathery wing and two claws."
4,A bicycle is a vehicle with two wheels and pedals on a frame.,A violin is an instrument with four strings and bow on a body.,A laptop is a device with one screen and keys on a base.,A muffin is a pastry with small chips and nuts on a top.,A novel is a story with many chapters and clues on a page.,A kettle is a vessel with one spout and lid on a stove.,A tulip is a bloom with bright petals and stem on a stalk.,A tractor is a machine with large tires and cab on a chassis.,A castle is a fortress with tall towers and flags on a hill.,A sweater is a garment with long sleeves and buttons on a front.,A lantern is a lamp with glass panes and handle on a stand.
5,A blacksmith creates objects by forging iron or steel.,A carpenter builds furniture by shaping oak or pine.,A chef prepares meals by grilling chicken or beef.,A painter produces images by mixing acrylic or watercolor.,A tailor sews garments by stitching silk or cotton.,A potter forms vessels by molding clay or porcelain.,A gardener grows plants by watering herbs or vegetables.,A baker makes loaves by kneading dough or batter.,A sculptor crafts statues by carving marble or granite.,A musician composes melodies by playing piano or guitar.,A writer drafts stories by typing prose or poetry.
6,A blender is a kitchen appliance used to mix ingredients or puree food.,A violin is a wooden instrument used to play melodies or accompany songs.,A tractor is a farming vehicle used to pull trailers or harvest crops.,A hammer is a metal tool used to drive nails or break stones.,A telescope is an optical device used to observe planets or study galaxies.,A notebook is a paper product used to record thoughts or sketch images.,A lantern is a portable light used to illuminate paths or signal danger.,A compass is a navigational instrument used to find directions or chart routes.,A helmet is a protective gear used to prevent injuries or absorb impacts.,A camera is an electronic gadget used to capture moments or film events.,A ladder is a climbing structure used to reach heights or access roofs.
7,A boy becomes a man after passing through puberty.,A seed becomes a flower after emerging from dormancy.,A larva becomes a butterfly after undergoing metamorphosis.,A novice becomes a master after completing the apprenticeship.,A caterpillar becomes a moth after escaping the cocoon.,A recruit becomes a soldier after surviving the training.,A pupil becomes a teacher after finishing the coursework.,A chick becomes a rooster after surviving the molting.,A sprout becomes a tree after enduring the seedling stage.,A cub becomes a lion after surviving the adolescence.,A student becomes a doctor after passing the residency.
8,A boy is a young male child who has not undergone puberty.,A rose is a fragrant garden plant which has not bloomed fully.,A car is a sleek metal vehicle that has not reached full speed.,A book is a thick printed volume that has not been opened yet.,A storm is a violent weather system that has not made landfall.,A cake is a sweet baked dessert that has not been frosted today.,A bird is a small feathered creature that has not learned to fly.,A film is a long digital feature that has not received final edits.,A ship is a massive steel vessel that has not left the harbor.,A song is a catchy melodic tune that has not hit the charts.,A house is a sturdy brick building that has not passed inspection.
9,A butterfly is a flying insect with four large wings.,A hammer is a striking tool with two metal heads.,A violin is a stringed instrument with four slender strings.,A canoe is a narrow vessel with two pointed ends.,A novel is a lengthy narrative with three major arcs.,A comet is a glowing object with one bright tail.,A tulip is a blooming plant with six vivid petals.,A tractor is a heavy machine with four rubber tires.,A sonnet is a rhythmic poem with fourteen strict lines.,A glacier is a massive formation with countless frozen layers.,A compass is a pointing device with one magnetic needle.
