sentence_idx,original,para_jaccard_all,synt_jaccard_all,para_jaccard_content,synt_jaccard_content
0,"""I think it's overblown,"" he said.",0.06822552447552448,0.18909090909090912,0.0,0.0
1,A bunny can be fluffy sometimes.,0.15710622710622713,0.5,0.095,0.2
2,A car drove down the road.,0.08942723942723943,0.2,0.0,0.0
3,"A childish notion, to be sure.",0.025757575757575757,0.35,0.04,0.02
4,A cigarette would taste particularly good.,0.23935064935064934,0.2,0.22099206349206346,0.11111111111111112
5,A creature both demon and beast.,0.12684981684981683,0.33333333333333337,0.09206349206349204,0.0
6,A fully substantiated and provable fact.,0.2022454751131222,0.2,0.1630952380952381,0.0
7,"A game of football, I suggest?",0.2607597957597958,0.35,0.19190476190476188,0.02
8,A gun fired into the air.,0.15019092019092017,0.33333333333333337,0.03333333333333333,0.0
9,A king must have an heir.,0.12455599955599954,0.30000000000000004,0.0667857142857143,0.17
10,A large band played folk tunes.,0.12026307026307023,0.09090909090909091,0.06333333333333332,0.0
11,A letter awaited her at Princeton.,0.39267676767676774,0.25333333333333335,0.27952380952380956,0.06666666666666667
12,"A little scary, but not surprising.",0.049042624042624036,0.4,0.0,0.08
13,A loud rumbling noise interrupted him.,0.11363469863469863,0.11272727272727275,0.0,0.0
14,A monkey with a bird's voice!,0.1083150183150183,0.2678571428571429,0.05,0.02
15,A must for all hosta collections.,0.1260568842921784,0.25333333333333335,0.17587662337662338,0.06666666666666667
16,A photo appears on the screen.,0.2741136477901184,0.21333333333333332,0.05428571428571429,0.0
17,A shower and clean clothes helped.,0.10646936396936398,0.2,0.0058823529411764705,0.0
18,A student intellectual turned leftist radical.,0.09585039960039961,0.13454545454545452,0.04444444444444444,0.04444444444444444
19,A tall man with sun-streaked hair.,0.14332334332334334,0.2,0.08472222222222223,0.0
20,"A test was necessary, she decided.",0.13962486043368394,0.24000000000000005,0.03666666666666667,0.0
21,A tree covered with red berries.,0.3316927516927517,0.2,0.35424603174603175,0.0
22,A vampire can full on cry?,0.09347527472527473,0.45999999999999996,0.01111111111111111,0.18
23,A voice came over his radio.,0.1990875790875791,0.10181818181818184,0.04523809523809523,0.0
24,A wooden table lay between them.,0.20413752913752914,0.095,0.06666666666666667,0.0
25,A work of art in itself.,0.14135586635586636,0.5,0.05333333333333333,0.0
26,AWA shall provide applicable training materials.,0.11138212664528455,0.00909090909090909,0.15103535353535352,0.00909090909090909
27,Across the street was a pub.,0.22967032967032966,0.2,0.08761904761904762,0.0
28,Addiction is not a pretty face.,0.17508158508158506,0.33333333333333337,0.11666666666666665,0.0
29,Adding this one to my list!,0.22339646464646465,0.06060606060606061,0.07916666666666668,0.02
30,Admin coordinators do primarily administrative work.,0.16118131868131866,0.045454545454545456,0.2217171717171717,0.05
31,Afraid of what she might do.,0.14467865467865468,0.24000000000000005,0.05,0.25
32,"After that, no others remained intact.",0.10362137862137862,0.13696969696969694,0.047619047619047616,0.016666666666666666
33,"After that, what do we do?",0.33191419691419694,0.6238095238095237,0.0,0.0
34,"Again, it's been nearly a week.",0.2451010101010101,0.05393939393939394,0.195,0.0
35,All sorts of treasure there too.,0.17631652661064426,0.12363636363636363,0.02909090909090909,0.016666666666666666
36,All the way to the rear!,0.22777777777777777,0.6666666666666667,0.08166666666666667,0.33333333333333337
37,Already inflation was destabilizing financial markets.,0.43065063591379377,0.20222222222222222,0.6023809523809524,0.1125
38,Amazing place to learn martial arts.,0.03484848484848485,0.09090909090909091,0.025,0.0
39,An escalating excitement hurried her words.,0.12012820512820514,0.00909090909090909,0.05555555555555556,0.0
40,And I've actually spoken with him.,0.1886963036963037,0.47125000000000006,0.11523809523809522,0.4133333333333333
41,And beautiful and smart and witty.,0.09794122544122544,0.14285714285714285,0.0125,0.0
42,And command doesn't first believe them.,0.13040750915750915,0.2,0.17646825396825397,0.125
43,And how do you get one?,0.15471472971472972,0.5,0.19166666666666665,0.0
44,And how does it impact mobile?,0.09701631701631701,0.5,0.03666666666666667,0.0
45,And it was boring and miserable.,0.15353535353535355,0.42857142857142855,0.0,0.0
46,And please not over the phone.,0.11481802511214274,0.4625,0.07222222222222222,0.29166666666666663
47,"And she smiled, a little nervously.",0.13987956487956488,0.1872727272727273,0.03428571428571429,0.0
48,And so very thoughtful of you.,0.09299145299145299,0.21333333333333332,0.03333333333333333,0.0
49,And some green beans and tomatoes.,0.2315034965034965,0.25,0.2623015873015873,0.0
50,And stitches all over the place.,0.1542929292929293,0.5,0.19,0.0
51,And that is a direct strategy.,0.32260461760461756,0.5,0.11833333333333333,0.0
52,And that is immigration form changes.,0.11734625024098708,0.33333333333333337,0.026785714285714284,0.0
53,And that's the power you have.,0.07136363636363637,0.35,0.03333333333333333,0.25
54,And the criminal investigation will continue.,0.13387778887778884,0.33333333333333337,0.014285714285714285,0.0
55,And tomorrow would be another day.,0.11570887445887446,0.23888888888888887,0.16515873015873014,0.14523809523809522
56,And we need a spy camera.,0.13227564102564102,0.35,0.05535714285714286,0.02
57,"And with your arrogance, it seems.",0.11075549450549452,0.38333333333333336,0.047619047619047616,0.0
58,And yet it's come so quickly.,0.06189976689976691,0.5,0.0,0.2
59,And you can ask me why.,0.151996336996337,0.33333333333333337,0.0,0.0
60,Another dance is about to begin.,0.1321978021978022,0.5,0.030952380952380953,0.2
61,Another driver waited in a car.,0.13303862803862804,0.28,0.03888888888888888,0.15535714285714283
62,"Another mourner, another well-wisher, another liar.",0.04242424242424243,0.14285714285714285,0.052424242424242415,0.14285714285714285
63,Another spike in unemployment was predicted.,0.1528155178155178,0.33333333333333337,0.07916666666666666,0.14285714285714285
64,"Anyway, all that and much more.",0.08773809523809524,0.08242424242424243,0.01111111111111111,0.08
65,"Appears to be far, far older.",0.02222222222222222,0.2973809523809524,0.016666666666666666,0.09
66,Approaching shore their masts appeared first.,0.16749883286647993,0.10181818181818184,0.19333333333333336,0.01111111111111111
67,Are they going to expel her?,0.10908591408591409,0.5,0.0,0.3
68,Are you ready for an exploration?,0.17695027195027196,0.1721212121212121,0.00909090909090909,0.0
69,Armed security guards arrived in force.,0.0473026973026973,0.09181818181818183,0.04222222222222222,0.0
70,Arrange both windows as you like.,0.08071862777745129,0.2848484848484848,0.02857142857142857,0.0
71,As for the real deal: taxes.,0.0843106893106893,0.35416666666666663,0.014285714285714285,0.02
72,As if that would impress anyone.,0.13760031635031636,0.40476190476190477,0.13325396825396824,0.29000000000000004
73,As with ectopic division and apoptosis.,0.35181818181818186,0.33333333333333337,0.5778571428571428,0.0
74,Asked her question and did nothing.,0.16707875457875457,0.10181818181818184,0.14583333333333331,0.0
75,"At least three, maybe four kids.",0.1539127539127539,0.3666666666666667,0.22023809523809526,0.2857142857142857
76,"Back to your cage, little bird.",0.14018481518481518,0.1,0.08194444444444444,0.0
77,Back with more right after this.,0.17806221556221555,0.09696969696969696,0.075,0.025
78,Balenciaga is her favorite European designer.,0.2034815184815185,0.12363636363636363,0.1935714285714286,0.0
79,Bare concrete floor met unpainted drywall.,0.04714285714285714,0.008333333333333333,0.0590909090909091,0.008333333333333333
80,Be prepared for various weather conditions.,0.10572261072261073,0.2,0.05,0.0
81,Because I couldn't work it out.,0.12469696969696968,0.2666666666666667,0.05,0.205
82,Because... I didn't think I would?,0.10195637695637697,0.43392857142857144,0.06345238095238095,0.3
83,"Become someone successful, or even famous.",0.05357864357864358,0.21333333333333332,0.05430555555555555,0.125
84,"Before that, he had no records.",0.10445221445221445,0.5158730158730159,0.025,0.0
85,"Besides, it would be terribly unsafe.",0.14195637695637697,0.5,0.13412698412698412,0.33333333333333337
86,Beyond the limits of the law.,0.15293512043512042,0.4523809523809524,0.047619047619047616,0.23000000000000004
87,"Boon Jin, you are the man!!!",0.35657731157731154,0.33333333333333337,0.37833333333333335,0.0
88,Both Tina and Vicky are excellent.,0.28312021312021307,0.33333333333333337,0.32880952380952383,0.0
89,"Both mentally and physically, you're attracted.",0.10564935064935066,0.22666666666666666,0.04107142857142857,0.02857142857142857
90,"Both wearing white, untucked, long-sleeved shirts.",0.09340159840159841,0.10181818181818184,0.06634920634920634,0.01111111111111111
91,"Boy, I'm taking a deep breath.",0.09835862666745018,0.2,0.075,0.11111111111111112
92,Bright lights shining in my eyes.,0.09091575091575092,0.09090909090909091,0.025396825396825397,0.0
93,Bullets began to snap past him.,0.12095884507649213,0.21333333333333332,0.11150793650793651,0.1380952380952381
94,"Business in Silverburn Shopping Centre, Glasgow.",0.2933372183372184,0.0,0.3246464646464646,0.0
95,But I knowingly abuse their confidence.,0.14696220446220445,0.02727272727272727,0.07095238095238096,0.0
96,But I may be incredibly ill-advised.,0.09151515151515152,0.30809523809523814,0.014285714285714285,0.10999999999999999
97,"But he had a dog, yeah?",0.2431793206793207,0.38333333333333336,0.1244047619047619,0.23000000000000004
98,But her eyes betrayed the truth.,0.20735431235431237,0.14505050505050504,0.049166666666666664,0.0
99,But it was a fun run.,0.16817215464274288,0.38333333333333336,0.048888888888888885,0.0
100,But many U.S. customs confuse them.,0.07227564102564102,0.07454545454545455,0.044722222222222226,0.07539682539682539
101,But monopolies have been regulated before.,0.03821178821178821,0.2,0.0325,0.0
102,But nothing like those stomach cramps.,0.17862859362859362,0.5,0.12591991341991343,0.33333333333333337
103,"But please, not Mr. Boutros-Ghali again.",0.08300125313283208,0.5,0.1221825396825397,0.2
104,But that argument isn't always convincing.,0.14028194028194027,0.33333333333333337,0.12218253968253967,0.2857142857142857
105,But that could cause another problem:,0.10684981684981684,0.20727272727272728,0.05535714285714286,0.19761904761904758
106,But that is a minor factor.,0.24507770007770008,0.17818181818181816,0.06666666666666667,0.0
107,But the job with the blacksmith?,0.09183372183372183,0.42857142857142855,0.0,0.0
108,But then again he could be!,0.11211954711954711,0.35111111111111104,0.045,0.03333333333333333
109,But then somehow I stopped myself.,0.0746813725490196,0.49444444444444446,0.02,0.025
110,But two groups are in confrontation.,0.1278266178266178,0.2,0.12111111111111113,0.0
111,Can I wear a long dress?,0.10439059306706364,0.33333333333333337,0.026785714285714284,0.0
112,Can we pursue him for robbery?,0.1454120879120879,0.3666666666666667,0.02,0.0
113,Can't go anywhere without an inhaler.,0.08730311355311356,0.2666666666666667,0.10873737373737376,0.3392857142857143
114,"Carefully though, he packed them away.",0.18569208569208567,0.2666666666666667,0.056666666666666664,0.15
115,Carve one in your chosen medium.,0.16132972419737124,0.35,0.12805555555555553,0.16190476190476188
116,"Cattle, wagons, horses, all going west.",0.0499116569704805,0.09090909090909091,0.05242424242424243,0.0
117,Central Park was across the roadway.,0.4931224331224331,0.2,0.5582142857142858,0.0
118,Check out the inspiration board below.,0.15844312550194903,0.12444444444444444,0.15476190476190477,0.0
119,Check some of my reference books.,0.16225274725274724,0.13682983682983682,0.029166666666666664,0.0
120,Click here to sign the petition.,0.17282509157509157,0.21333333333333332,0.08928571428571427,0.016666666666666666
121,"Cod, orange roughy, salmon, and tuna.",0.5624242424242425,0.1,0.711309523809524,0.0
122,Coldwell Banker Previews had the listing.,0.5123484848484849,0.09363636363636366,0.7323809523809524,0.0
123,"Color-wise, silver and pink are good.",0.3086829836829837,0.2,0.3302197802197802,0.0
124,Confessing your sins is the escape.,0.12426064131946486,0.33333333333333337,0.014285714285714285,0.0
125,"Consciously lying, he amended to himself..",0.10697802197802198,0.1636363636363636,0.014285714285714285,0.0
126,Consequences to us could prove fatal.,0.10173493173493173,0.05454545454545454,0.1336904761904762,0.04444444444444444
127,Could Serenvin Help You Fall Asleep?,0.17610223110223108,0.18181818181818182,0.15972222222222224,0.11111111111111112
128,Could a spark explode the fuel?,0.25720749838396895,0.35,0.1738095238095238,0.16190476190476188
129,Could this all be a test?,0.1359737484737485,0.7142857142857143,0.03333333333333333,0.33333333333333337
130,Could you loan it to me?,0.24685370185370187,0.3875,0.075,0.31666666666666665
131,Coupon three-month London Interbank Offered Rate.,0.35421911421911423,0.02909090909090909,0.4737373737373737,0.02909090909090909
132,"Craig, darling are you in there?",0.27809343434343436,0.2,0.26388888888888895,0.0
133,"Crisp, fresh onion, just enough cilantro.",0.07326852670892918,0.19818181818181818,0.09792540792540791,0.11000000000000001
134,"Curing countless diseases, not just ours.",0.097645173453997,0.25333333333333335,0.04345238095238095,0.06666666666666667
135,Cut clay top and base pieces.,0.08826888582693536,0.12606060606060607,0.03847222222222222,0.03611111111111111
136,"Dan Schorr, of course, joins us.",0.19789835164835162,0.02,0.29024170274170275,0.02361111111111111
137,"Day before tomorrow, day after yesterday.",0.10549338088811773,0.11111111111111112,0.11972222222222224,0.0
138,Dennis doesn't recall that it happened.,0.09005494505494505,0.33333333333333337,0.08571428571428572,0.14285714285714285
139,Describing migration and life history patterns.,0.12423534798534797,0.10181818181818181,0.10186507936507935,0.01111111111111111
140,Did permission have to be granted?,0.10881118881118881,0.5214285714285715,0.0,0.03333333333333333
141,Did you have a medical examination?,0.29696969696969694,0.5,0.05,0.0
142,Did your wishes ever come true?,0.1942888995062908,0.33333333333333337,0.15662087912087913,0.14523809523809522
143,"Dirty, smelly clothes littered the floor.",0.10822344322344321,0.08951048951048952,0.05520202020202021,0.0
144,Diver on crew boat retrieves cargo.,0.10489010989010991,0.09090909090909091,0.08742424242424243,0.0
145,Do any stand out in particular?,0.06404151404151404,0.05,0.045,0.0
146,Do not betray me in this.,0.19527472527472528,0.21818181818181817,0.0,0.0
147,Do you have 2 memory DIMMS?,0.08221112221112221,0.21333333333333332,0.05095238095238095,0.0
148,Do you have any Japanese foods?,0.1612171407024348,0.2,0.08527777777777776,0.0
149,Do you worship at their temple?,0.18823676323676325,0.5,0.07428571428571429,0.0
150,Does he have a name badge?,0.3160984848484848,0.21606060606060606,0.4149999999999999,0.0
151,Don't be in a hurry though.,0.030000000000000006,0.7142857142857143,0.016666666666666666,0.5
152,Doubly important ones can be asterisked.,0.04363418444300797,0.13696969696969694,0.0125,0.04285714285714286
153,Down by the abandoned train station.,0.18409090909090908,0.1,0.11345238095238094,0.0
154,Each block can be individually deleted.,0.08874458874458874,0.2666666666666667,0.026785714285714284,0.0
155,Each has its own elected officials.,0.15936867054514112,0.08545454545454545,0.12083333333333332,0.0
156,Elizabeth Way was the first operator.,0.430971250971251,0.10181818181818181,0.44484126984126976,0.0125
157,"Ellie, it was a formal party...",0.363044733044733,0.33333333333333337,0.2976190476190476,0.0
158,"Emilio, stand up for a second.",0.2943512043512044,0.2190909090909091,0.2995970695970696,0.02
159,Enjoy and stay connected with us!!,0.19424783549783547,0.1939393939393939,0.07699938949938949,0.04285714285714286
160,Enough of all this tedious self-justification.,0.07754079254079256,0.09090909090909091,0.03333333333333333,0.0
161,Especially the priest in our church.,0.19362637362637364,0.5,0.04861111111111111,0.2
162,Estimated electricity use in residential sector.,0.07672942253824606,0.11272727272727272,0.1011976911976912,0.02222222222222222
163,Eventually some of them became legends.,0.10737076648841355,0.28666666666666674,0.03888888888888889,0.10666666666666666
164,"Eventually the bleeding stopped, buying time.",0.1491941391941392,0.21333333333333332,0.10992424242424244,0.125
165,Every meeting needs to be strong.,0.08103396603396604,0.5,0.04285714285714286,0.33333333333333337
166,Every now and then she stopped.,0.12709817959817962,0.4666666666666667,0.13499999999999998,0.275
167,Every second counts on race day.,0.17947344322344322,0.19969696969696968,0.2458333333333333,0.17063492063492064
168,Everyone finished eating every delicious bite.,0.05599358974358974,0.02727272727272727,0.07520202020202019,0.02727272727272727
169,Everyone is to be a participant.,0.10353146853146852,0.4833333333333333,0.0,0.0
170,Everything changed for all of us.,0.12992840492840493,0.12545454545454543,0.08666666666666667,0.041666666666666664
171,"Eyes turned to him, surprisingly bright.",0.058571428571428566,0.2,0.0125,0.13214285714285715
172,Faint bitterness and a relaxing flavor.,0.2014069264069264,0.2,0.16654761904761906,0.0
173,"Fairly sweet with solid, rounded body.",0.21689560439560437,0.09090909090909091,0.2932323232323232,0.0
174,"Finally, he was this past Friday.",0.3429836829836829,0.13818181818181816,0.3759523809523809,0.09
175,"First of all, visit Disney Store.",0.13788035493917844,0.35,0.24690476190476188,0.16190476190476188
176,Fishes swimming in a turquoise paradise.,0.6196797646797646,0.07272727272727272,0.7866666666666667,0.0
177,Five Toes: Silkies have five toes.,0.2774711399711399,0.12857142857142856,0.45166666666666666,0.0
178,Fleas infected with plague literally starve.,0.20796481296481298,0.03636363636363636,0.29273809523809524,0.0
179,"Fleet National Bank, Hartford, is trustee.",0.42514430014430016,0.09090909090909091,0.5867063492063493,0.0
180,Flexible packages to fit every budget.,0.198989898989899,0.2266666666666667,0.25396825396825395,0.1388888888888889
181,Floor to ceiling windows covered it.,0.06255225166989872,0.22000000000000003,0.03159090909090909,0.0
182,For every room of the house.,0.18184149184149184,0.5,0.08928571428571427,0.2
183,"For example, text, textarea, checkbox etc.",0.029619726678550208,0.2833333333333333,0.032692307692307694,0.19841269841269843
184,"For purely constitutional reasons, of course.",0.10283882783882783,0.1488888888888889,0.14472222222222222,0.05714285714285714
185,For what do the utopians labor??,0.3239393939393939,0.38333333333333336,0.19499999999999998,0.0
186,Forgive me if I frighten you.,0.19458151325798384,0.3666666666666667,0.02,0.025
187,Form clay strip into a cylinder.,0.270505883005883,0.20242424242424245,0.23773809523809528,0.014285714285714285
188,"Fortunately, she was not easily deterred.",0.06224117987275881,0.25747474747474747,0.014285714285714285,0.11000000000000001
189,"Fred Mullen from Mercer Island, Wash.",0.3715467865467865,0.09272727272727273,0.5064790764790764,0.0
190,Fredriksson was the acting news editor.,0.2901621989121989,0.1890909090909091,0.22956349206349205,0.0
191,From northern waste to southern hill.,0.15752020038784748,0.2,0.17551587301587301,0.0
192,From some historian his father met.,0.24566454013822434,0.24000000000000005,0.22000000000000003,0.02
193,From the Baldy tunnel higher up.,0.38425990675990673,0.2266666666666667,0.3638095238095238,0.03333333333333333
194,"Frowning, Miss Ada studied the list.",0.16093406593406592,0.10181818181818184,0.13353535353535353,0.01111111111111111
195,Gabrielle manages a successful private practice.,0.1690355477855478,0.10181818181818184,0.13777777777777778,0.01111111111111111
196,"Game on, Barney to throw first.",0.13741314241314243,0.11040404040404042,0.2255952380952381,0.014285714285714285
197,"General personality: Generous, conscientious, amiable, loyal.",0.07626931676854279,0.00909090909090909,0.1041941391941392,0.00909090909090909
198,Geometric theory applied to puzzle making?,0.09348039215686274,0.2088888888888889,0.12358585858585858,0.11666666666666665
199,"Get out of here, you guys.",0.14112742649507357,0.09090909090909091,0.04,0.0
200,Glam Morena: Tutorial: In Full Bloom.,0.41199633699633703,0.09090909090909091,0.5131349206349206,0.0
201,"Goode was born in Exeter, Devon.",0.3844588744588744,0.19666666666666668,0.42095238095238097,0.025
202,Grace and kindness was their strength.,0.12424908424908424,0.33333333333333337,0.014285714285714285,0.0
203,"Great food, big portions, honest prices.",0.019642857142857142,0.0,0.02727272727272727,0.0
204,Great water pressure in those pipes.,0.1143106893106893,0.2,0.03611111111111111,0.0
205,"Gross stopped briefly, then went on.",0.09286838161838161,0.10181818181818181,0.1138888888888889,0.0125
206,Growing vegetables and tending the garden.,0.1546336996336996,0.2,0.060119047619047614,0.0
207,Guitar chords lent a soothing strum.,0.16687782805429863,0.10585858585858587,0.11638888888888888,0.0125
208,Hatched a Wobbuffet from the Egg.,0.4351282051282051,0.33333333333333337,0.41222222222222227,0.0
209,Have we seen the prosecution judge?,0.19778846153846152,0.33333333333333337,0.05428571428571429,0.0
210,"He allegedly bought 15,000 Skybox shares.",0.1866786399874635,0.06909090909090909,0.2484920634920635,0.04444444444444444
211,He also admitted killing Mrs. Hengesbach.,0.22923548673548674,0.259949494949495,0.276984126984127,0.236984126984127
