model,hf_id,layer,perturbation,n,mean_similarity,std_similarity,sem_similarity
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,contentwords,627,0.9192036390304565,0.06949502229690552,0.002775363856498956
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,nouns,627,0.9178062081336975,0.07231896370649338,0.0028881412132362003
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,verbs,627,0.9114284515380859,0.07923872768878937,0.0031644899676824987
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,nounsverbs,627,0.9179933071136475,0.07356370240449905,0.002937851288563197
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,nounsverbsadj,627,0.9231762290000916,0.06530365347862244,0.002607976709289744
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,functionwords,627,0.9107010960578918,0.07880998402833939,0.003147367595178865
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,paraphrase,627,0.926116406917572,0.05274708569049835,0.0021065156945432187
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,1LocalWordSwap,627,0.9349651336669922,0.05811874568462372,0.0023210391309614956
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,2LocalWordSwap,627,0.9341573715209961,0.05891326442360878,0.002352769153035155
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,3LocalWordSwaps,627,0.9335737228393555,0.058791741728782654,0.0023479160040783295
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,4LocalWordSwaps,627,0.9333752393722534,0.05863035470247269,0.002341470827072487
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,5LocalWordSwaps,627,0.9329063296318054,0.058910220861434937,0.002352647604869932
nllb200_distilled_600M,facebook/nllb-200-distilled-600M,9,Reversed,627,0.9261213541030884,0.06112529709935188,0.0024411092288383314
