text,start,end
Pie,0.0,0.44
iejas,0.44,0.92
dārzā,0.92,1.44
auga,1.44,1.86
"liels,",1.86,2.3
balta,2.54,2.84
roža,2.84,3.24
"koks,",3.24,3.78
bet,4.04,4.34
trīs,4.34,4.68
dārznieki,4.68,5.28
pašlaik,5.28,5.76
steidzīgi,5.76,6.36
ņēmās,6.36,6.76
pārkāsot,6.76,7.36
ziedus,7.36,7.8
sarkanā,7.8,8.26
krāsā.,8.26,8.86
Alisa,9.46,9.84
nobrīnījās,9.84,10.58
par,10.58,10.74
tādu,10.74,11.0
dīvainību,11.0,11.7
un,11.7,12.14
piegāja,12.14,12.56
"tuvāk,",12.56,12.96
lai,13.06,13.08
paskatītos.,13.08,13.92
Un,14.8,15.0
tieši,15.0,15.3
tajā,15.3,15.58
mirklī,15.58,16.02
viņa,16.02,16.22
pēkšņi,16.22,16.62
"izdzirda,",16.62,17.18
ka,17.24,17.3
viens,17.3,17.5
no,17.5,17.68
dārzniekiem,17.68,18.26
"sauc,",18.26,18.58
"Uzmanīgāk,",18.7,20.02
"piecniek,",20.14,20.84
nešļoksti,20.96,21.6
man,21.6,21.76
virsū,21.76,22.14
krāsu!,22.14,22.76
Es,23.58,23.82
nesmu,23.82,24.22
"vainīgs,",24.22,24.76
piecnieks,25.02,25.52
sabozies,25.52,26.1
atteica.,26.1,26.62
Septītnieks,27.2,27.84
pagrūda,27.84,28.3
manu,28.3,28.56
elkoni.,28.56,29.08
Septītnieks,29.58,30.26
pacēla,30.26,30.72
galvu,30.72,31.12
un,31.12,31.24
sacīja.,31.24,31.8
Tā,32.14,32.42
jau,32.42,32.6
"ir,",32.6,32.74
"piecniek,",32.84,33.42
tu,33.74,33.88
vienmēr,33.88,34.34
vainu,34.34,34.72
novēlus,34.72,35.2
citiem.,35.2,35.74
Tu,36.26,36.6
labāk,36.6,37.0
"klusē,",37.0,37.46
piecnieks,37.62,38.34
sabozies,38.34,38.9
"atbildēja,",38.9,39.58
vēl,39.92,40.12
vakar,40.12,40.48
dzirdēja,40.48,40.96
karalienis,40.96,41.52
"sakām,",41.52,41.84
ka,41.84,42.42
tev,42.42,42.64
vajag,42.64,42.96
apgriezt,42.96,43.46
galvu.,43.46,43.92
Par,44.54,44.78
ko?,44.78,45.12
ierunājās,45.32,46.16
"tas,",46.16,46.4
kur,46.48,46.64
bija,46.64,46.9
apšlakstījis,46.9,47.52
piecnieks.,47.52,48.1
Kāda,48.66,49.02
tev,49.02,49.26
tur,49.26,49.44
divniek,49.44,49.9
daļa?,49.9,50.46
atcerta,50.46,50.92
septītnieks.,50.92,51.64
Divnieks,52.2,52.7
"jāsoda,",52.7,53.3
piecnieks,53.58,54.1
iesaucās.,54.1,54.74
Es,55.22,55.4
viņam,55.4,55.64
"sacīju,",55.64,56.26
tas,56.5,56.68
"tāpēc,",56.68,57.28
ka,57.4,57.64
viņš,57.64,57.8
atnesa,57.8,58.16
pavāram,58.16,58.72
ēdamo,58.72,59.18
sīpoli,59.18,59.74
vietā,59.74,60.08
tulpi,60.08,60.48
sīpolus.,60.48,61.2
Septītnieks,61.72,62.44
nometa,62.44,62.8
otu.,62.8,63.62
"Nu,",63.66,63.82
"zināt,",63.92,64.3
tādu,64.36,64.72
nekaunību,64.72,65.46
viņš,65.46,65.88
sašatumā,65.88,66.44
"iesāka,",66.44,67.04
bet,67.3,67.58
ieraudzīs,67.58,68.26
"alisi,",68.26,68.62
kas,68.7,68.84
stāvēja,68.84,69.4
un,69.4,69.5
vēroja,69.5,69.96
viņus,69.96,70.24
apklusa.,70.24,71.24
Atskatījās,72.04,72.76
arī,72.76,72.94
pārējie,72.94,73.5
"divi,",73.5,73.86
un,74.22,74.36
tad,74.36,74.62
visi,74.62,74.94
zema,74.94,75.34
palocījās.,75.34,76.16
Vai,76.8,77.02
"jūs,",77.02,77.38
"lūdzu,",77.5,78.08
nebūtu,78.16,78.56
tik,78.56,78.72
laikni,78.72,79.22
un,79.22,79.36
"nepateiktu,",79.36,80.16
alisi,80.2,80.54
mazliet,80.54,80.9
kautrīgi,80.9,81.42
"ierunājās,",81.42,82.42
kāpēc,82.62,83.02
jūs,83.02,83.2
pārkrāsojat,83.2,84.0
šīs,84.0,84.3
rozes?,84.3,84.78
Piecnieks,85.64,86.18
un,86.18,86.32
septītnieks,86.32,87.02
klusēdami,87.02,87.64
raudzījās,87.64,88.18
uz,88.18,88.3
divnieku.,88.3,88.88
Tas,89.28,89.56
čuksts,89.56,90.14
stāstīja.,90.14,90.94
"Redzat,",91.22,91.7
miss!,91.86,92.48
Šeit,92.52,92.8
vajadzēja,92.8,93.4
augt,93.4,93.74
sarkanam,93.74,94.26
rožu,94.26,94.66
"kokam,",94.66,95.0
bet,95.0,95.54
mēs,95.54,95.76
kļūdījāmies,95.76,96.64
un,96.64,96.84
iestādījām,96.84,97.48
baltu.,97.48,98.08
Ja,98.8,98.98
karalieni,98.98,99.54
to,99.54,99.66
"atklās,",99.66,100.22
mums,100.54,100.78
visiem,100.78,101.16
apgriezīs,101.16,101.72
galbu.,101.72,102.2
"Tāpēc,",102.64,103.0
"redzat,",103.1,103.36
miss!,103.46,103.84
Mēs,103.96,104.2
"darām,",104.2,104.52
ko,104.64,104.68
varām.,104.68,105.2
Iekams,105.5,105.92
karaliena,105.92,106.48
nav.,106.48,106.72
Šajā,107.6,107.8
mirklī,107.8,108.24
"piecnieks,",108.24,108.86
kas,108.96,109.04
visu,109.04,109.42
laiku,109.42,109.66
uzmanīgi,109.66,110.3
bija,110.3,110.58
vērojis,110.58,111.12
"dārdz,",111.12,111.48
iesaucās.,111.52,112.14
Karaliena!,112.14,113.6
Karaliena!,113.74,114.5
Visa,115.1,115.4
trīs,115.4,115.76
dārznieki,115.76,116.38
tūdaļ,116.38,116.8
nokrita,116.8,117.26
garšļauku,117.26,117.86
zemē,117.86,118.28
ar,118.28,118.8
sejām,118.8,119.2
uz,119.2,119.36
leju.,119.36,119.74
Atskanēja,120.26,120.88
neskaitām,120.88,121.6
soļu,121.6,122.08
troksnis,122.08,122.68
un,122.68,123.1
alisi,123.1,123.44
atskatījās.,123.44,124.26
Viņai,124.76,125.02
ļoti,125.02,125.32
