model,hf_id,layer,perturbation,sentence_idx,similarity_cosine
xlm_align,microsoft/xlm-align-base,7,contentwords,0,0.9346440434455872
xlm_align,microsoft/xlm-align-base,7,contentwords,1,0.9213584065437317
xlm_align,microsoft/xlm-align-base,7,contentwords,2,0.9363529086112976
xlm_align,microsoft/xlm-align-base,7,contentwords,3,0.9282336235046387
xlm_align,microsoft/xlm-align-base,7,contentwords,4,0.9080776572227478
xlm_align,microsoft/xlm-align-base,7,contentwords,5,0.9062371253967285
xlm_align,microsoft/xlm-align-base,7,contentwords,6,0.934057354927063
xlm_align,microsoft/xlm-align-base,7,contentwords,7,0.9265608787536621
xlm_align,microsoft/xlm-align-base,7,contentwords,8,0.9248844385147095
xlm_align,microsoft/xlm-align-base,7,contentwords,9,0.9058582782745361
xlm_align,microsoft/xlm-align-base,7,contentwords,10,0.9071375131607056
xlm_align,microsoft/xlm-align-base,7,contentwords,11,0.931676983833313
xlm_align,microsoft/xlm-align-base,7,contentwords,12,0.8919383883476257
xlm_align,microsoft/xlm-align-base,7,contentwords,13,0.9190807342529297
xlm_align,microsoft/xlm-align-base,7,contentwords,14,0.9123579263687134
xlm_align,microsoft/xlm-align-base,7,contentwords,15,0.9192825555801392
xlm_align,microsoft/xlm-align-base,7,contentwords,16,0.9142711162567139
xlm_align,microsoft/xlm-align-base,7,contentwords,17,0.9424929618835449
xlm_align,microsoft/xlm-align-base,7,contentwords,18,0.9236387610435486
xlm_align,microsoft/xlm-align-base,7,contentwords,19,0.9324758052825928
xlm_align,microsoft/xlm-align-base,7,contentwords,20,0.9220007658004761
xlm_align,microsoft/xlm-align-base,7,contentwords,21,0.9226437211036682
xlm_align,microsoft/xlm-align-base,7,contentwords,22,0.9290066957473755
xlm_align,microsoft/xlm-align-base,7,contentwords,23,0.9234960079193115
xlm_align,microsoft/xlm-align-base,7,contentwords,24,0.9155255556106567
xlm_align,microsoft/xlm-align-base,7,contentwords,25,0.8998825550079346
xlm_align,microsoft/xlm-align-base,7,contentwords,26,0.9061052203178406
xlm_align,microsoft/xlm-align-base,7,contentwords,27,0.921363353729248
xlm_align,microsoft/xlm-align-base,7,contentwords,28,0.9088760614395142
xlm_align,microsoft/xlm-align-base,7,contentwords,29,0.9263719916343689
xlm_align,microsoft/xlm-align-base,7,contentwords,30,0.8941622376441956
xlm_align,microsoft/xlm-align-base,7,contentwords,31,0.899966835975647
xlm_align,microsoft/xlm-align-base,7,contentwords,32,0.9229970574378967
xlm_align,microsoft/xlm-align-base,7,contentwords,33,0.9154893159866333
xlm_align,microsoft/xlm-align-base,7,contentwords,34,0.9206995964050293
xlm_align,microsoft/xlm-align-base,7,contentwords,35,0.9380970001220703
xlm_align,microsoft/xlm-align-base,7,contentwords,36,0.9067793488502502
xlm_align,microsoft/xlm-align-base,7,contentwords,37,0.9201642274856567
xlm_align,microsoft/xlm-align-base,7,contentwords,38,0.9151177406311035
xlm_align,microsoft/xlm-align-base,7,contentwords,39,0.9159380197525024
xlm_align,microsoft/xlm-align-base,7,contentwords,40,0.9086225628852844
xlm_align,microsoft/xlm-align-base,7,contentwords,41,0.9382527470588684
xlm_align,microsoft/xlm-align-base,7,contentwords,42,0.9479969143867493
xlm_align,microsoft/xlm-align-base,7,contentwords,43,0.936455488204956
xlm_align,microsoft/xlm-align-base,7,contentwords,44,0.9073804020881653
xlm_align,microsoft/xlm-align-base,7,contentwords,45,0.9190479516983032
xlm_align,microsoft/xlm-align-base,7,contentwords,46,0.9088513255119324
xlm_align,microsoft/xlm-align-base,7,contentwords,47,0.8951724767684937
xlm_align,microsoft/xlm-align-base,7,contentwords,48,0.9409583210945129
xlm_align,microsoft/xlm-align-base,7,contentwords,49,0.8977333903312683
xlm_align,microsoft/xlm-align-base,7,contentwords,50,0.9083454012870789
xlm_align,microsoft/xlm-align-base,7,contentwords,51,0.9173614978790283
xlm_align,microsoft/xlm-align-base,7,contentwords,52,0.907739520072937
xlm_align,microsoft/xlm-align-base,7,contentwords,53,0.9352436065673828
xlm_align,microsoft/xlm-align-base,7,contentwords,54,0.9735881090164185
xlm_align,microsoft/xlm-align-base,7,contentwords,55,0.8918318152427673
xlm_align,microsoft/xlm-align-base,7,contentwords,56,0.9321287870407104
xlm_align,microsoft/xlm-align-base,7,contentwords,57,0.928187906742096
xlm_align,microsoft/xlm-align-base,7,contentwords,58,0.9388071894645691
xlm_align,microsoft/xlm-align-base,7,contentwords,59,0.9231130480766296
xlm_align,microsoft/xlm-align-base,7,contentwords,60,0.9398541450500488
xlm_align,microsoft/xlm-align-base,7,contentwords,61,0.9375326633453369
xlm_align,microsoft/xlm-align-base,7,contentwords,62,0.9226628541946411
xlm_align,microsoft/xlm-align-base,7,contentwords,63,0.9259217977523804
xlm_align,microsoft/xlm-align-base,7,contentwords,64,0.9208644032478333
xlm_align,microsoft/xlm-align-base,7,contentwords,65,0.9250406622886658
xlm_align,microsoft/xlm-align-base,7,contentwords,66,0.9432928562164307
xlm_align,microsoft/xlm-align-base,7,contentwords,67,0.9237855076789856
xlm_align,microsoft/xlm-align-base,7,contentwords,68,0.9285597205162048
xlm_align,microsoft/xlm-align-base,7,contentwords,69,0.9217867255210876
xlm_align,microsoft/xlm-align-base,7,contentwords,70,0.9425500631332397
xlm_align,microsoft/xlm-align-base,7,contentwords,71,0.9401382803916931
xlm_align,microsoft/xlm-align-base,7,contentwords,72,0.919552206993103
xlm_align,microsoft/xlm-align-base,7,contentwords,73,0.9235520362854004
xlm_align,microsoft/xlm-align-base,7,contentwords,74,0.9236351251602173
xlm_align,microsoft/xlm-align-base,7,contentwords,75,0.9145157337188721
xlm_align,microsoft/xlm-align-base,7,contentwords,76,0.9330093264579773
xlm_align,microsoft/xlm-align-base,7,contentwords,77,0.9192975759506226
xlm_align,microsoft/xlm-align-base,7,contentwords,78,0.9172709584236145
xlm_align,microsoft/xlm-align-base,7,contentwords,79,0.9169874787330627
xlm_align,microsoft/xlm-align-base,7,contentwords,80,0.9144185185432434
xlm_align,microsoft/xlm-align-base,7,contentwords,81,0.9024203419685364
xlm_align,microsoft/xlm-align-base,7,contentwords,82,0.9295459985733032
xlm_align,microsoft/xlm-align-base,7,contentwords,83,0.9199602007865906
xlm_align,microsoft/xlm-align-base,7,contentwords,84,0.9338126182556152
xlm_align,microsoft/xlm-align-base,7,contentwords,85,0.9104866981506348
xlm_align,microsoft/xlm-align-base,7,contentwords,86,0.9030433893203735
xlm_align,microsoft/xlm-align-base,7,contentwords,87,0.9313170909881592
xlm_align,microsoft/xlm-align-base,7,contentwords,88,0.9243224859237671
xlm_align,microsoft/xlm-align-base,7,contentwords,89,0.931368887424469
xlm_align,microsoft/xlm-align-base,7,contentwords,90,0.9178487658500671
xlm_align,microsoft/xlm-align-base,7,contentwords,91,0.9302151799201965
