text,start,end
قال,0.0,0.32
الملك,0.32,0.78
استدعى,1.56,2.02
الشاهد,2.02,2.38
الاول,2.38,2.8
فنفق,3.34,3.76
الارنب,3.76,4.12
الابيض,4.12,4.5
ثلاث,4.5,4.8
مرات,4.8,5.2
في,5.2,5.38
البوق,5.38,5.68
ونادى,5.68,6.18
الشاهد,6.18,6.88
الاول,6.88,7.28
كان,7.98,8.22
الشاهد,8.22,8.68
الاول,8.68,9.06
صانع,9.06,9.4
القبعات,9.4,10.06
وقد,10.42,10.72
دخل,10.72,11.02
يحمل,11.02,11.38
فنجان,11.38,11.8
شاي,11.8,12.18
بيد,12.18,12.78
وقدعة,12.78,13.44
خبز,13.44,13.78
وزبدة,13.78,14.36
بالاخرى,14.36,15.04
بدأ,15.56,15.88
يقول,15.88,16.3
ارجو,16.68,16.98
المعذره,16.98,17.46
يا,17.46,17.54
صاحب,17.54,17.88
الجلال,17.88,18.3
الاحضاري,18.3,18.9
هاذه,18.9,19.3
لكنني,19.62,20.12
لم,20.12,20.26
انتهي,20.26,20.74
من,20.74,20.88
تناول,20.88,21.22
الشاي,21.22,21.56
عندما,21.56,21.9
ارسل,21.9,22.22
في,22.22,22.36
طلبي,22.36,22.78
قال,24.02,24.3
الملك,24.3,24.66
كان,24.66,24.88
ينبغي,24.88,25.36
ان,25.36,25.48
تنتهي,25.48,26.0
متى,26.06,26.34
بدأت,26.34,26.78
نظر,27.52,27.86
صانع,27.86,28.2
القبعات,28.2,28.72
الى,28.72,28.94
ارنب,28.94,29.28
مارس,29.28,29.56
الوحشي,29.56,30.01
الذي,30.01,30.26
كان,30.26,30.54
قد,30.54,30.78
تبعه,30.78,31.16
الى,31.16,31.38
المحكمه,31.38,31.9
ذراعه,32.2,32.72
في,32.72,32.86
ذراع,32.86,33.22
الزغبة,33.22,33.64
وقال,33.68,34.14
اعتقد,34.14,34.62
ان,34.62,34.84
هذا,34.84,35.14
كان,35.14,35.4
في,35.4,35.56
الربع,35.56,35.9
عشر,35.9,36.82
من,36.82,37.44
مارس,37.44,38.26
قال,39.98,40.2
ارنب,40.2,40.56
مارس,40.56,40.82
الوحشي,40.82,41.32
بل,41.32,41.62
في,41.62,41.72
الخامس,41.72,42.1
عشر,42.1,42.48
واضاف,43.08,43.5
الزغبة,43.5,43.94
السادس,43.94,44.66
عشر,44.66,45.0
قال,45.72,45.94
الملك,45.94,46.26
لهيئة,46.26,46.68
المحلفين,46.68,47.38
دوني,47.8,48.24
وذلك,48.24,48.74
فكتبوا,49.38,49.9
المحلفون,49.9,50.48
بحماسه,50.48,51.04
هذه,51.04,51.3
تواريخ,51.3,51.78
الثلاثه,51.78,52.26
في,52.26,52.38
الواحهم,52.38,53.02
ومن,53.48,53.7
ثم,53.7,53.92
جمعوا,53.92,54.52
وقلصوا,54.52,55.06
الجواب,55.06,55.46
الى,55.46,55.68
شلنات,55.68,56.18
وفنسات,56.18,56.86
قال,58.2,58.44
الملك,58.44,58.76
لصانع,58.76,59.18
القبعات,59.18,59.8
اخلع,59.8,60.38
قبعتك,60.38,61.02
قال,61.92,62.14
صانع,62.14,62.54
القبعات,62.54,63.14
هي,63.14,63.4
ليست,63.4,63.84
لي,63.84,64.02
فاشار,64.64,65.0
الملك,65.0,65.32
وهو,65.32,65.6
يلتفت,65.6,66.1
الى,66.1,66.3
هيئة,66.3,66.6
المحلفين,66.6,67.21
الذين,67.21,67.6
وضعوا,67.6,68.0
في,68.0,68.06
الحال,68.06,68.44
مذكرة,68.44,68.98
تتعلق,68.98,69.54
بهذه,69.54,69.94
الحقيقة,69.94,70.52
انها,71.08,71.44
مسروقة,71.44,72.04
اضاف,72.94,73.26
صانع,73.26,73.6
القبعات,73.6,74.22
بموضحا,74.22,74.78
انا,75.22,75.42
احتفظ,75.42,75.9
بالقبعات,75.9,76.54
كي,76.54,76.72
ابيعها,76.72,77.28
لا,77.56,77.74
امتلك,77.74,78.1
اي,78.1,78.36
منها,78.36,78.8
فانا,79.94,80.26
صانع,80.26,80.58
القبعات,80.58,81.22
هنا,82.1,82.36
وضعت,82.36,82.76
الملكة,82.76,83.26
نظارتها,83.26,84.0
وبلقت,84.34,84.72
حضك,84.72,85.14
بكوة,85.14,85.56
الى,85.56,85.78
صانع,85.78,86.06
القبعات,86.06,86.48
الذي,86.56,86.82
اصبح,86.82,87.22
شاحبا,87.22,87.98
واخذه,88.24,88.72
تململ,88.72,89.22
قال,91.18,91.38
الملك,91.38,91.84
ادلي,91.84,92.4
بشهادتك,92.4,93.08
ولا,93.12,93.34
تتوتر,93.34,94.0
وانا,94.5,94.88
امرت,94.88,95.2
باعدامك,95.2,95.78
على,95.78,95.94
الفور,95.94,96.28
لم,97.08,97.28
يبدو,97.28,97.58
ان,97.58,97.72
هذا,97.72,98.02
يشجع,98.02,98.64
الشاهد,98.64,99.08
على,99.08,99.22
الاطلاق,99.22,99.48
البقي,100.3,100.66
ينتقل,100.66,101.12
من,101.12,101.22
قدم,101.22,101.5
الى,101.5,101.82
اخرى,101.82,102.16
وهو,102.46,102.74
ينظر,102.74,103.1
بقلق,103.1,103.46
الى,103.46,103.78
الملكة,103.78,104.22
وفي,104.66,104.94
غمرة,104.94,105.26
