text,start,end
Junto,0.0,0.88
a,0.88,1.02
la,1.02,1.08
entrada,1.08,1.4
del,1.4,1.62
jardín,1.62,2.16
había,2.16,2.94
un,2.94,3.32
gran,3.32,3.74
rosal.,3.74,4.3
Las,4.9,5.24
rosas,5.24,5.62
que,5.62,5.78
crecían,5.78,6.34
en,6.34,6.66
él,6.66,6.9
eran,6.9,7.16
"blancas,",7.16,7.78
pero,8.2,8.44
había,8.44,8.62
tres,8.62,9.08
jardineros,9.08,9.88
afanosamente,9.88,10.88
ocupados,10.88,11.62
en,11.62,11.88
pintarlas,11.88,12.36
de,12.36,12.5
rojo.,12.5,12.82
A,13.76,13.92
Alicia,13.92,14.22
le,14.22,14.42
pareció,14.42,14.86
esto,14.86,15.26
muy,15.26,15.66
"extraño,",15.66,16.2
y,16.52,17.04
se,17.04,17.16
acercó,17.16,17.6
a,17.6,17.8
observar.,17.8,18.4
Cuando,19.08,19.34
llegaba,19.34,19.7
junto,19.7,20.0
a,20.0,20.14
"ellos,",20.14,20.5
oyó,20.76,21.3
que,21.3,21.44
uno,21.44,21.62
"decía,",21.62,22.02
¡Ten,22.12,23.02
"cuidado,",23.02,23.48
Cinco!,23.68,24.08
¡Me,24.38,24.84
estás,24.84,25.02
salpicando,25.02,25.52
de,25.52,25.68
pintura!,25.68,26.14
¡Ha,27.12,27.36
sido,27.36,27.62
sin,27.62,27.9
querer!,27.9,28.32
dijo,28.74,29.0
el,29.0,29.16
"Cinco,",29.16,29.52
en,29.8,29.92
tono,29.92,30.34
malhumorado.,30.34,30.94
¡Me,31.68,31.88
ha,31.88,31.98
dado,31.98,32.18
un,32.18,32.34
codazo,32.34,32.7
el,32.7,32.86
siete!,32.86,33.12
A,34.14,34.32
lo,34.32,34.44
cual,34.44,34.66
el,34.66,34.82
Siete,34.82,35.24
alzó,35.24,36.02
los,36.02,36.18
ojos,36.18,36.46
y,36.46,36.84
"dijo,",36.84,37.1
¡Eso,37.74,38.06
"es,",38.06,38.36
Cinco!,38.5,38.86
Siempre,39.3,39.76
echando,39.76,40.14
la,40.14,40.3
culpa,40.3,40.62
a,40.62,40.82
los,40.82,40.96
demás.,40.96,41.22
¡Tú,42.34,42.68
es,42.68,42.96
mejor,42.96,43.22
que,43.22,43.42
no,43.42,43.56
hables!,43.56,44.02
dijo,44.24,44.56
el,44.56,44.76
Cinco.,44.76,45.06
Ayer,45.66,46.1
mismo,46.1,46.54
oí,46.54,47.26
decirle,47.26,47.56
a,47.56,47.64
la,47.64,47.7
reina,47.7,48.04
que,48.04,48.38
merecías,48.38,48.94
que,48.94,49.12
te,49.12,49.22
cortaran,49.22,49.6
la,49.6,49.76
cabeza.,49.76,50.08
¿Por,51.3,51.56
qué?,51.56,51.9
dijo,52.2,52.8
el,52.8,53.1
que,53.1,53.2
había,53.2,53.36
hablado,53.36,53.64
primero.,53.64,54.0
Eso,54.92,55.2
a,55.2,55.38
ti,55.38,55.44
no,55.44,55.58
te,55.58,55.72
"importa,",55.72,56.14
"Dos,",56.32,56.64
dijo,56.86,57.38
el,57.38,57.48
Siete.,57.48,57.5
"Sí,",58.26,58.52
sí,58.66,58.88
que,58.88,59.04
le,59.04,59.14
"importa,",59.14,59.54
dijo,59.9,60.12
el,60.12,60.28
"Cinco,",60.28,60.68
y,61.08,61.22
se,61.22,61.3
lo,61.3,61.42
voy,61.42,61.56
a,61.56,61.68
decir.,61.68,62.0
Fue,62.56,62.8
por,62.8,62.98
llevarle,62.98,63.48
a,63.48,63.68
la,63.68,63.8
cocinera,63.8,64.36
bulbos,64.36,65.08
de,65.08,65.2
tulipán,65.2,65.86
en,65.86,66.3
vez,66.3,66.56
de,66.56,66.9
cebollas.,66.9,67.48
El,68.88,69.3
Siete,69.3,69.62
tiró,69.62,70.08
la,70.08,70.22
brocha,70.22,70.52
al,70.52,70.66
"suelo,",70.66,70.98
y,71.58,71.7
no,71.7,71.82
había,71.82,71.98
hecho,71.98,72.24
más,72.24,72.74
que,72.74,72.98
empezar,72.98,73.26
a,73.26,73.42
"decir,",73.42,73.48
"Bueno,",74.46,74.82
de,75.12,75.36
todas,75.36,75.66
las,75.66,75.82
injusticias.,75.82,76.54
Cuando,77.52,77.8
sus,77.8,78.0
ojos,78.0,78.38
repararon,78.38,79.26
en,79.26,79.54
"Alicia,",79.54,79.92
que,80.28,80.8
les,80.8,80.96
estaba,80.96,81.28
"observando,",81.28,81.94
y,82.4,82.76
se,82.76,82.9
cayó,82.9,83.26
de,83.26,83.4
repente.,83.4,83.78
Los,85.0,85.28
otros,85.28,85.68
se,85.68,86.04
volvieron,86.04,86.38
"también,",86.38,86.8
y,87.36,87.62
los,87.62,87.8
tres,87.8,88.22
hicieron,88.22,88.98
una,88.98,89.22
profunda,89.22,89.76
reverencia.,89.76,90.38
Por,91.36,91.64
"favor,",91.64,91.96
¿me,92.34,92.64
podrías,92.64,93.02
"decir,",93.02,93.48
dijo,93.9,94.14
Alicia,94.14,94.56
con,94.56,95.06
cierta,95.06,95.34
"timidez,",95.34,95.84
¿Por,96.48,96.68
qué,96.68,96.8
estáis,96.8,97.18
pintando,97.18,97.7
esas,97.7,98.2
rosas?,98.2,98.72
El,100.16,100.34
Cinco,100.34,100.7
y,100.7,100.86
el,100.86,100.98
Siete,100.98,101.3
no,101.3,101.9
dijeron,101.9,102.3
"nada,",102.3,102.62
pero,103.14,103.36
miraron,103.36,103.78
al,103.78,103.94
"Dos,",103.94,104.26
y,104.86,105.0
el,105.0,105.14
Dos,105.14,105.52
empezó,105.52,106.1
en,106.1,106.24
voz,106.24,106.42
"baja,",106.42,106.78
"Pues,",107.48,108.04
"verás,",108.32,108.96
"señorita,",109.04,109.58
la,110.22,110.5
verdad,110.5,110.8
es,110.8,111.16
que,111.16,111.3
aquí,111.3,111.72
tenía,111.72,112.24
que,112.24,112.44
haber,112.44,112.74
un,112.74,113.0
rosal,113.0,113.38
"rojo,",113.38,113.84
y,114.58,114.74
pusimos,114.74,115.08
uno,115.08,115.28
blanco,115.28,115.72
por,115.72,115.92
"equivocación,",115.92,116.82
y,117.5,117.62
si,117.62,117.7
la,117.7,117.84
reina,117.84,118.12
llegase,118.12,118.54
a,118.54,118.62
"descubrirlo,",118.62,119.24
nos,119.64,119.86
mandaría,119.86,120.26
a,120.26,120.4
cortar,120.4,120.64
a,120.64,120.88
todos,120.88,121.2
la,121.2,121.4
