sentence_idx,original_sentence,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
0,"""I think it's overblown,"" he said.","I believe it's outdated,"" she replied.","I suspect it's exaggerated,"" Tom muttered.","I feel it's unnecessary,"" Maria whispered.","I declare it's irrelevant,"" Dr. Lee announced.","I insist it's defective,"" the engineer shouted.","I guess it's invisible,"" Alex mumbled.","I swear it's illegal,"" the lawyer protested.","I hope it's edible,"" the chef laughed.","I notice it's unstable,"" the pilot warned.","I admit it's impossible,"" Professor Chen conceded."
1,A bunny can be fluffy sometimes.,A violin can be scratchy sometimes.,A novel can be boring sometimes.,A toddler can be cranky sometimes.,A lecture can be tedious sometimes.,A muffin can be soggy sometimes.,A comedian can be hilarious sometimes.,A printer can be glitchy sometimes.,A sweater can be itchy sometimes.,A storm can be noisy sometimes.,A puppy can be clumsy sometimes.
2,A car drove down the road.,A bird flew across the sky.,A boat sailed along the coast.,A train rumbled through the tunnel.,A horse galloped over the hill.,A drone hovered above the field.,A child wandered into the forest.,A rocket soared beyond the clouds.,A snake slithered under the porch.,A balloon drifted past the window.,A cyclist sped around the corner.
3,"A childish notion, to be sure.","A brilliant invention, to be sure.","A brilliant idea, to be honest.","A rusty bicycle, to be fair.","A spooky legend, to be accurate.","A tasty dessert, to be specific.","A risky gamble, to be blunt.","A cozy cottage, to be precise.","A noisy classroom, to be clear.","A shiny trophy, to be brief.","A muddy trail, to be frank."
4,A cigarette would taste particularly good.,A novel would seem especially long.,A vacation would feel remarkably peaceful.,A melody would sound surprisingly loud.,A dessert would appear incredibly rich.,A journey would prove exceptionally tough.,A portrait would look strikingly real.,A beverage would smell distinctly sweet.,A fabric would wear surprisingly soft.,A bargain would seem extraordinarily fair.,A storm would feel unusually close.
5,A creature both demon and beast.,A vessel both chalice and urn.,A garment both cloak and gown.,A structure both citadel and barn.,A relic both scepter and bone.,A beverage both cordial and draught.,A vehicle both chariot and sled.,A document both charter and note.,A weapon both dagger and club.,A plant both orchid and weed.,A gem both ruby and bead.
6,A fully substantiated and provable fact.,A completely renovated and spacious loft.,A barely visible and fragile thread.,A recently signed and binding contract.,A highly praised and bestselling novel.,A thoroughly cleaned and polished kettle.,A dangerously sharp and jagged pebble.,A freshly baked and fragrant muffin.,A carefully guarded and ancient relic.,A wildly popular and catchy chorus.,A dimly lit and narrow cavern.
7,"A game of football, I suggest?","A cup of coffee, I propose?","A slice of pizza, I recommend?","A book of poems, I mention?","A jar of honey, I offer?","A piece of music, I request?","A bowl of soup, I order?","A box of chocolates, I insist?","A glass of water, I demand?","A bag of apples, I suggest?","A plate of cookies, I advise?"
8,A gun fired into the air.,A bird soared into the clouds.,A rocket blasted into the sky.,A stone flew into the lake.,A flare shot into the night.,A ball rolled into the street.,A dart zipped into the board.,A leaf drifted into the stream.,A bolt flashed into the dark.,A kite swooped into the wind.,A spark leapt into the dusk.
9,A king must have an heir.,A chef must own a knife.,A pilot must pass an exam.,A surgeon must wash an instrument.,A writer must craft an ending.,A guard must check an ID.,A farmer must feed a calf.,A lawyer must file an appeal.,A singer must hit an octave.,A captain must chart an isle.,A miner must detect a vein.
10,A large band played folk tunes.,A small choir sang jazz songs.,A young team built toy boats.,A brave crew sailed rough seas.,A quiet class read short poems.,A swift herd crossed wide plains.,A sharp knife cut thick ropes.,A loud crowd cheered bold moves.,A fresh breeze carried sweet scents.,A wild fire burned dry fields.,A kind nurse told long stories.
11,A letter awaited her at Princeton.,A package greeted him at Harvard.,A message surprised them at Stanford.,A parcel welcomed Lisa at Oxford.,A telegram awaited Mark at Yale.,A postcard greeted Anna at Cambridge.,A crate awaited Ben at Berkeley.,A memo greeted Zoe at Cornell.,A suitcase awaited Ivan at Dartmouth.,A note greeted Ella at Columbia.,A box awaited Ryan at Brown.
