text,start,end
Havia,1.02,1.42
muitas,1.42,1.74
portas,1.74,2.32
em,2.32,2.58
redor,2.58,2.92
do,2.92,3.06
"átrio,",3.06,3.4
mas,3.52,3.82
estavam,3.82,4.14
todas,4.14,4.48
trancadas.,4.48,5.02
"E,",5.48,5.66
depois,5.8,6.36
de,6.36,6.52
o,6.52,6.62
percorrer,6.62,7.0
de,7.0,7.12
uma,7.12,7.24
ponta,7.24,7.56
a,7.56,7.64
"outra,",7.64,7.92
experimentando,8.16,8.78
cada,8.78,9.08
"porta,",9.08,9.48
a,10.06,10.26
menina,10.26,10.56
avançou,10.56,10.92
tristemente,10.92,11.54
para,11.54,11.78
o,11.78,12.0
centro,12.0,12.32
a,12.32,12.46
pensar.,12.46,12.78
Como,13.36,13.6
é,13.6,13.74
que,13.74,13.8
ia,13.8,14.0
sair,14.0,14.5
dali,14.5,14.8
outra,14.8,15.04
vez?,15.04,15.34
De,16.58,16.76
"repente,",16.76,17.2
viu,17.44,17.64
à,17.64,17.76
frente,17.76,18.0
dos,18.0,18.2
olhos,18.2,18.54
uma,18.54,18.82
pequena,18.82,19.2
mesa,19.2,19.46
de,19.46,19.62
três,19.62,19.88
"pernas,",19.88,20.28
toda,20.86,21.16
em,21.16,21.3
vidro,21.3,21.56
maciço.,21.56,22.12
Em,23.16,23.36
cima,23.36,23.54
dela,23.54,23.9
havia,23.9,24.56
apenas,24.56,24.98
uma,24.98,26.24
pequena,26.24,26.66
chave,26.66,26.94
dourada.,26.94,27.38
E,28.0,28.1
o,28.1,28.18
primeiro,28.18,28.44
pensamento,28.44,28.96
de,28.96,29.12
Alice,29.12,29.46
foi,29.46,30.16
que,30.16,30.28
devia,30.28,30.6
pertencer,30.6,31.12
a,31.12,31.26
uma,31.26,31.42
das,31.42,31.64
portas,31.64,31.96
do,31.96,32.08
átrio.,32.08,32.42
Mas,33.46,33.72
não.,33.72,33.94
Ou,34.42,34.78
eram,34.78,34.98
as,34.98,35.16
fechaduras,35.16,35.84
que,35.84,36.0
eram,36.0,36.14
muito,36.14,36.4
"largas,",36.4,36.92
ou,37.12,37.44
a,37.44,37.56
chave,37.56,37.8
que,37.8,37.92
era,37.92,38.04
muito,38.04,38.24
pequena.,38.24,38.68
Fosse,39.64,39.96
como,39.96,40.18
"fosse,",40.18,40.6
não,40.96,41.14
conseguia,41.14,41.6
abrir,41.6,41.82
nenhuma.,41.82,42.2
"Contudo,",43.32,43.9
da,44.28,44.42
segunda,44.42,44.76
vez,44.76,45.04
que,45.04,45.18
deu,45.18,45.32
a,45.32,45.44
"volta,",45.44,45.76
achou,46.24,46.5
uma,46.5,46.64
pequena,46.64,47.0
cortina,47.0,47.5
em,47.5,47.8
que,47.8,47.9
não,47.9,48.04
reparara,48.04,48.52
antes.,48.52,48.82
E,49.72,49.9
atrás,49.9,50.14
dela,50.14,50.56
estava,50.56,51.14
uma,51.14,51.32
pequena,51.32,51.66
porta,51.66,52.02
de,52.02,52.24
cerca,52.24,52.46
de,52.46,52.64
30,52.64,52.9
centímetros,52.9,53.44
de,53.44,53.64
altura.,53.64,53.9
Tentou,54.5,54.88
enfiar,54.88,55.22
a,55.22,55.42
chave,55.42,55.74
dourada,55.74,56.16
na,56.16,56.3
"fechadura,",56.3,56.82
e,57.14,57.32
para,57.32,57.46
o,57.46,57.6
seu,57.6,57.66
grande,57.66,58.18
"contentamento,",58.18,58.9
servia.,59.22,59.66
Alice,61.14,61.5
abriu,61.5,61.8
a,61.8,61.86
porta,61.86,62.18
e,62.18,62.54
descobriu,62.54,62.98
que,62.98,63.08
dava,63.08,63.36
para,63.36,63.92
um,63.92,64.06
pequeno,64.06,64.42
"corredor,",64.42,64.92
pouco,65.4,65.88
maior,65.88,66.2
que,66.2,66.36
a,66.36,66.48
toca,66.48,66.7
de,66.7,66.84
um,66.84,66.96
rato.,66.96,67.24
Ajoelhou-se,68.3,69.14
e,69.14,69.46
olhou,69.46,69.72
lá,69.72,69.94
para,69.94,70.26
"dentro,",70.26,70.6
para,71.1,71.28
o,71.28,71.42
mais,71.42,71.66
belo,71.66,71.94
jardim,71.94,72.48
jamais,72.48,72.86
visto.,72.86,73.26
Como,74.4,74.72
desejava,74.72,75.28
sair,75.28,75.56
do,75.56,75.78
escuro,75.78,76.28
átrio,76.28,76.68
e,76.68,77.18
passear,77.18,77.62
entre,77.62,77.86
aqueles,77.86,78.12
canteiros,78.12,78.62
de,78.62,78.8
flores,78.8,79.08
coloridas,79.08,79.7
e,79.7,80.22
aquelas,80.22,80.52
fontes,80.52,80.9
frescas.,80.9,81.38
Mas,82.8,83.04
nem,83.04,83.22
sequer,83.22,83.7
conseguia,83.7,84.46
meter,84.46,84.72
a,84.72,84.88
cabeça,84.88,85.16
pela,85.16,85.42
porta.,85.42,85.8
E,86.66,86.98
ainda,86.98,87.16
que,87.16,87.34
a,87.34,87.44
minha,87.44,87.56
cabeça,87.56,87.88
"entrasse,",87.88,88.4
pensou,88.54,89.06
a,89.06,89.2
pobre,89.2,89.38
"Alice,",89.38,89.74
de,90.3,90.6
pouco,90.6,90.88
me,90.88,91.04
serviria,91.04,91.62
sem,91.62,92.0
os,92.0,92.16
meus,92.16,92.3
ombros.,92.3,92.7
"Oh,",93.76,94.0
quem,94.28,94.6
me,94.6,94.76
dera,94.76,95.04
poder,95.04,95.32
encolher-me,95.32,96.32
como,96.32,96.54
um,96.54,96.68
telescópio.,96.68,97.32
Acho,98.8,99.08
que,99.08,99.2
era,99.2,99.32
capaz,99.32,99.82
se,99.82,100.2
soubesse,100.2,100.68
por,100.68,100.86
onde,100.86,101.0
começar.,101.0,101.44
É,103.34,103.54
"que,",103.54,103.78
como,103.94,104.24
devem,104.24,104.58
"compreender,",104.58,105.06
tinham,105.56,105.74
acontecido,105.74,106.32
ultimamente,106.32,106.88
tantas,106.88,107.38
coisas,107.38,107.64
extraordinárias,107.64,108.48
que,109.04,109.16
Alice,109.16,109.5
começava,109.5,110.04
a,110.04,110.16
pensar,110.16,110.44
"que,",110.44,110.78
na,111.18,111.38
"realidade,",111.38,111.96
havia,112.56,112.86
muito,112.86,113.38
poucas,113.38,113.78
coisas,113.78,114.08
impossíveis.,114.08,114.72
Não,116.68,116.98
valia,116.98,117.26
a,117.26,117.38
pena,117.38,117.56
plantar-se,117.56,118.16
ao,118.16,118.28
pé,118.28,118.36
da,118.36,118.48
pequena,118.48,118.8
"porta,",118.8,119.18
pelo,119.66,119.98
que,119.98,120.14
voltou,120.14,120.42
para,120.42,120.48
a,120.48,120.5
