text,start,end
Roep,0.6,1.14
die,1.14,1.28
eerste,1.28,1.56
"getuie,",1.56,2.06
sê,2.2,2.26
die,2.26,2.38
koning.,2.38,2.78
Die,3.48,3.66
wit,3.66,3.88
konijn,3.88,4.32
blaas,4.32,4.7
weer,4.7,4.88
driemaal,4.88,5.28
op,5.28,5.44
sy,5.44,5.54
tompret,5.54,6.04
en,6.04,6.4
"roep,",6.4,6.78
Eerste,7.14,7.6
getuie!,7.6,8.14
Die,8.98,9.32
eerste,9.32,9.62
getuie,9.62,10.2
is,10.2,10.38
die,10.38,10.52
hoedemaker.,10.52,11.16
Hy,12.0,12.18
kom,12.18,12.38
nader,12.38,12.78
met,12.78,12.98
een,12.98,13.1
koppie,13.1,13.42
thee,13.42,13.66
in,13.66,13.86
die,13.86,13.98
een,13.98,14.18
hand,14.18,14.5
en,14.92,15.2
een,15.2,15.32
boterbroekie,15.32,16.08
in,16.08,16.2
die,16.2,16.28
ander.,16.28,16.58
Verskoon,17.42,17.98
my,17.98,18.1
toch,18.1,18.4
dat,18.4,18.56
ek,18.56,18.74
die,18.74,18.9
goed,18.9,19.08
"saambring,",19.08,19.54
Uw,19.66,19.76
"Majesteit,",19.76,20.28
sê,20.34,20.54
"hy,",20.54,20.7
maar,21.32,21.54
ek,21.54,21.72
het,21.72,21.84
nog,21.84,21.98
nie,21.98,22.12
van,22.12,22.24
my,22.24,22.38
thee,22.38,22.66
klaar,22.66,23.06
"gedrunk,",23.06,23.48
toe,23.9,24.08
ek,24.08,24.22
jy,24.22,24.42
in,24.42,24.6
ontbietis,24.6,25.16
nie.,25.16,25.34
Jy,26.32,26.58
behoort,26.58,26.98
klaar,26.98,27.4
te,27.4,27.52
gewees,27.52,27.88
"het,",27.88,28.06
sê,28.18,28.3
die,28.3,28.42
koning.,28.42,28.82
Wanneer,29.4,29.86
het,29.86,29.96
jy,29.96,30.14
begin?,30.14,30.44
Die,31.56,31.74
hoedemaker,31.74,32.4
kyk,32.4,32.64
na,32.64,32.74
die,32.74,32.92
"paashaas,",32.92,33.58
wat,33.72,33.88
achter,33.88,34.16
hom,34.16,34.32
aangekom,34.32,34.74
"het,",34.74,34.96
ingehaak,35.8,36.42
by,36.42,36.56
die,36.56,36.7
waaierstaartmuis.,36.7,37.68
Ek,38.64,38.92
dink,38.92,39.2
dit,39.2,39.38
was,39.38,39.72
die,39.72,40.5
veertiende,40.5,40.96
"maart,",40.96,41.34
sê,41.44,41.64
hy.,41.64,41.84
Die,42.64,42.86
"vijftiende,",42.86,43.38
sê,43.54,43.84
die,43.84,43.96
paashaas.,43.96,44.66
Die,45.2,45.56
"zestiende,",45.56,46.1
sê,46.44,46.48
die,46.48,46.58
muis.,46.58,46.96
Skryf,47.8,48.28
dit,48.28,48.42
"neer,",48.42,48.78
sê,48.86,49.04
die,49.04,49.18
koning,49.18,49.54
aan,49.54,49.72
die,49.72,49.94
