text,start,end
A,0.54,0.94
l'entrada,0.94,1.4
del,1.4,1.6
jardí,1.6,1.96
hi,1.96,2.06
havia,2.06,2.24
un,2.24,2.42
gran,2.42,2.62
roser.,2.62,3.02
Les,3.3,3.52
roses,3.52,3.82
que,3.82,4.04
hi,4.04,4.16
creixien,4.16,4.54
eren,4.54,4.8
"blanques,",4.8,5.26
però,5.52,5.7
hi,5.7,5.8
havia,5.8,6.0
tres,6.0,6.24
jardiners,6.24,6.96
atrafegats,6.96,7.8
que,7.8,7.98
les,7.98,8.14
anaven,8.14,8.46
pintant,8.46,9.04
de,9.04,9.2
vermell.,9.2,9.62
L'Alicia,10.38,10.8
va,10.8,10.94
pensar,10.94,11.24
que,11.24,11.48
això,11.48,11.62
era,11.62,11.72
una,11.72,11.84
cosa,11.84,12.06
molt,12.06,12.3
curiosa,12.3,12.84
i,12.84,13.26
s'hi,13.26,13.42
va,13.42,13.54
acostar,13.54,13.96
per,13.96,14.12
observar-los.,14.12,14.84
I,15.3,15.48
quan,15.48,15.7
va,15.7,15.92
haver,15.92,16.06
arribat,16.06,16.48
a,16.48,16.6
prop,16.6,16.78
d'ells,16.78,17.08
va,17.08,17.32
sentir-ne,17.32,17.86
un,17.86,18.2
que,18.2,18.4
deia,18.4,18.72
«Vés,19.0,19.26
amb,19.26,19.42
"compte,",19.42,19.74
"Juan,",19.86,20.06
no,20.66,20.96
esquitxis,20.96,21.52
de,21.52,21.8
pintura».,21.8,22.46
«No,22.76,22.9
ho,22.9,23.0
he,23.0,23.06
fet,23.06,23.26
pas,23.26,23.64
"expressament»,",23.64,24.6
va,24.6,24.8
dir,24.8,24.94
en,24.94,25.1
"Cinc,",25.1,25.54
en,25.64,25.84
un,25.84,26.0
to,26.0,26.2
sorut.,26.2,26.48
En,26.66,26.94
Set,26.94,27.16
m'ha,27.16,27.34
donat,27.34,27.58
un,27.58,27.74
cop,27.74,27.88
al,27.88,28.04
braç.,28.04,28.38
I,28.8,28.92
després,28.92,29.18
en,29.18,29.4
Set,29.4,29.68
se'l,29.68,29.92
va,29.92,30.02
mirar,30.02,30.36
i,30.36,30.5
va,30.5,30.68
dir,30.68,30.8
exacte.,30.8,31.28
"«Exacte,",32.26,32.92
"Cinc,",33.02,33.3
sempre,33.62,33.98
donant,33.98,34.28
la,34.28,34.44
culpa,34.44,34.68
als,34.68,34.86
altres.,34.86,35.28
Val,35.46,35.66
més,35.66,35.86
que,35.86,36.0
"callis»,",36.0,36.4
va,36.4,36.54
dir,36.54,36.66
en,36.66,36.8
Cinc.,36.8,37.12
«Ahir,37.48,38.14
mateix,38.14,38.48
vaig,38.48,38.68
sentir,38.68,39.0
dir,39.0,39.18
a,39.18,39.26
la,39.26,39.34
reina,39.34,39.6
que,39.6,39.74
et,39.74,39.88
mereixes,39.88,40.24
que,40.24,40.4
et,40.4,40.5
tallessin,40.5,40.9
el,40.9,41.06
cap».,41.06,41.4
«Per,41.64,41.88
"què?»,",41.88,42.34
va,42.34,42.54
dir,42.54,42.66
el,42.66,42.76
que,42.76,42.9
s'havia,42.9,43.22
parlat,43.22,43.6
primer.,43.6,43.76
«No,43.76,44.66
n'has,44.66,44.86
de,44.86,44.96
fer,44.96,45.08
"res,",45.08,45.3
"dos»,",45.38,45.76
va,45.76,45.96
dir,45.96,46.06
el,46.06,46.2
Cinc.,46.2,46.52
«I,47.34,47.64
tant,47.64,47.82
que,47.82,47.94
no,47.94,48.04
he,48.04,48.16
de,48.16,48.22
"fer»,",48.22,48.38
va,48.38,48.54
dir,48.54,48.6
el,48.6,48.74
