text,start,end
தோட்டத்தின்,0.0,0.8
நுழைவாயில்,0.8,1.74
ஒரு,1.74,2.02
பெரிய,2.02,2.52
ரோஜாமரம்.,2.52,3.58
அதில்,3.9,4.48
பூத்து,4.48,5.06
ரோஜாகள்,5.06,5.86
வெள்ளை,5.86,6.32
நிரத்தில்,6.32,6.88
இருந்தது.,6.88,7.42
"ஆனால்,",7.56,8.3
அங்கிருந்த,8.3,8.96
மூன்று,8.96,9.66
தோட்டக்காரர்கள்,9.66,11.0
அந்த,11.0,11.42
வெண்ணிரப்,11.42,12.14
பூக்களின்,12.14,12.78
மீது,12.78,13.21
சிவப்பு,13.21,13.84
வண்ணத்தை,13.84,14.4
மும்முறமாக,14.4,15.34
பூசிக்கொண்டு,15.34,16.24
இருந்தார்கள்.,16.24,16.9
இது,17.2,17.56
ஒரு,17.56,17.86
சுவாரசிய,17.86,18.6
நிகழ்வு,18.6,19.16
என்று,19.16,19.62
அவர்களில்,30.54,32.2
ஒருவன்,32.2,32.72
கூறியதை,32.72,33.46
ஆலுசால்,33.46,34.24
கேட்க,34.24,34.64
முடிந்தது.,34.64,35.34
என்னால்,35.68,36.38
உதவி,36.38,36.8
செய்ய,36.8,37.18
முடியாது.,37.18,37.92
ஏழு,38.22,38.84
தனது,38.84,39.34
முழங்கையைப்,39.34,40.28
பிடித்து,40.28,40.74
குழுங்கிவிட்டது,41.04,42.22
என்று,42.22,42.86
சினக்குமான,42.86,43.76
துணியில்,43.76,44.38
கூறினான்.,44.38,45.1
ஏழு,45.38,45.98
அதனை,45.98,46.42
மேல்,46.42,46.88
நோக்கிப்,46.88,47.4
பார்த்துவிட்டு,47.4,48.26
கூறினான்.,48.26,49.4
அதுவா,49.46,50.06
சரி.,50.06,50.7
ஐந்து.,50.7,51.28
நீ,51.34,51.7
அடுத்தவர்,51.7,52.52
மீது,52.52,52.88
படிப்,52.88,53.4
போடுவதே,53.4,53.96
வழக்கம்.,53.96,54.9
நீ,54.94,55.22
ஒழுங்காக,55.22,56.0
பேசுவதே,56.0,56.88
இல்லை.,56.88,57.52
உனது,57.58,58.08
தலை,58.08,58.48
துண்டிக்கப்,58.48,59.22
படப்,59.22,59.58
போவதாக,59.58,60.16
ராணி,60.48,61.04
கூறியதை,61.04,61.96
நேற்றுத்தான்,61.96,63.12
நான்,63.12,63.44
கேட்டேன்,63.44,64.1
என்றான்,64.1,64.74
ஐந்து,64.74,65.2
கூறினான்.,65.2,65.88
எதற்காக,66.16,67.12
என்று,67.12,67.68
முதலாதாக,67.68,68.7
பேசியவன்,68.7,69.48
கேட்டான்.,69.48,70.26
அது,70.38,70.78
உனக்குத்,70.78,71.36
தேவையில்லாத,71.36,72.12
விஷயம்.,72.12,72.9
இரண்டு.,72.9,73.54
என்று,73.86,74.38
ஏழு,74.38,74.86
கூறினான்.,74.86,75.55
ஆம்,75.55,76.08
அது,76.08,76.46
சம்மந்தப்பட்டிருக்கிறது,76.46,78.06
என்று,78.06,78.44
சொன்னான்,78.44,79.02
ஐந்து.,79.02,79.52
நான்,79.9,80.5
அதற்கு,80.5,80.94
கூறிக்கிறேன்.,80.94,81.8
சமைப்பதற்கு,81.84,82.8
வெங்காயம்,82.8,83.6
கொண்டு,83.6,84.06
வரக்,84.06,84.5
கூறினாள்.,84.5,85.32
நோய்பிடித்த,85.34,86.32
புளிச்சைப்,86.32,87.2
பயிறை,87.2,87.54
கொண்டு,87.54,88.16
வந்ததற்கு,88.16,89.08
என்று,89.08,89.88
என்றான்,89.88,90.58
ஐந்து.,90.58,91.04
ஏழு,91.5,91.98
தனது,91.98,92.34
வண்ணன்,92.34,92.9
தீட்டுக்,92.9,93.48
கோலை,93.48,93.82
பணிசை,102.7,103.06
காணும்,103.06,103.8
சந்தர்ப்பம்,103.8,104.54
கிடைத்தது.,104.54,105.22
அவளோ,105.58,106.2
அவைகளை,106.2,106.92
நின்று,106.92,107.58
நோக்கிக்,107.58,108.42
கொண்டிருந்தாள்.,108.42,109.3
மற்றவர்களும்,109.56,110.58
சுற்றிலும்,110.58,111.36
நோட்டம்,111.36,111.82
இட்டுவது,111.82,112.36
அவளுக்குக்,112.36,113.12
குணிந்து,113.12,113.62
வணக்கம்,113.62,114.14
இட்டார்கள்.,114.14,114.84
எதற்காக,115.1,115.94
இந்த,115.94,116.34
ரோஜாக்களுக்கு,116.34,117.34
வரணம்,117.34,117.94
தீட்டுகிறார்கள்,117.94,118.81
என்று,118.81,119.24
தயவு,119.24,119.74
செய்து,119.74,120.14
கூறுங்கள்,120.14,120.72
என்றால்,120.72,121.28
ஆளு,121.28,121.8
சிறு,121.8,122.18
பதஷ்டத்துடன்,122.18,123.1
ஐந்தும்,124.84,125.76
ஏழும்,125.76,126.54
எதும்,126.54,127.04
கூறாமல்,127.04,127.94
இரண்டைப்,127.96,128.6
பார்த்தார்கள்.,128.6,129.74
இரண்டு,129.74,130.36
தாள்ந்த,130.36,131.06
குரலில்,131.06,131.68
பேச,131.68,132.02
தொடங்கினான்.,132.02,132.92
மிஸ்,133.2,133.7
உண்மையாக,133.7,134.64
இது,134.64,135.14
ஒரு,135.14,135.56
சிவப்பு,135.56,136.24
வண்ண,136.24,136.64
மரம்,136.64,137.38
இதன்மீது,137.38,138.54
வெள்ளை,138.54,139.12
நிற,139.12,139.36
ரோஜாவை,139.36,140.2
தவிருதலாக,140.7,141.24
வைத்து,141.24,141.76
விட்டோம்.,141.76,142.82
அது,142.82,143.18
ராணியார்,143.18,143.94
கண்டுகொண்டு,143.94,144.74
விட்டால்,144.74,145.58
எங்களது,145.58,146.26
தலைகளை,146.26,146.88
அளவா,146.88,147.38
விட்டி,147.38,147.82
விடுவாள்.,147.82,148.4
அதனால்தான்,148.48,149.5
