text,start,end
Et,0.0,1.2
stort,1.2,1.58
rosentrær,1.58,2.36
sto,2.36,2.62
ved,2.62,2.78
hageporten.,2.78,3.56
Rosene,4.4,4.92
som,4.92,5.12
vokste,5.12,5.5
på,5.5,5.68
det,5.68,5.8
var,5.8,5.96
"hvite,",5.96,6.5
men,7.34,7.52
det,7.52,7.66
sto,7.66,7.84
tre,7.84,8.2
gartner,8.2,8.8
omkring,8.8,9.22
dem,9.22,9.5
og,9.5,9.82
hadde,9.82,9.96
det,9.96,10.14
travelt,10.14,10.68
med,10.68,10.84
å,10.84,10.92
male,10.92,11.26
dem,11.26,11.52
røde.,11.52,11.94
Else,13.48,13.88
synes,13.88,14.4
at,14.4,14.72
det,14.72,14.8
var,14.8,14.96
ordentlig,14.96,15.46
"rart,",15.46,15.96
og,16.28,16.58
hun,16.58,16.72
gikk,16.72,16.88
nærmere,16.88,17.34
for,17.34,17.54
å,17.54,17.7
se,17.7,17.84
på,17.84,18.04
dem.,18.04,18.24
Med,19.22,19.38
det,19.38,19.56
samme,19.56,19.82
hun,19.82,19.94
kom,19.94,20.14
"fram,",20.14,20.5
hørte,20.86,21.26
hun,21.26,21.38
en,21.38,21.54
av,21.54,21.7
gartnerne,21.7,22.24
si.,22.24,22.44
«Pass,23.2,23.62
nå,23.62,23.82
"på,",23.82,24.1
Fem!,24.26,24.58
Du,24.98,25.44
søler,25.44,25.76
jo,25.76,25.94
maling,25.94,26.32
på,26.32,26.48
meg!»,26.48,27.24
«Jeg,27.56,27.8
kunne,27.8,27.98
ikke,27.98,28.2
få,28.2,28.4
"det»,",28.4,28.82
sa,28.82,29.02
Fem,29.02,29.44
med,29.44,29.74
gretten,29.74,30.18
stemme.,30.18,30.58
«Sju,30.98,31.56
puffet,31.56,32.02
meg,32.02,32.18
i,32.18,32.32
albuen.»,32.32,33.0
Da,33.76,33.98
sju,33.98,34.4
hørte,34.4,34.88
"det,",34.88,35.16
så,35.74,35.86
hun,35.86,36.0
oppåg,36.0,36.46
sa.,36.46,36.62
«Du,36.92,37.42
har,37.42,37.58
"rett,",37.58,37.88
Fem!,37.96,38.28
Legg,38.94,39.28
alltid,39.28,39.54
skylden,39.54,39.98
på,39.98,40.18
andre!»,40.18,40.94
«Du,41.4,41.82
skulle,41.82,42.08
ikke,42.08,42.28
"snakke»,",42.28,43.12
sa,43.12,43.28
Fem.,43.28,43.62
«Det,43.98,44.52
er,44.52,44.68
ikke,44.68,44.88
lengre,44.88,45.22
siden,45.22,45.44
enn,45.44,45.68
i,45.68,45.78
går,45.78,46.08
at,46.08,46.36
jeg,46.36,46.5
hørte,46.5,46.78
dronningen,46.78,47.26
si,47.26,47.48
du,47.48,47.62
fortjent,47.62,48.02
å,48.02,48.16
bli,48.16,48.28
halshågd.»,48.28,49.58
«Hvorfor,50.98,51.64
"det?»,",51.64,52.68
sa,52.68,52.94
han,52.94,53.22
som,53.22,53.66
hadde,53.66,54.04
snakket,54.04,54.46
først.,54.46,54.94
«Det,56.04,56.52
kjeller,56.52,56.84
ikke,56.84,57.12
deg,57.12,57.52
"to»,",57.52,58.06
sa,58.06,58.3
sju.,58.3,58.58
"«Jo,",59.12,59.64
det,59.76,59.92
kjeller,59.92,60.24
ham,60.24,60.66
"jo»,",60.66,61.32
sa,61.32,61.72
Fem.,61.72,62.06
«Og,62.72,62.94
jeg,62.94,63.16
skal,63.16,63.38
si,63.38,63.64
det.,63.64,63.88
Det,64.36,64.66
var,64.66,64.78
fordi,64.78,65.0
du,65.0,65.18
brakte,65.18,65.6
kokken,65.6,66.44
tulipanløk,66.44,67.48
i,67.48,67.66
stedet,67.66,67.94
for,67.94,68.14
ordentlig,68.14,68.8
løk.»,68.8,69.42
Sju,70.72,71.1
hev,71.1,71.54
kosten,71.54,71.94
fra,71.94,72.16
seg,72.16,72.48
og,72.48,72.78
begynte,72.78,73.06
å,73.06,73.24
si.,73.24,73.5
«Det,73.9,74.76
må,74.76,75.0
jeg,75.0,75.14
si.,75.14,75.4
Det,75.84,76.04
er,76.04,76.24
det,76.24,76.46
urettferdigste.»,76.46,78.3
Da,79.26,79.46
han,79.46,79.64
fikk,79.64,79.88
se,79.88,80.16
Else,80.16,80.6
som,80.6,80.9
sto,80.9,81.14
og,81.14,81.34
så,81.34,81.5
på,81.5,81.74
"dem,",81.74,81.94
da,82.96,83.42
tidde,83.42,83.76
han,83.76,83.94
øyeblikkelig.,83.94,84.64
De,85.8,86.02
andre,86.02,86.36
så,86.36,86.58
seg,86.58,86.8
"om,",86.8,86.96
og,87.3,87.46
alle,87.46,87.8
tre,87.8,88.06
bukket,88.06,88.56
døpt.,88.56,88.92
«Kan,90.46,90.76
dere,90.76,91.02
være,91.02,91.42
så,91.42,91.66
elskeverdige,91.66,92.4
å,92.4,92.56
si,92.56,92.86
"meg»,",92.86,93.74
sa,93.74,94.04
Else,94.04,94.34
forsiktig.,94.34,95.0
«Hvorfor,96.0,96.56
dere,96.56,96.82
maler,96.82,97.3
"rosene?»,",97.3,99.4
Fem,99.4,99.66
og,99.66,99.86
Sju,99.86,100.24
sa,100.24,100.6
ikke,100.6,100.8
"noe,",100.8,101.58
men,101.58,101.82
så,101.82,102.02
på,102.02,102.24
To.,102.24,102.46
To,104.2,104.48
begynte,104.48,104.82
med,104.82,105.02
lav,105.02,105.26
stemme.,105.26,105.74
"«Vel,",107.16,107.78
de,108.28,108.46
skjønner,108.46,109.22
"det,",109.22,109.48
frøken.,109.62,110.14
Dette,111.08,111.52
her,111.52,111.92
skulle,111.92,112.38
egentlig,112.38,113.1
vært,113.1,113.44
et,113.44,113.7
rødt,113.7,114.16
rosetre.,114.16,114.9
Vi,116.32,116.52
satte,116.52,116.86
et,116.86,117.02
hvitt,117.02,117.28
her,117.28,117.48
ved,117.48,117.62
en,117.62,117.76
"feiltagelse,",117.76,118.54
og,119.3,119.6
