text,start,end
If,0.0,0.6
you,0.6,0.74
were,0.74,0.86
to,0.86,1.02
journey,1.02,1.38
to,1.38,1.62
the,1.62,1.76
north,1.76,2.0
of,2.0,2.18
"England,",2.18,2.5
you,2.86,2.98
would,2.98,3.14
come,3.14,3.36
to,3.36,3.54
a,3.54,3.66
valley,3.66,3.9
that,3.9,4.04
is,4.04,4.18
surrounded,4.18,4.6
by,4.68,4.9
moors,4.9,5.3
as,5.3,5.48
high,5.48,5.68
as,5.68,5.86
mountains.,5.86,6.32
It,7.0,7.16
is,7.16,7.3
in,7.3,7.48
this,7.48,7.68
valley,7.68,8.04
where,8.04,8.28
you,8.28,8.4
would,8.4,8.52
find,8.52,8.84
the,8.84,9.02
city,9.02,9.24
of,9.24,9.4
"Bradford,",9.4,9.88
where,10.3,10.48
once,10.48,10.76
a,10.76,10.92
thousand,10.92,11.3
spinning,11.34,11.76
jennies,11.76,12.24
that,12.24,12.44
hummed,12.44,12.78
and,12.78,12.92
clattered,12.92,13.32
spun,13.32,13.72
wool,13.72,14.02
into,14.02,14.22
money,14.22,14.56
for,14.56,14.8
the,14.8,14.98
long-bearded,14.98,15.7
mill-owners.,15.9,16.54
That,17.34,17.56
all,17.56,17.8
mill-owners,17.8,18.32
were,18.32,18.52
generally,18.52,18.84
busy,18.84,19.22
as,19.22,19.42
beavers,19.42,19.82
and,19.82,20.04
quite,20.04,20.28
pleased,20.28,20.66
with,20.66,20.84
themselves,20.84,21.18
for,21.36,21.52
being,21.52,21.74
so,21.74,21.96
successful,21.96,22.6
and,22.6,22.84
well,22.84,23.06
off,23.06,23.4
was,23.4,23.92
known,23.92,24.22
to,24.22,24.42
the,24.42,24.56
residents,24.56,24.9
of,24.9,25.12
"Bradford,",25.12,25.62
and,25.88,26.1
if,26.1,26.26
you,26.26,26.36
were,26.36,26.42
to,26.42,26.6
go,26.6,26.76
into,26.76,26.96
the,26.96,27.14
city,27.14,27.34
to,27.34,27.54
visit,27.54,27.78
the,27.78,27.96
stately,27.96,28.26
city,28.26,28.6
"hall,",28.6,29.0
you,29.42,29.54
would,29.54,29.7
see,29.7,29.94
there,29.94,30.26
the,30.26,30.46
crest,30.46,30.78
of,30.78,30.93
the,30.93,31.1
city,31.1,31.3
of,31.3,31.48
"Bradford,",31.48,32.0
which,32.2,32.52
those,32.52,32.76
same,32.76,33.06
mill-owners,33.06,33.7
created,33.7,34.18
to,34.18,34.42
celebrate,34.42,34.84
their,34.84,35.08
achievements.,35.08,35.64
It,36.28,36.5
shows,36.5,36.76
a,36.76,36.94
sinister-looking,36.94,37.64
boar's,37.64,38.12
head,38.12,38.28
sitting,38.28,38.54
on,38.54,38.7
top,38.7,38.94
of,38.94,39.1
a,39.1,39.22
"well,",39.22,39.5
which,39.62,39.76
seems,39.76,39.96
puzzling,39.96,40.42
at,40.42,40.52
"first,",40.52,40.88
but,41.3,41.44
the,41.44,41.58
reason,41.58,41.78
for,41.78,41.98
this,41.98,42.18
symbol,42.18,42.46
is,42.46,42.66
a,42.66,42.78
matter,42.78,43.0
of,43.0,43.2
legend.,43.2,43.56
There,44.08,44.32
was,44.32,44.48
"once,",44.48,44.84
legend,44.96,45.24
has,45.24,45.52
"it,",45.52,45.66
a,45.74,45.88
fearsome,45.88,46.3
boar,46.3,46.72
which,46.72,47.06
lived,47.06,47.34
in,47.34,47.5
a,47.5,47.62
wood,47.62,47.82
located,47.82,48.32
just,48.32,48.64
outside,48.64,49.02
the,49.04,49.24
manor,49.24,49.56
of,49.56,49.7
Bradford.,49.7,50.2
A,50.2,50.82
source,50.82,51.06
of,51.06,51.24
great,51.24,51.5
trouble,51.5,51.82
to,51.82,52.02
the,52.02,52.16
local,52.16,52.42
folk,52.42,52.78
the,52.78,52.98
boar,52.98,53.2
"was,",53.2,53.62
bringing,53.86,54.16
terror,54.16,54.62
to,54.62,54.82
the,54.82,54.96
peaceful,54.96,55.27
flocks,55.27,55.78
and,55.78,55.94
ravaging,55.94,56.44
the,56.44,56.64
countryside,56.64,57.1
around.,57.1,57.6
Even,58.18,58.5
"worse,",58.5,58.82
"however,",58.92,59.2
the,59.36,59.46
boar,59.46,59.7
most,59.7,60.0
liked,60.0,60.22
to,60.22,60.38
go,60.38,60.52
to,60.52,60.66
the,60.66,60.78
well,60.78,60.98
that,60.98,61.14
was,61.14,61.32
in,61.32,61.46
the,61.46,61.58
wood,61.58,61.82
and,61.82,61.98
drink,61.98,62.07
its,62.07,62.4
fresh,62.4,62.66
"water,",62.66,63.06
so,63.54,63.68
that,63.68,63.8
