text,start,end
При,0.0,0.78
самому,0.78,1.2
вході,1.2,1.58
до,1.58,1.74
саду,1.74,2.26
ріс,2.26,2.9
великий,2.9,3.46
трояндовий,3.46,4.16
кущ.,4.16,4.56
Троянди,5.32,5.9
на,5.9,6.06
ньому,6.06,6.28
були,6.28,6.54
"білі,",6.54,7.04
але,7.52,7.98
троє,7.98,8.4
сидівників,8.4,9.22
фарбували,9.22,9.92
їх,9.92,10.12
на,10.12,10.32
червоно.,10.32,10.94
Зацікавлена,11.8,12.54
Аліса,12.54,13.06
підступила,13.06,13.86
"ближче,",13.86,14.38
і,14.66,15.0
в,15.0,15.1
цю,15.1,15.26
мить,15.26,15.56
один,15.56,15.92
сидівник,15.92,16.44
"сказав,",16.44,16.88
"«Обережніше,",16.88,18.5
"п'ятірко,",18.72,19.36
ти,19.78,20.06
мене,20.06,20.32
всього,20.32,20.62
обляпав!»,20.62,22.27
«Я,22.27,22.34
не,22.34,22.48
"нароком,",22.48,23.04
—,23.2,23.32
буркнув,23.32,23.84
"п'ятірка,",23.84,24.44
—,24.72,24.82
це,24.82,25.0
Сімка,25.0,25.48
підбив,25.48,25.96
мені,25.96,26.34
лдлікоть».,26.34,27.56
Сімка,28.32,28.8
підвів,28.8,29.16
очі,29.16,29.56
і,29.56,29.66
"сказав,",29.66,30.12
"«Браво,",30.24,31.18
"п'ятірка,",31.24,31.86
завжди,32.28,32.8
звертай,32.8,33.34
на,33.34,33.48
іншого».,33.48,34.5
«Ти,34.98,35.26
б,35.26,35.34
краще,35.34,35.66
"помовчав,",35.66,36.42
—,36.6,36.62
сказав,36.62,37.08
"п'ятірка,",37.08,37.7
—,38.42,38.52
щойно,38.52,38.9
вчора,38.9,39.26
я,39.26,39.44
"чув,",39.44,39.76
як,39.76,40.24
королева,40.24,40.72
"казала,",40.72,41.22
що,41.64,41.8
за,41.8,41.98
твоїм,41.98,42.36
карком,42.36,42.92
давно,42.92,43.7
плаче,43.7,44.18
сукіра».,44.18,45.14
«А,45.72,46.2
то,46.2,46.32
за,46.32,46.56
що?,46.56,46.82
—,47.26,47.34
поцікавився,47.34,48.06
"той,",48.06,48.32
кого,48.5,48.72
обляпали.,48.72,49.36
—,49.5,50.76
А,50.76,50.96
то,50.96,51.1
вже,51.1,51.3
не,51.3,51.86
твій,51.86,52.2
клопіт,52.2,52.78
"двійко,",52.78,53.46
—,53.62,53.98
сказав,53.98,54.32
Сімка.,54.32,54.78
—,56.44,56.48
Ба,56.48,56.72
"ні,",56.72,56.98
якраз,57.3,57.76
"його,",57.76,58.14
—,58.26,58.54
вигукнув,58.54,59.08
"п'ятірка,",59.08,59.76
—,60.04,60.44
і,60.44,60.6
я,60.6,60.72
йому,60.72,60.92
таки,60.92,61.22
"скажу,",61.22,61.68
за,61.9,61.98
що.,61.98,62.3
За,62.74,62.96
"те,",62.96,63.18
що,63.28,63.44
він,63.44,63.68
замість,63.68,64.16
цибулі,64.16,64.76
приніс,64.76,65.5
на,65.5,65.68
кухню,65.68,66.14
тюльпанових,66.14,67.16
цибулин!»,67.16,67.98
Сімка,68.42,68.92
ж,68.92,69.04
бурнув,69.04,69.46
пензля.,69.46,69.94
«Більшої,70.46,71.3
"кривди,",71.3,71.78
годі,72.26,72.68
уяви!»,72.68,74.06
—,74.06,74.16
почав,74.16,74.54
"він,",74.54,74.82
але,74.96,75.18
тут,75.18,75.56
його,75.56,75.82
погляд,75.82,76.36
упав,76.36,76.76
на,76.76,76.96
"лісу,",76.96,77.48
і,77.68,77.8
він,77.8,78.08
затнувся.,78.08,78.84
Решта,79.58,80.14
двоє,80.14,80.5
теж,80.5,80.8
"узарнулася,",80.8,81.6
і,82.7,83.14
всі,83.14,83.36
разом,83.36,83.62
незенько,83.62,84.2
їй,84.2,84.56
уклинилися.,84.56,85.44
«Чи,86.22,86.68
не,86.68,86.8
будете,86.8,87.02
ласкаві,87.02,87.66
"сказати,",87.66,88.24
—,88.52,88.74
несміливо,88.74,89.36
звалася,89.36,89.94
"Аліса,",89.94,90.36
—,90.7,90.92
навіщо,90.92,91.46
ви,91.46,91.62
фарбуєте,91.62,92.14
троянди?»,92.14,92.86
П'ятірка,93.76,94.36
і,94.36,94.5
Сімка,94.5,95.02
"промовчали,",95.02,96.0
і,96.2,96.42
тільки,96.42,96.72
глипнули,96.72,97.74
на,97.74,97.9
двійку.,97.9,98.36
Той,99.08,99.32
почав,99.32,99.74
пошепки,99.74,100.26
