text,start,end
Laat,0.52,0.9
de,0.9,1.04
eerste,1.04,1.36
getuigen,1.36,1.98
"verschijnen,",1.98,2.7
zei,2.96,3.16
de,3.16,3.28
koning.,3.28,3.68
En,4.2,4.36
het,4.36,4.5
witte,4.5,4.68
konijn,4.68,5.14
blies,5.14,5.44
driemaal,5.44,5.94
op,5.94,6.1
zijn,6.1,6.26
trompet,6.26,6.72
en,6.72,6.92
"riep,",6.92,7.2
de,7.34,7.68
eerste,7.68,8.1
getuigen!,8.1,8.8
De,9.96,10.16
eerste,10.16,10.46
getuige,10.46,10.96
was,10.96,11.16
de,11.16,11.3
hoedemaker.,11.3,11.92
Hij,12.48,12.7
kwam,12.7,12.96
binnen,12.96,13.2
met,13.2,13.38
een,13.38,13.52
kop,13.52,13.78
thee,13.78,14.12
in,14.12,14.34
de,14.34,14.46
ene,14.46,14.74
hand,14.74,14.96
en,14.96,15.26
een,15.26,15.42
boterham,15.42,15.9
in,15.9,16.04
de,16.04,16.16
andere.,16.16,16.42
Ik,17.34,17.58
vraag,17.58,17.86
om,17.86,18.02
"excuus,",18.02,18.56
uw,18.72,18.86
"majesteit,",18.86,19.7
begon,19.8,20.16
"hij,",20.16,20.42
voor,21.14,21.32
wat,21.32,21.5
ik,21.5,21.66
hier,21.66,21.84
bij,21.84,22.06
me,22.06,22.26
heb.,22.26,22.48
Maar,22.88,23.1
ik,23.1,23.26
zat,23.26,23.42
nog,23.42,23.58
aan,23.58,23.74
de,23.74,23.92
thee,23.92,24.16
toen,24.16,24.38
ik,24.38,24.54
plotseling,24.54,25.08
werd,25.08,25.3
ontboden.,25.3,25.84
Je,26.88,27.06
had,27.06,27.2
daar,27.2,27.38
al,27.38,27.54
lang,27.54,27.74
mee,27.74,27.9
klaar,27.9,28.24
moeten,28.24,28.42
"zijn,",28.42,28.74
zei,28.82,28.98
de,28.98,29.12
koning.,29.12,29.52
Wanneer,29.64,29.96
begon,29.96,30.28
je,30.28,30.4
eraan?,30.4,30.8
De,31.56,31.76
hoedemaker,31.76,32.34
keek,32.34,32.66
naar,32.66,32.82
de,32.82,32.96
maartse,32.96,33.4
"haas,",33.4,33.76
die,34.0,34.38
hem,34.38,34.54
de,34.54,34.7
rechtszaal,34.7,35.12
in,35.12,35.26
was,35.26,35.42
gevolgd,35.42,36.0
arm,36.0,36.34
in,36.34,36.52
arm,36.52,36.74
met,36.74,36.92
de,36.92,37.06
zevenslaper.,37.06,37.82
De,39.04,39.36
veertiende,39.36,40.1
"maart,",40.1,40.68
dacht,40.8,41.12
"ik,",41.12,41.36
zei,41.44,41.68
hij.,41.68,41.86
De,42.52,42.7
"vijftiende,",42.7,43.26
zei,43.42,43.84
de,43.84,43.94
maartse,43.94,44.3
haas.,44.3,44.64
"Nee,",45.1,45.28
de,45.36,45.46
