text,start,end
Високо,0.56,1.24
розово,1.24,1.68
стъпло,1.68,2.1
се,2.1,2.36
издигаше,2.36,2.92
до,2.92,3.12
входа,3.12,3.52
на,3.52,3.62
градината.,3.62,4.16
"Розите,",4.88,5.3
които,5.42,5.6
растяха,5.6,6.1
по,6.1,6.24
"него,",6.24,6.44
бяха,6.56,6.88
"бели,",6.88,7.2
ама,7.64,7.88
наоколо,7.88,8.28
стояха,8.28,8.74
три,8.74,8.92
"маградинари,",8.92,9.7
които,10.06,10.36
усърдно,10.36,10.82
ги,10.82,10.98
мажаха,10.98,11.38
с,11.38,11.44
червено.,11.44,11.88
Алиса,12.78,13.1
намери,13.1,13.46
това,13.46,13.7
за,13.7,13.84
много,13.84,14.22
чудно,14.22,14.7
и,14.7,14.86
се,14.86,15.0
"предлежи,",15.0,15.51
за,15.51,15.66
да,15.66,15.82
ги,15.82,16.14
погледа.,16.14,16.66
Тя,17.46,17.7
чу,17.7,17.88
как,17.88,18.06
един,18.06,18.3
от,18.3,18.46
тях,18.46,18.62
каза,18.62,18.98
"Внимавай,",19.4,20.0
"Пет,",20.06,20.28
не,20.86,21.0
ме,21.0,21.14
пръскай,21.14,21.48
така!,21.48,21.8
Не,23.02,23.26
съм,23.26,23.42
"крив,",23.42,23.78
каза,23.98,24.3
Пет,24.3,24.52
на,24.52,24.62
мръщено.,24.62,25.06
Седем,26.34,26.8
ме,26.8,26.92
"бутна,",26.92,27.28
седем,28.0,28.32
погледна,28.32,28.74
и,28.74,28.8
каза.,28.8,29.12
Много,29.52,29.86
хубаво,29.86,30.26
"правиш,",30.26,30.58
Пет.,30.68,30.96
Дъбеждаваш,31.94,32.56
винаги,32.56,32.9
другите.,32.9,33.32
Ти,34.66,34.88
е,34.88,34.94
по-добре,34.94,35.32
да,35.32,35.44
"мълчиш,",35.44,35.94
отвърна,36.18,36.56
Пет.,36.56,36.84
Не,37.76,37.94
чух,37.94,38.16
ли,38.16,38.28
вчера,38.28,38.56
царицата?,38.56,39.18
Казал,39.56,39.98
"си,",39.98,40.06
че,40.12,40.22
заслужаваш,40.22,40.78
да,40.78,40.9
бъдеш,40.9,41.14
обезглавен.,41.14,41.74
Защо?,42.66,43.18
Попита,43.46,43.98
"Аня,",43.98,44.32
който,44.76,45.08
пръв,45.08,45.28
се,45.28,45.42
беше,45.42,45.64
обадил.,45.64,46.08
"Не,",47.38,47.68
твой,47.78,47.98
е,47.98,48.04
работа,48.04,48.4
"две,",48.4,48.58
каза,48.86,49.18
Седем.,49.18,49.48
Негова,50.32,50.76
работа,50.76,51.2
"е,",51.2,51.3
каза,51.46,51.74
Пет.,51.74,52.06
Я,53.04,53.24
ще,53.24,53.4
му,53.4,53.54
кажа,53.54,53.78
защо.,53.78,54.18
Защото,54.56,54.98
беше,54.98,55.2
занесал,55.2,55.66
на,55.66,55.78
готвачката,55.78,56.36
луковици,56.38,57.0
от,57.0,57.2
уалета,57.2,57.56
вместо,57.56,57.92
лук.,57.92,58.22
Седем,59.28,59.68
заплакин,59.68,60.14
ти,60.14,60.22
четката,60.22,60.64
си,60.64,60.84
и,60.84,60.96
тък,60.96,61.22
му,61.22,61.32
почна,61.32,61.64
да,61.64,61.74
се,61.74,61.86
защитава.,61.86,62.5
Всичко,63.9,64.4
друго,64.4,64.64
на,64.64,64.8
света,64.8,65.06
бих,65.06,65.32
"приял,",65.32,65.68
но,65.92,66.08
не,66.08,66.32
и,66.32,66.62
съгледа,67.54,68.04
"Алиса,",68.04,68.34
която,68.54,68.86
стоеше,68.86,69.26
и,69.26,69.6
ги,69.6,69.68
наблюдаваше.,69.68,70.32
Той,71.14,71.36
се,71.36,71.5
спря.,71.5,71.82
Другите,72.22,72.64
също,72.64,72.92
се,72.92,73.08
огледаха.,73.08,74.02
И,74.04,74.26
всички,74.26,74.62
се,74.62,74.76
поклониха,74.76,75.32
дълбоко.,75.32,75.8
А,77.06,77.22
можете,77.22,77.68
ли,77.68,77.84
да,77.84,77.94
ми,77.94,78.08
"кажете,",78.08,78.64
попита,78.8,79.2
Алиса,79.2,79.6
"Свенливо,",79.6,80.1
защо,80.4,80.84
бъде,80.84,81.12
единствата,81.12,81.48
тия,81.48,81.78
рози?,81.78,82.2
Пет,83.5,83.74
и,83.74,83.82
седем,83.82,84.1
не,84.1,84.2
казаха,84.2,84.58
"нищо,",84.58,84.9
а,85.28,85.42
погледнаха,85.42,85.98
две.,85.98,86.22
Две,87.52,87.72
започна,87.72,88.18
с,88.18,88.26
нисък,88.26,88.6
глас.,88.6,88.9
"Ами,",89.5,89.9
"всъщност,",90.22,91.22
виждате,91.4,91.7
"ли,",91.7,91.96
"госпожице,",92.16,93.22
той,93.78,93.98
трябваше,93.98,94.38
да,94.38,94.5
бъде,94.5,94.76
с,94.76,94.88
табло,94.88,95.14
с,95.14,95.32
червени,95.32,95.8
"рози,",95.8,96.26
а,96.7,96.92
погрешно,96.92,97.48
сме,97.48,97.64
посадили,97.64,98.22
бяло-розово,98.22,99.6
табло.,99.6,99.94
"Царицата,",101.44,102.06
ако,102.4,102.64
ознае,102.64,102.98
за,102.98,103.16
"това,",103.16,103.42
ще,103.8,103.96
заповяда,103.96,104.52
да,104.52,104.9
ни,104.9,105.02
обезглавят.,105.02,105.48
"Той,",106.26,106.44
"че,",106.56,106.8
"виждате,",106.86,107.84
"госпожице,",107.92,108.5
гледаме,109.06,109.48
с,109.48,109.5
всички,109.5,109.52
"сили,",109.52,109.54
преди,109.96,110.76
да,110.76,110.88
дойде,110.88,111.22
да...,111.22,111.98
Но,112.66,112.88
тук,112.88,113.08
"Пет,",113.08,113.42
който,113.84,114.32
безпокойно,114.32,114.84
гледаше,114.84,115.32
навътре,115.32,115.94
в,115.94,116.04
"градината,",116.04,116.62
извика,116.8,117.2
–,117.2,117.38
"Царицата,",117.38,117.92
царицата!,118.02,118.56
И,119.5,119.64
тримата,119.64,120.0
градинари,120.0,120.58
мигом,120.58,121.2
се,121.2,121.34
хвърлиха,121.34,121.82
по,121.82,122.0
очи,122.0,122.22
на,122.22,122.36
земята.,122.36,122.78
Чу,123.62,123.86
са,123.86,124.02
шум,124.02,124.28
от,124.28,124.72
много,124.72,125.1
стъпки.,125.1,125.62
Алиса,126.5,126.52
се,126.52,126.58
"обърна,",126.58,127.06
любопитна,127.4,127.94
да,127.94,128.06
види,128.06,128.3
царицата.,128.3,128.94
Първо,129.7,130.08
ми,130.08,130.2
даха,130.2,130.5
10,130.5,130.78
"войник,",130.78,131.24
носеха,131.52,132.02
чукуве.,132.02,132.48
Всички,132.98,133.38
бяха,133.38,133.82
като,133.82,134.14
тримата,134.14,134.66
градинари.,134.66,135.28
Те,136.0,139.72
бяха,139.72,143.34
"си,",143.34,143.94
"си,",143.94,144.02
"си,",144.08,144.1
"си,",144.1,144.12
"си,",144.12,144.14
"си,",144.14,144.16
"си,",144.16,144.18
"си,",144.18,144.2
"си,",144.2,144.22
"си,",144.22,144.24
"си,",144.24,144.26
"си,",144.26,144.28
"си,",144.28,144.3
"си,",144.3,144.48
"си,",144.48,144.5
"си,",144.5,144.52
"си,",144.52,144.54
"си,",144.54,144.8
"си,",145.04,145.06
"си,",145.06,145.08
"си,",145.08,145.1
"си,",145.1,145.12
"си,",145.12,145.14
"си,",145.28,145.52
"си,",145.52,145.54
"си,",145.54,145.56
"си,",145.56,145.58
"си,",145.58,145.6
"си,",145.6,145.62
"си,",145.62,145.64
"си,",146.56,146.76
"си,",147.28,147.7
"си,",147.82,147.84
"си,",147.84,147.86
"си,",148.02,148.04
"си,",148.04,148.06
"си,",148.06,148.42
"си,",148.42,148.44
"си,",148.44,148.46
"си,",148.46,148.48
"си,",148.48,148.5
"си,",148.5,148.52
"си,",148.52,148.54
"си,",148.54,148.56
"си,",148.56,148.58
"си,",148.72,148.86
"си,",148.88,148.9
"си,",148.9,148.92
"си,",148.92,148.94
"си,",148.94,148.96
"си,",149.92,149.94
"си,",149.94,149.96
"си,",149.96,149.98
"си,",149.98,150.0
"си,",150.0,150.02
"си,",150.02,150.04
"си,",150.04,150.06
"си,",150.12,150.14
"си,",150.7,151.14
"си,",151.24,151.54
"си,",151.54,151.58
"си,",151.6,151.62
"си,",151.62,151.64
"си,",151.8,152.08
"си,",152.16,152.18
"си,",152.18,152.2
"си,",152.88,153.06
"си,",153.38,153.9
"си,",154.32,154.84
"си,",155.4,156.72
"си,",157.7,159.64
"си,",161.44,165.98
А,166.0,166.08
между,166.08,166.24
тях,166.24,166.68
Алиса,166.68,167.38
позна,167.38,167.7
Белия,167.7,168.08
Зайк.,168.08,168.5
Той,169.58,169.78
говореше,169.78,170.16
бързо,170.16,170.5
и,170.5,170.56
"неспокойно,",170.56,171.16
усмихваше,171.46,172.04
се,172.04,172.18
на,172.18,172.34
"всичко,",172.34,172.72
което,172.78,173.0
му,173.0,173.18
се,173.18,173.3
"казваше,",173.3,173.78
и,174.28,174.46
мина,174.46,174.64
без,174.64,174.86
да,174.86,174.98
я,174.98,175.06
забележи.,175.06,175.6
Подир,176.82,177.18
него,177.18,177.54
вървеше,177.54,177.98
му,177.98,178.18
момчето,178.18,178.62
"Сърце,",178.62,179.06
което,179.62,180.02
носеше,180.02,180.6
царската,180.6,181.18
корона,181.18,181.62
на,181.62,182.1
пурпурно,182.1,182.76
възглавие,182.76,183.48
от,183.48,183.74
кадифе.,183.74,184.2
И,185.62,185.78
"най-седне,",185.78,186.34
на,186.76,186.96
края,186.96,187.26
на,187.26,187.36
това,187.36,187.56
великолепно,187.56,188.24
"съществие,",188.24,189.02
вървяха,189.46,190.0
царята,190.0,190.36
Царицата,190.36,190.92
на,190.92,191.06
Сърцата.,191.06,191.54
Алиса,192.8,193.16
се,193.16,193.3
двумеше,193.3,193.82
дали,193.82,194.08
не,194.08,194.24
трябва,194.24,194.52
да,194.52,194.64
легне,194.64,194.98
по,194.98,195.14
очи,195.14,195.37
на,195.37,195.62
"земята,",195.62,196.02
както,196.16,196.66
тримата,196.66,197.06
градинари.,197.06,197.66
И,199.3,199.42
тая,199.42,199.6
не,199.6,199.72
бе,199.72,199.86
чувала,199.86,200.2
"никога,",200.2,200.58
че,200.64,200.74
трябва,200.74,200.98
да,200.98,201.08
се,201.08,201.2
прави,201.2,201.52
"така,",201.52,201.68
когато,201.68,202.08
минаваше,202.08,202.6
същствие.,202.6,202.96
За,204.52,204.68
какво,204.68,204.96
ли,204.96,205.1
пък,205.1,205.32
тогава,205.32,205.68
е,205.68,205.78
това,205.78,205.96
същствие?,205.96,206.46
Си,206.8,207.02
помисли,207.02,207.42
тя.,207.42,207.62
Ако,208.06,208.32
хората,208.32,208.68
трябва,208.68,208.92
да,208.92,209.0
лягат,209.0,209.32
по,209.32,209.44
"земята,",209.44,209.88
"тъй,",210.3,210.7
че,210.76,210.84
да,210.84,210.94
не,210.94,211.04
могат,211.04,211.26
да,211.26,211.4
го,211.4,211.48
видят.,211.48,211.8
И,213.1,213.3
"тъй,",213.3,213.58
Алиса,213.84,214.38
остана,214.38,214.74
да,214.74,214.88
чака,214.88,215.14
на,215.14,215.3
мястото,215.3,215.76
си.,215.76,215.94
Когато,216.4,216.74
същствието,216.74,217.26
стигна,217.26,217.56
до,217.56,217.72
"нея,",217.72,218.04
всички,218.46,218.86
се,218.86,219.0
